window_id,anchor_day,field_a,field_b,n_valid,n_strict_untied,n_tied,field_early_candidate,field_late_candidate,prob_a_before_b,prob_b_before_a,prob_a_not_later_b,prob_b_not_later_a,prob_early_before_late,prob_early_before_late_1d,prob_early_before_late_2d,prob_early_not_later_than_late,prob_sync_0d,prob_sync_1d,prob_sync_2d,median_lag_late_minus_early,q025_lag_late_minus_early,q975_lag_late_minus_early,iqr_lag_late_minus_early,median_lag_b_minus_a,q025_lag_b_minus_a,q975_lag_b_minus_a,order_p_value,major_direction,loyo_prob_early_before_late,loyo_prob_early_before_late_1d,loyo_prob_sync_2d,loyo_median_lag_late_minus_early,early_field_timing_label_v7_b,late_field_timing_label_v7_b,early_field_boundary_sides,late_field_boundary_sides,boundary_censoring_flag,order_q_value,order_confidence_label,usable_as_order_evidence,caution
W002,45,P,V,1000,801,199,P,V,0.623,0.178,0.822,0.377,0.623,0.623,0.415,0.822,0.199,0.509,0.698,1.0,-2.0,9.0,3.0,1.0,-2.0,9.0,1.3190077049737831e-58,P<V,0.2222222222222222,0.2222222222222222,1.0,0.0,timing_uncertain,timing_moderate,none,none,none,2.3981958272250605e-58,sync_or_overlap,False,do_not_force_order_overlapping_peaks
W002,45,P,H,1000,972,28,H,P,0.087,0.885,0.115,0.913,0.885,0.885,0.879,0.913,0.028,0.045,0.056,9.0,-11.0,11.0,4.0,-9.0,-11.0,11.0,4.2114213749486404e-167,H<P,1.0,1.0,0.0,10.0,boundary_truncated,timing_uncertain,observed_left_edge;modal_left_edge,none,early:observed_left_edge;modal_left_edge,2.4065264999706514e-166,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,P,Je,1000,852,148,P,Je,0.729,0.123,0.877,0.271,0.729,0.729,0.563,0.877,0.148,0.368,0.544,2.0,-9.0,12.0,4.0,2.0,-9.0,12.0,1.7409632779194151e-105,P<Je,1.0,1.0,1.0,1.0,timing_uncertain,timing_uncertain,none,none,none,5.8032109263980506e-105,moderate_order,True,candidate_relative_order_use_with_caution
W002,45,P,Jw,1000,926,74,Jw,P,0.357,0.569,0.431,0.643,0.569,0.569,0.5,0.643,0.074,0.205,0.328,1.5,-10.0,8.0,7.0,-1.5,-8.0,10.0,3.3113890187917097e-12,Jw<P,0.9333333333333333,0.9333333333333333,0.06666666666666667,4.0,timing_uncertain,timing_uncertain,none,none,none,4.013804871262678e-12,ambiguous_order,False,relative_order_not_sufficiently_supported
W002,45,V,H,1000,997,3,H,V,0.075,0.922,0.078,0.925,0.922,0.922,0.92,0.925,0.003,0.011,0.016,10.0,-9.0,15.0,3.0,-10.0,-15.0,9.0,3.008335825764377e-186,H<V,1.0,1.0,0.0,10.0,boundary_truncated,timing_moderate,observed_left_edge;modal_left_edge,none,early:observed_left_edge;modal_left_edge,2.0055572171762515e-185,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,V,Je,1000,855,145,V,Je,0.59,0.265,0.735,0.41,0.59,0.59,0.405,0.735,0.145,0.436,0.627,1.0,-10.0,8.0,4.0,1.0,-10.0,8.0,3.2741011750050583e-29,V<Je,0.9555555555555556,0.9555555555555556,1.0,1.0,timing_moderate,timing_uncertain,none,none,none,4.516001620696632e-29,sync_or_overlap,False,do_not_force_order_overlapping_peaks
W002,45,V,Jw,1000,936,64,Jw,V,0.287,0.649,0.351,0.713,0.649,0.649,0.585,0.713,0.064,0.184,0.298,3.0,-7.0,11.0,6.0,-3.0,-11.0,7.0,6.240891039709216e-33,Jw<V,0.9333333333333333,0.9333333333333333,0.06666666666666667,4.0,timing_uncertain,timing_moderate,none,none,none,8.915558628156023e-33,ambiguous_order,False,relative_order_not_sufficiently_supported
W002,45,H,Je,1000,966,34,H,Je,0.899,0.067,0.933,0.101,0.899,0.899,0.897,0.933,0.034,0.04,0.041,10.0,-8.0,17.0,2.0,10.0,-8.0,17.0,8.984102863850289e-187,H<Je,1.0,1.0,0.0,11.0,boundary_truncated,timing_uncertain,observed_left_edge;modal_left_edge,none,early:observed_left_edge;modal_left_edge,7.187282291080231e-186,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,H,Jw,1000,984,16,H,Jw,0.916,0.068,0.932,0.084,0.916,0.916,0.9,0.932,0.016,0.037,0.063,6.0,-12.0,16.0,6.0,6.0,-12.0,16.0,1.663104198238003e-190,H<Jw,1.0,1.0,0.0,6.0,boundary_truncated,timing_uncertain,observed_left_edge;modal_left_edge,none,early:observed_left_edge;modal_left_edge,1.663104198238003e-189,robust_censored_order,True,boundary_censoring_affects_exact_peak_day;relative_order_supported_but_exact_day_censored
W002,45,Je,Jw,1000,951,49,Jw,Je,0.247,0.704,0.296,0.753,0.704,0.704,0.667,0.753,0.049,0.129,0.215,4.0,-11.0,11.024999999999977,6.0,-4.0,-11.024999999999999,11.0,1.738695896565504e-51,Jw<Je,1.0,1.0,0.06666666666666667,5.0,timing_uncertain,timing_uncertain,none,none,none,3.023818950548703e-51,moderate_order,True,candidate_relative_order_use_with_caution
W003,81,P,V,1000,910,90,V,P,0.138,0.772,0.228,0.862,0.772,0.772,0.626,0.862,0.09,0.291,0.458,2.0,-4.0,17.0,5.0,-2.0,-17.0,4.0,1.58188940183304e-107,V<P,1.0,1.0,0.8,2.0,boundary_truncated,timing_uncertain,modal_left_edge,none,early:modal_left_edge,5.752325097574692e-107,moderate_order,True,boundary_censoring_affects_exact_peak_day;candidate_relative_order_use_with_caution
W003,81,P,H,1000,959,41,H,P,0.23,0.729,0.271,0.77,0.729,0.729,0.664,0.77,0.041,0.119,0.218,3.0,-13.0,15.0,7.0,-3.0,-15.0,13.0,4.952146480491306e-61,H<P,1.0,1.0,0.0,5.0,timing_uncertain,timing_uncertain,none,none,none,9.432659962840583e-61,moderate_order,True,candidate_relative_order_use_with_caution
W003,81,P,Je,1000,943,57,P,Je,0.655,0.288,0.712,0.345,0.655,0.655,0.604,0.712,0.057,0.155,0.251,4.0,-12.0,15.0,10.0,4.0,-12.0,15.0,1.4162526106617484e-33,P<Je,0.9777777777777777,0.9777777777777777,0.022222222222222223,9.0,timing_uncertain,boundary_truncated,none,observed_right_edge;modal_right_edge,late:observed_right_edge;modal_right_edge,2.098152015795183e-33,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
W003,81,P,Jw,1000,912,88,P,Jw,0.472,0.44,0.56,0.528,0.472,0.472,0.41,0.56,0.088,0.243,0.381,0.0,-14.0,13.0,7.0,0.0,-14.0,13.0,0.30464772606037704,P<Jw,0.6444444444444445,0.6444444444444445,0.9555555555555556,1.0,timing_uncertain,timing_uncertain,none,none,none,0.32068181690566006,ambiguous_order,False,relative_order_not_sufficiently_supported
W003,81,V,H,1000,920,80,H,V,0.393,0.527,0.473,0.607,0.527,0.527,0.433,0.607,0.08,0.214,0.356,1.0,-21.0,10.0,11.0,-1.0,-10.0,21.0,1.122223799004621e-05,H<V,1.0,1.0,0.26666666666666666,3.0,timing_uncertain,boundary_truncated,none,modal_left_edge,late:modal_left_edge,1.2825414845767098e-05,ambiguous_order,False,boundary_censoring_affects_exact_peak_day;relative_order_not_sufficiently_supported
