window_id,field,progress_order_score,dominant_role
W002,P,0.5695,middle_or_uncertain
W002,V,0.36275,middle_or_uncertain
W002,H,0.8497499999999999,early_tendency
W002,Je,0.19799999999999998,late_tendency
W002,Jw,0.52,middle_or_uncertain
W003,P,0.36250000000000004,middle_or_uncertain
W003,V,0.64,middle_or_uncertain
W003,H,0.782,early_tendency
W003,Je,0.35975,middle_or_uncertain
W003,Jw,0.35575,middle_or_uncertain
W005,P,0.4930000000000001,middle_or_uncertain
W005,V,0.24250000000000002,late_tendency
W005,H,0.20549999999999996,late_tendency
W005,Je,0.67675,early_tendency
W005,Jw,0.88225,early_tendency
W007,P,0.6665,early_tendency
W007,V,0.2905,late_tendency
W007,H,0.8162499999999999,early_tendency
W007,Je,0.30625,late_tendency
W007,Jw,0.4205,middle_or_uncertain
