window_id,field,n_valid_midpoints,valid_midpoint_fraction,onset_median,loyo_midpoint_median,loyo_midpoint_q025,loyo_midpoint_q975,loyo_midpoint_iqr,midpoint_modal_rounded_day,support_midpoint_within_2d_of_modal,loyo_support_midpoint_within_3d_of_modal,finish_median,duration_median,duration_iqr,support_near_boundary,dominant_progress_quality_label,dominant_prepost_separation_label
W002,P,45,1.0,40.0,44.0,43.0,44.0,1.0,44.0,1.0,1.0,46.0,7.0,0.0,0.0,monotonic_clear_progress,clear_separation
W003,P,45,1.0,77.0,81.0,81.0,82.0,1.0,81.0,1.0,1.0,86.0,10.0,1.0,0.0,monotonic_clear_progress,clear_separation
W005,P,45,1.0,109.0,112.0,111.0,113.0,1.0,112.0,1.0,1.0,115.0,7.0,0.0,0.0,monotonic_clear_progress,clear_separation
W007,P,45,1.0,155.0,158.0,158.0,158.0,0.0,158.0,1.0,1.0,163.0,9.0,1.0,0.0,monotonic_clear_progress,clear_separation
W002,V,45,1.0,41.0,45.0,45.0,45.0,0.0,45.0,1.0,1.0,48.0,8.0,1.0,0.0,monotonic_clear_progress,clear_separation
W003,V,45,1.0,75.0,80.0,79.0,80.0,0.0,80.0,1.0,1.0,84.0,10.0,0.0,0.0,monotonic_clear_progress,clear_separation
W005,V,45,1.0,111.0,115.0,114.0,115.0,1.0,115.0,1.0,1.0,118.0,8.0,1.0,0.0,monotonic_clear_progress,clear_separation
W007,V,45,1.0,156.0,161.0,161.0,161.0,0.0,161.0,1.0,1.0,165.0,10.0,0.0,0.0,monotonic_clear_progress,clear_separation
W002,H,45,1.0,37.0,39.0,38.0,39.0,0.0,39.0,1.0,1.0,52.0,16.0,0.0,0.0,monotonic_clear_progress,clear_separation
W003,H,45,1.0,76.0,79.0,79.0,79.0,0.0,79.0,1.0,1.0,85.0,10.0,0.0,0.0,monotonic_clear_progress,clear_separation
W005,H,45,1.0,111.0,114.0,114.0,115.0,1.0,114.0,1.0,1.0,117.0,7.0,1.0,0.0,monotonic_clear_progress,clear_separation
W007,H,45,1.0,154.0,155.0,155.0,156.0,0.0,155.0,1.0,1.0,158.0,5.0,1.0,0.0,nonmonotonic_progress,clear_separation
W002,Je,45,1.0,44.0,46.0,46.0,47.0,0.0,46.0,1.0,1.0,51.0,8.0,1.0,0.0,monotonic_clear_progress,clear_separation
W003,Je,45,1.0,77.0,82.0,82.0,82.0,0.0,82.0,1.0,1.0,87.0,11.0,0.0,0.0,monotonic_clear_progress,clear_separation
W005,Je,45,1.0,108.0,111.0,111.0,112.0,0.0,111.0,1.0,1.0,115.0,8.0,1.0,0.0,monotonic_clear_progress,clear_separation
W007,Je,45,1.0,158.0,161.0,161.0,162.0,0.0,161.0,1.0,1.0,165.0,8.0,0.0,0.0,monotonic_clear_progress,clear_separation
W002,Jw,45,1.0,39.0,44.0,43.0,44.9,1.0,44.0,1.0,1.0,48.0,10.0,1.0,0.0,monotonic_clear_progress,clear_separation
W003,Jw,45,1.0,77.0,82.0,82.0,83.0,0.0,82.0,1.0,1.0,86.0,9.0,1.0,0.0,monotonic_clear_progress,clear_separation
W005,Jw,45,1.0,106.0,109.0,109.0,110.0,1.0,109.0,1.0,1.0,113.0,8.0,0.0,0.0,monotonic_clear_progress,clear_separation
W007,Jw,45,1.0,154.0,160.0,159.0,161.0,0.0,160.0,1.0,1.0,165.0,12.0,0.0,0.0,monotonic_clear_progress,clear_separation
