window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,day,relative_to_anchor,raw_progress,progress
W002,45,40,48,30,60,30,37,53,60,P,30,-15,-0.12322057317129732,0.0
W002,45,40,48,30,60,30,37,53,60,P,31,-14,-0.10036678304410437,0.0
W002,45,40,48,30,60,30,37,53,60,P,32,-13,-0.06544023323864508,0.0
W002,45,40,48,30,60,30,37,53,60,P,33,-12,-0.033881154684341525,0.0
W002,45,40,48,30,60,30,37,53,60,P,34,-11,0.04241856632528453,0.04241856632528453
W002,45,40,48,30,60,30,37,53,60,P,35,-10,0.07205406794173694,0.07205406794173694
W002,45,40,48,30,60,30,37,53,60,P,36,-9,0.08506986386392859,0.08506986386392859
W002,45,40,48,30,60,30,37,53,60,P,37,-8,0.12336624600743852,0.12336624600743852
W002,45,40,48,30,60,30,37,53,60,P,38,-7,0.14050853662107918,0.14050853662107918
W002,45,40,48,30,60,30,37,53,60,P,39,-6,0.20119851062863522,0.20119851062863522
W002,45,40,48,30,60,30,37,53,60,P,40,-5,0.29356553480058784,0.29356553480058784
W002,45,40,48,30,60,30,37,53,60,P,41,-4,0.385766396457766,0.385766396457766
W002,45,40,48,30,60,30,37,53,60,P,42,-3,0.45210726453361477,0.45210726453361477
W002,45,40,48,30,60,30,37,53,60,P,43,-2,0.4891872911385085,0.4891872911385085
W002,45,40,48,30,60,30,37,53,60,P,44,-1,0.5677681241971485,0.5677681241971485
W002,45,40,48,30,60,30,37,53,60,P,45,0,0.6919950522726461,0.6919950522726461
W002,45,40,48,30,60,30,37,53,60,P,46,1,0.8072795314093659,0.8072795314093659
W002,45,40,48,30,60,30,37,53,60,P,47,2,0.9054378754407846,0.9054378754407846
W002,45,40,48,30,60,30,37,53,60,P,48,3,0.9711940770023829,0.9711940770023829
W002,45,40,48,30,60,30,37,53,60,P,49,4,0.9943457801070391,0.9943457801070391
W002,45,40,48,30,60,30,37,53,60,P,50,5,1.0114949290222257,1.0
W002,45,40,48,30,60,30,37,53,60,P,51,6,1.0673019489704705,1.0
W002,45,40,48,30,60,30,37,53,60,P,52,7,1.117307282319374,1.0
W002,45,40,48,30,60,30,37,53,60,P,53,8,1.12211847943386,1.0
W002,45,40,48,30,60,30,37,53,60,P,54,9,1.073679127951906,1.0
W002,45,40,48,30,60,30,37,53,60,P,55,10,1.0144000354956333,1.0
W002,45,40,48,30,60,30,37,53,60,P,56,11,0.9618258466519181,0.9618258466519181
W002,45,40,48,30,60,30,37,53,60,P,57,12,0.9645882759951734,0.9645882759951734
W002,45,40,48,30,60,30,37,53,60,P,58,13,0.9694831654551976,0.9694831654551976
W002,45,40,48,30,60,30,37,53,60,P,59,14,0.9601622335312141,0.9601622335312141
W002,45,40,48,30,60,30,37,53,60,P,60,15,0.9337428354850986,0.9337428354850986
W003,81,75,86,66,96,66,73,89,96,P,66,-15,0.01666230373087061,0.01666230373087061
W003,81,75,86,66,96,66,73,89,96,P,67,-14,0.006821141260094608,0.006821141260094608
W003,81,75,86,66,96,66,73,89,96,P,68,-13,-0.009376656108382706,0.0
W003,81,75,86,66,96,66,73,89,96,P,69,-12,-0.019517934470173887,0.0
W003,81,75,86,66,96,66,73,89,96,P,70,-11,-0.014912307924449886,0.0
W003,81,75,86,66,96,66,73,89,96,P,71,-10,-0.00677929506034931,0.0
W003,81,75,86,66,96,66,73,89,96,P,72,-9,-0.006132714391219203,0.0
W003,81,75,86,66,96,66,73,89,96,P,73,-8,0.03323546296360976,0.03323546296360976
W003,81,75,86,66,96,66,73,89,96,P,74,-7,0.08879138274668961,0.08879138274668961
W003,81,75,86,66,96,66,73,89,96,P,75,-6,0.14820446307575738,0.14820446307575738
W003,81,75,86,66,96,66,73,89,96,P,76,-5,0.2056284845130743,0.2056284845130743
W003,81,75,86,66,96,66,73,89,96,P,77,-4,0.26607517652908247,0.26607517652908247
W003,81,75,86,66,96,66,73,89,96,P,78,-3,0.31249642902598784,0.31249642902598784
W003,81,75,86,66,96,66,73,89,96,P,79,-2,0.37551921720349657,0.37551921720349657
W003,81,75,86,66,96,66,73,89,96,P,80,-1,0.4445985108422131,0.4445985108422131
W003,81,75,86,66,96,66,73,89,96,P,81,0,0.5118412180445896,0.5118412180445896
W003,81,75,86,66,96,66,73,89,96,P,82,1,0.5771796914436165,0.5771796914436165
W003,81,75,86,66,96,66,73,89,96,P,83,2,0.6244820229843345,0.6244820229843345
W003,81,75,86,66,96,66,73,89,96,P,84,3,0.6821080339373032,0.6821080339373032
W003,81,75,86,66,96,66,73,89,96,P,85,4,0.7395703207647287,0.7395703207647287
W003,81,75,86,66,96,66,73,89,96,P,86,5,0.803812768877551,0.803812768877551
W003,81,75,86,66,96,66,73,89,96,P,87,6,0.8656177035972915,0.8656177035972915
