window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary,near_excluded_candidate_days
W002,45,40,48,30,60,30,37,53,60,P,0.8716778728347055,0.12013771289909154,0.09028077537078338,8.285183302984658,clear_separation,40.0,44.0,46.0,7.0,0.9400306325884952,1,1,1,monotonic_clear_progress,False,False,none
W003,81,75,86,66,96,66,73,89,96,P,1.6118283753472793,0.12906216868870518,0.14658857427036182,11.69471453646642,clear_separation,77.0,81.0,86.0,10.0,0.9785468891593659,1,1,1,monotonic_clear_progress,False,False,none
W005,113,107,117,98,128,98,105,121,128,P,0.9278183470838992,0.15321265152621458,0.11663842542512727,6.876521358069822,clear_separation,109.0,112.0,115.0,7.0,0.9533926892388168,1,1,1,monotonic_clear_progress,False,False,none
W007,160,155,164,145,175,145,152,168,175,P,0.93733378686811,0.08869692789529768,0.09833541164537554,10.02322688322303,clear_separation,155.0,158.0,163.0,9.0,0.9733563195188134,1,1,1,monotonic_clear_progress,False,False,none
W002,45,40,48,30,60,30,37,53,60,V,0.9261625693876173,0.045398682735241565,0.02567227612005308,26.063038525969095,clear_separation,41.0,45.0,48.0,8.0,0.968685451120468,1,1,1,monotonic_clear_progress,False,False,none
W003,81,75,86,66,96,66,73,89,96,V,1.0752603820535778,0.11111889203709788,0.12260969432258986,9.200931719919323,clear_separation,75.0,80.0,84.0,10.0,0.9659985689070822,1,1,1,monotonic_clear_progress,False,False,none
W005,113,107,117,98,128,98,105,121,128,V,0.9528307819759629,0.058858952838712106,0.13763158157922895,9.698490411141798,clear_separation,112.0,115.0,118.0,7.0,0.9658087816921401,1,1,1,monotonic_clear_progress,False,False,none
W007,160,155,164,145,175,145,152,168,175,V,1.4548406988175877,0.10884011443975228,0.16259109190371712,10.719774770229703,clear_separation,156.0,161.0,165.0,10.0,0.9845786202550382,1,1,1,monotonic_clear_progress,False,False,none
W002,45,40,48,30,60,30,37,53,60,H,0.5278419524088667,0.09737720319896945,0.057090199165566874,6.83434749755613,clear_separation,37.0,39.0,52.0,16.0,0.9316510872445771,1,1,1,monotonic_clear_progress,False,False,none
W003,81,75,86,66,96,66,73,89,96,H,0.8888886439362431,0.07972425358047167,0.13463926376732382,8.293282876915725,clear_separation,76.0,79.0,84.0,9.0,0.9822569955572401,1,1,1,monotonic_clear_progress,False,False,none
W005,113,107,117,98,128,98,105,121,128,H,1.1307811524783709,0.031150891386100252,0.06986625210132427,22.38790592206267,clear_separation,111.0,114.0,117.0,7.0,0.9514395522729311,1,1,1,monotonic_clear_progress,False,False,none
W007,160,155,164,145,175,145,152,168,175,H,0.5624898048473156,0.02820191281457314,0.08734177358781237,9.736400531287984,clear_separation,154.0,155.0,158.0,5.0,0.8835058686412167,1,1,3,nonmonotonic_progress,False,False,none
W002,45,40,48,30,60,30,37,53,60,Je,0.621133663169791,0.1035053654317209,0.06979159212678876,7.16843125134394,clear_separation,44.0,46.0,51.0,8.0,0.9492876804163842,1,1,1,monotonic_clear_progress,False,False,none
W003,81,75,86,66,96,66,73,89,96,Je,0.6871061656098931,0.059677480899843614,0.0810367359680098,9.765980735910965,clear_separation,77.0,82.0,87.0,11.0,0.9918616380973388,1,1,1,monotonic_clear_progress,False,False,none
W005,113,107,117,98,128,98,105,121,128,Je,0.9136171126499162,0.07606393259311854,0.04208320329991352,15.46575134011916,clear_separation,108.0,111.0,115.0,8.0,0.9605474374857436,1,1,1,monotonic_clear_progress,False,False,none
W007,160,155,164,145,175,145,152,168,175,Je,1.0218603345177968,0.06082431240439291,0.07905973569073294,14.610105275310412,clear_separation,158.0,161.0,165.0,8.0,0.9763387048307013,1,1,1,monotonic_clear_progress,False,False,none
W002,45,40,48,30,60,30,37,53,60,Jw,0.8118680920360006,0.06424158403086402,0.045598977691750316,14.782664605657564,clear_separation,39.0,44.0,48.0,10.0,0.9792390671381539,1,1,1,monotonic_clear_progress,False,False,none
W003,81,75,86,66,96,66,73,89,96,Jw,0.9535534104929586,0.06989100447832962,0.08287024429114931,12.484231677359661,clear_separation,77.0,82.0,86.0,10.0,0.9854811769860303,1,1,1,monotonic_clear_progress,False,False,none
W005,113,107,117,98,128,98,105,121,128,Jw,0.9865538514114557,0.17285851966303808,0.13571121923025123,6.394365532689094,clear_separation,106.0,109.0,113.0,8.0,0.940840087861048,1,1,1,monotonic_clear_progress,False,False,none
W007,160,155,164,145,175,145,152,168,175,Jw,0.9303646682991711,0.09981769317512634,0.08487080465096408,10.074960587585288,clear_separation,154.0,160.0,165.0,12.0,0.993978586881511,1,1,1,monotonic_clear_progress,False,False,none
