window_id,n_valid,field_a,field_b,field_early_candidate,field_late_candidate,prob_a_midpoint_before_b,prob_b_midpoint_before_a,prob_midpoint_early_before_late,prob_onset_early_before_late,prob_finish_before_onset,prob_sync_midpoint_2d,median_midpoint_lag_late_minus_early,q025_midpoint_lag_late_minus_early,q975_midpoint_lag_late_minus_early,iqr_midpoint_lag_late_minus_early,loyo_prob_midpoint_early_before_late,loyo_median_midpoint_lag_late_minus_early,early_field_progress_label,late_field_progress_label,progress_order_label,usable_as_progress_order,caution
W002,1000,P,V,P,V,0.752,0.071,0.752,0.695,0.0,0.732,2.0,-1.0,4.0,2.0,1.0,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W002,1000,P,H,H,P,0.159,0.816,0.816,0.907,0.185,0.196,4.0,-10.0,8.0,4.0,1.0,5.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W002,1000,P,Je,P,Je,0.887,0.04,0.887,0.95,0.066,0.427,3.0,-1.0,8.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W002,1000,P,Jw,P,Jw,0.455,0.397,0.455,0.262,0.011,0.632,0.0,-4.0,6.024999999999977,4.0,0.2222222222222222,0.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W002,1000,V,H,H,V,0.138,0.855,0.855,0.945,0.259,0.087,6.0,-8.0,10.0,4.0,1.0,6.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W002,1000,V,Je,V,Je,0.664,0.164,0.664,0.807,0.021,0.676,1.0,-2.0,6.0,3.0,1.0,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W002,1000,V,Jw,Jw,V,0.266,0.606,0.606,0.732,0.011,0.582,1.0,-4.0,6.0,4.0,0.9555555555555556,1.0,progress_timing_moderate,progress_timing_moderate,ambiguous_progress_order,False,weak_majority_direction
W002,1000,H,Je,H,Je,0.881,0.11,0.881,0.987,0.354,0.046,7.0,-6.0,11.0,3.0,1.0,7.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W002,1000,H,Jw,H,Jw,0.847,0.135,0.847,0.91,0.072,0.196,4.0,-9.0,10.0,4.0,1.0,5.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W002,1000,Je,Jw,Jw,Je,0.136,0.776,0.776,0.905,0.064,0.419,3.0,-3.0,8.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,moderate_progress_order,True,candidate_progress_order_not_hard_result
W003,1000,P,V,V,P,0.117,0.735,0.735,0.821,0.0,0.749,1.0,-2.0,4.0,2.0,1.0,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W003,1000,P,H,H,P,0.062,0.834,0.834,0.799,0.0,0.566,2.0,-1.0,6.0,2.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W003,1000,P,Je,P,Je,0.513,0.313,0.513,0.283,0.0,0.784,1.0,-4.0,4.0,3.0,0.6888888888888889,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W003,1000,P,Jw,P,Jw,0.506,0.357,0.506,0.411,0.001,0.684,1.0,-5.0,5.0,3.0,0.7111111111111111,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W003,1000,V,H,H,V,0.232,0.562,0.562,0.305,0.0,0.767,1.0,-3.0,5.0,2.0,0.9111111111111111,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W003,1000,V,Je,V,Je,0.716,0.159,0.716,0.682,0.0,0.598,2.0,-2.0,6.0,3.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,moderate_progress_order,True,candidate_progress_order_not_hard_result
W003,1000,V,Jw,V,Jw,0.671,0.23,0.671,0.69,0.002,0.523,2.0,-4.0,7.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,ambiguous_progress_order,False,weak_majority_direction
W003,1000,H,Je,H,Je,0.929,0.022,0.929,0.717,0.0,0.457,3.0,0.0,6.0,1.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W003,1000,H,Jw,H,Jw,0.803,0.109,0.803,0.698,0.002,0.446,3.0,-3.0,7.0,3.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W003,1000,Je,Jw,Jw,Je,0.4,0.403,0.403,0.333,0.0,0.779,0.0,-4.0,5.0,2.0,0.8888888888888888,0.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W005,1000,P,V,P,V,0.692,0.19,0.692,0.737,0.067,0.496,2.0,-3.0,7.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,ambiguous_progress_order,False,weak_majority_direction
W005,1000,P,H,P,H,0.686,0.181,0.686,0.731,0.045,0.555,2.0,-3.0,7.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,ambiguous_progress_order,False,weak_majority_direction
W005,1000,P,Je,Je,P,0.226,0.586,0.586,0.697,0.003,0.718,1.0,-2.0,6.0,3.0,0.8,1.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W005,1000,P,Jw,Jw,P,0.069,0.82,0.82,0.796,0.054,0.473,3.0,-1.0,9.0,3.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W005,1000,V,H,H,V,0.27,0.415,0.415,0.428,0.0,0.918,0.0,-2.0,3.0,2.0,0.26666666666666666,0.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W005,1000,V,Je,Je,V,0.016,0.941,0.941,0.974,0.015,0.328,3.0,-0.0,7.0,3.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W005,1000,V,Jw,Jw,V,0.003,0.982,0.982,0.983,0.214,0.118,5.0,1.0,9.0,2.0,1.0,5.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W005,1000,H,Je,Je,H,0.021,0.934,0.934,0.973,0.014,0.379,3.0,-0.0,6.024999999999977,2.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W005,1000,H,Jw,Jw,H,0.011,0.973,0.973,0.981,0.202,0.15,5.0,-0.0,9.0,3.0,1.0,5.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W005,1000,Je,Jw,Jw,Je,0.112,0.754,0.754,0.695,0.002,0.697,2.0,-2.0,5.0,2.0,1.0,2.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W007,1000,P,V,P,V,0.884,0.059,0.884,0.732,0.002,0.429,3.0,-2.0,6.0,2.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W007,1000,P,H,H,P,0.189,0.75,0.75,0.611,0.097,0.353,3.0,-11.0,8.0,3.25,1.0,3.0,nonmonotonic_progress,progress_timing_moderate,moderate_progress_order,True,candidate_progress_order_not_hard_result
W007,1000,P,Je,P,Je,0.883,0.066,0.883,0.877,0.02,0.358,3.0,-2.0,7.0,2.0,1.0,3.0,progress_timing_moderate,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W007,1000,P,Jw,P,Jw,0.649,0.231,0.649,0.361,0.004,0.485,2.0,-5.0,7.0,4.0,1.0,2.0,progress_timing_moderate,progress_timing_uncertain,ambiguous_progress_order,False,weak_majority_direction
W007,1000,V,H,H,V,0.132,0.851,0.851,0.797,0.286,0.108,6.0,-9.0,9.0,4.0,1.0,6.0,nonmonotonic_progress,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W007,1000,V,Je,V,Je,0.44,0.353,0.44,0.631,0.001,0.827,0.0,-3.0,5.0,3.0,0.1111111111111111,0.0,progress_timing_moderate,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W007,1000,V,Jw,Jw,V,0.344,0.543,0.543,0.697,0.003,0.608,1.0,-4.024999999999999,6.0,4.0,0.8444444444444444,1.0,progress_timing_uncertain,progress_timing_moderate,sync_progress,False,midpoints_overlap_within_sync_radius
W007,1000,H,Je,H,Je,0.872,0.11,0.872,0.923,0.382,0.071,6.0,-7.0,9.0,3.0,1.0,6.0,nonmonotonic_progress,progress_timing_moderate,shifted_progress_order,True,timing_progress_order_only_not_causality
W007,1000,H,Jw,H,Jw,0.792,0.158,0.792,0.495,0.09,0.216,4.0,-10.0,10.0,5.0,1.0,5.0,nonmonotonic_progress,progress_timing_uncertain,moderate_progress_order,True,candidate_progress_order_not_hard_result
W007,1000,Je,Jw,Jw,Je,0.326,0.58,0.58,0.84,0.005,0.506,1.0,-4.0,7.0,4.0,0.8444444444444444,1.0,progress_timing_uncertain,progress_timing_moderate,ambiguous_progress_order,False,weak_majority_direction
