peak_id,peak_day,peak_score,peak_prominence,peak_rank,source_type,field
LP005,82,59.21762425438138,57.01919573862771,1,local_peak,P
LP006,95,33.259216108942724,2.697079011936019,2,local_peak,P
LP007,113,26.616812351441734,13.671071573827309,3,local_peak,P
LP003,45,26.563465838769993,23.644273666339963,4,local_peak,P
LP010,158,21.186921722771807,15.203520896940669,5,local_peak,P
LP004,65,17.206599258152806,1.8098269116812347,6,local_peak,P
LP002,34,13.170076876576445,0.055415345836280494,7,local_peak,P
LP008,126,5.946778876241709,2.2733764861211645,8,local_peak,P
LP009,138,5.071550450487186,1.9478064100064794,9,local_peak,P
LP001,18,4.698734265329099,0.2983249254912179,10,local_peak,P
LP009,161,34.08042868585578,13.347286740821886,1,local_peak,V
LP005,80,20.958436491781047,17.66532173359322,2,local_peak,V
LP007,114,20.004865865386734,16.643147862922163,3,local_peak,V
LP003,45,19.235007755373612,15.74030989036649,4,local_peak,V
LP004,69,15.678308096706484,0.30203060447690255,5,local_peak,V
LP006,95,10.70290382054478,3.944954001370127,6,local_peak,V
LP008,136,8.498506242322458,4.24103342475215,7,local_peak,V
LP002,30,6.941599316355871,1.4532927572151895,8,local_peak,V
LP001,16,5.335538519795408,0.6464691597620895,9,local_peak,V
LP006,115,34.607065236011024,34.03240521836985,1,local_peak,H
LP001,19,18.08402735192542,4.598182544472039,2,local_peak,H
LP005,95,13.787305052806543,9.529727098226754,3,local_peak,H
LP004,77,13.498661553176767,7.605537770951037,4,local_peak,H
LP002,35,10.10918859242761,2.7174480345794594,5,local_peak,H
LP008,155,9.746850391531572,9.19946629316152,6,local_peak,H
LP007,129,4.241067494898854,3.690235040788872,7,local_peak,H
LP003,57,3.066305324426809,0.3353298556509663,8,local_peak,H
LP008,162,20.266046161694703,9.530648597165301,1,local_peak,Je
LP006,111,16.652666002833563,13.926051816558019,2,local_peak,Je
LP007,136,14.318820217804232,9.11930641467108,3,local_peak,Je
LP003,46,12.201986759874023,9.170480551400946,4,local_peak,Je
LP005,94,7.771161835682942,0.16724403757758655,5,local_peak,Je
LP001,26,6.0665828732930125,2.9349912308518817,6,local_peak,Je
LP004,81,5.948923321784777,0.22616019411488608,7,local_peak,Je
LP002,33,5.442389697096082,0.42865536994512077,8,local_peak,Je
LP003,104,25.06998583750547,22.92601425681491,1,local_peak,Jw
LP004,130,21.9408475625849,13.628751898976635,2,local_peak,Jw
LP002,83,14.807843176914874,7.124378951803968,3,local_peak,Jw
LP001,41,11.770966007882706,9.626541282615204,4,local_peak,Jw
LP005,152,11.561730035015003,2.961404983804945,5,local_peak,Jw
