window_id,window_start_day,window_end_day,window_anchor_day,day,month_day,relative_to_anchor,field,score,is_peak_day
W002,40,48,45,40,05-11,-5,H,4.76587438338236,True
W002,40,48,45,41,05-12,-4,H,3.3780985969383193,False
W002,40,48,45,42,05-13,-3,H,2.2921681004408727,False
W002,40,48,45,43,05-14,-2,H,1.4852926382610656,False
W002,40,48,45,44,05-15,-1,H,0.94827276664101,False
W002,40,48,45,45,05-16,0,H,0.6708649510050593,False
W002,40,48,45,46,05-17,1,H,0.5746600176411749,False
W002,40,48,45,47,05-18,2,H,0.5764487734934733,False
W002,40,48,45,48,05-19,3,H,0.6542623819586404,False
W002,40,48,45,40,05-11,-5,Je,3.4589868024456614,False
W002,40,48,45,41,05-12,-4,Je,4.8011229039725665,False
W002,40,48,45,42,05-13,-3,Je,6.548734272628787,False
W002,40,48,45,43,05-14,-2,Je,8.58232030548438,False
W002,40,48,45,44,05-15,-1,Je,10.463693053711147,False
W002,40,48,45,45,05-16,0,Je,11.768001191895458,False
W002,40,48,45,46,05-17,1,Je,12.201986759874023,True
W002,40,48,45,47,05-18,2,Je,11.643310819387192,False
W002,40,48,45,48,05-19,3,Je,10.47138719644,False
W002,40,48,45,40,05-11,-5,Jw,11.460322172788048,False
W002,40,48,45,41,05-12,-4,Jw,11.770966007882706,True
W002,40,48,45,42,05-13,-3,Jw,11.667764707468015,False
W002,40,48,45,43,05-14,-2,Jw,11.319060825993866,False
W002,40,48,45,44,05-15,-1,Jw,10.94054628142348,False
W002,40,48,45,45,05-16,0,Jw,10.513710739521185,False
W002,40,48,45,46,05-17,1,Jw,9.77629609059732,False
W002,40,48,45,47,05-18,2,Jw,8.916572482936521,False
W002,40,48,45,48,05-19,3,Jw,8.224242444008077,False
W002,40,48,45,40,05-11,-5,P,19.606601774515653,False
W002,40,48,45,41,05-12,-4,P,21.79119492278679,False
W002,40,48,45,42,05-13,-3,P,23.51065727098314,False
W002,40,48,45,43,05-14,-2,P,24.99091024803176,False
W002,40,48,45,44,05-15,-1,P,26.249595777159243,False
W002,40,48,45,45,05-16,0,P,26.563465838769993,True
W002,40,48,45,46,05-17,1,P,24.791612115879776,False
W002,40,48,45,47,05-18,2,P,20.931446314397853,False
W002,40,48,45,48,05-19,3,P,16.08892037930392,False
W002,40,48,45,40,05-11,-5,V,11.723371554917993,False
W002,40,48,45,41,05-12,-4,V,13.619042058255335,False
W002,40,48,45,42,05-13,-3,V,15.454294380933383,False
W002,40,48,45,43,05-14,-2,V,17.17299025462375,False
W002,40,48,45,44,05-15,-1,V,18.575540197036105,False
W002,40,48,45,45,05-16,0,V,19.235007755373612,True
W002,40,48,45,46,05-17,1,V,18.753834070287763,False
W002,40,48,45,47,05-18,2,V,17.231841496314843,False
W002,40,48,45,48,05-19,3,V,15.223386141224116,False
W003,75,86,81,75,06-15,-6,H,12.777374006839231,False
W003,75,86,81,76,06-16,-5,H,13.312640589011737,False
W003,75,86,81,77,06-17,-4,H,13.498661553176767,True
W003,75,86,81,78,06-18,-3,H,13.241060062281143,False
W003,75,86,81,79,06-19,-2,H,12.645042336160685,False
W003,75,86,81,80,06-20,-1,H,11.906781007858935,False
W003,75,86,81,81,06-21,0,H,11.086424097084208,False
W003,75,86,81,82,06-22,1,H,10.143048281828067,False
W003,75,86,81,83,06-23,2,H,9.075358969592168,False
W003,75,86,81,84,06-24,3,H,7.995089720806907,False
W003,75,86,81,85,06-25,4,H,7.036577395562967,False
W003,75,86,81,86,06-26,5,H,6.308832465588756,False
W003,75,86,81,75,06-15,-6,Je,5.270966456976614,False
W003,75,86,81,76,06-16,-5,Je,5.476615298590638,False
W003,75,86,81,77,06-17,-4,Je,5.636927927466381,False
W003,75,86,81,78,06-18,-3,Je,5.754162439496927,False
W003,75,86,81,79,06-19,-2,Je,5.838258156572779,False
W003,75,86,81,80,06-20,-1,Je,5.912215056022428,False
W003,75,86,81,81,06-21,0,Je,5.948923321784777,False
W003,75,86,81,82,06-22,1,Je,5.873653416749018,False
W003,75,86,81,83,06-23,2,Je,5.740769171723617,False
W003,75,86,81,84,06-24,3,Je,5.722763127669891,False
W003,75,86,81,85,06-25,4,Je,5.8657182241578125,False
W003,75,86,81,86,06-26,5,Je,6.121295556100941,True
W003,75,86,81,75,06-15,-6,Jw,8.924300762801398,False
W003,75,86,81,76,06-16,-5,Jw,9.936940735545601,False
W003,75,86,81,77,06-17,-4,Jw,10.940946048577981,False
W003,75,86,81,78,06-18,-3,Jw,11.840246837069596,False
W003,75,86,81,79,06-19,-2,Jw,12.722878630264963,False
W003,75,86,81,80,06-20,-1,Jw,13.58982804331006,False
W003,75,86,81,81,06-21,0,Jw,14.296626416488884,False
W003,75,86,81,82,06-22,1,Jw,14.718508656230235,False
W003,75,86,81,83,06-23,2,Jw,14.807843176914874,True
W003,75,86,81,84,06-24,3,Jw,14.392605036173217,False
W003,75,86,81,85,06-25,4,Jw,13.493258384294823,False
W003,75,86,81,86,06-26,5,Jw,12.3339322509433,False
W003,75,86,81,75,06-15,-6,P,40.62255928180666,False
W003,75,86,81,76,06-16,-5,P,45.725257719434694,False
W003,75,86,81,77,06-17,-4,P,49.44429681814528,False
W003,75,86,81,78,06-18,-3,P,52.333653359340815,False
W003,75,86,81,79,06-19,-2,P,54.95677182721146,False
W003,75,86,81,80,06-20,-1,P,57.09541841398471,False
W003,75,86,81,81,06-21,0,P,58.71217332743492,False
W003,75,86,81,82,06-22,1,P,59.21762425438138,True
W003,75,86,81,83,06-23,2,P,58.00973149781387,False
W003,75,86,81,84,06-24,3,P,55.83504790998616,False
W003,75,86,81,85,06-25,4,P,52.70639802808164,False
W003,75,86,81,86,06-26,5,P,48.87683040567832,False
W003,75,86,81,75,06-15,-6,V,18.574462746294607,False
W003,75,86,81,76,06-16,-5,V,19.52154228642429,False
W003,75,86,81,77,06-17,-4,V,20.14945937845848,False
W003,75,86,81,78,06-18,-3,V,20.606371017910877,False
W003,75,86,81,79,06-19,-2,V,20.893911808495147,False
W003,75,86,81,80,06-20,-1,V,20.958436491781047,True
W003,75,86,81,81,06-21,0,V,20.60992109511487,False
W003,75,86,81,82,06-22,1,V,19.813936480235007,False
W003,75,86,81,83,06-23,2,V,18.50567658893936,False
W003,75,86,81,84,06-24,3,V,16.876986976424295,False
W003,75,86,81,85,06-25,4,V,14.92834023071871,False
W003,75,86,81,86,06-26,5,V,12.784746065475893,False
W005,107,117,113,107,07-17,-6,H,8.586263652550512,False
W005,107,117,113,108,07-18,-5,H,12.00134660251077,False
W005,107,117,113,109,07-19,-4,H,16.25384613655767,False
W005,107,117,113,110,07-20,-3,H,20.68610279548941,False
W005,107,117,113,111,07-21,-2,H,24.611441329409402,False
W005,107,117,113,112,07-22,-1,H,28.10977856347503,False
W005,107,117,113,113,07-23,0,H,31.397895680457076,False
W005,107,117,113,114,07-24,1,H,33.97293719395715,False
W005,107,117,113,115,07-25,2,H,34.607065236011024,True
W005,107,117,113,116,07-26,3,H,32.5957654819208,False
W005,107,117,113,117,07-27,4,H,28.40077459871698,False
W005,107,117,113,107,07-17,-6,Je,15.007958053776406,False
W005,107,117,113,108,07-18,-5,Je,15.954546190829195,False
W005,107,117,113,109,07-19,-4,Je,16.4185735104349,False
W005,107,117,113,110,07-20,-3,Je,16.616007311174407,False
W005,107,117,113,111,07-21,-2,Je,16.652666002833563,True
W005,107,117,113,112,07-22,-1,Je,16.52608405744318,False
W005,107,117,113,113,07-23,0,Je,15.97026287747683,False
W005,107,117,113,114,07-24,1,Je,14.979102104031966,False
W005,107,117,113,115,07-25,2,Je,13.700008757934901,False
W005,107,117,113,116,07-26,3,Je,12.08899032801864,False
W005,107,117,113,117,07-27,4,Je,10.207532071216573,False
W005,107,117,113,107,07-17,-6,Jw,24.717924468339127,True
W005,107,117,113,108,07-18,-5,Jw,24.63696658932396,False
W005,107,117,113,109,07-19,-4,Jw,24.177378157853518,False
W005,107,117,113,110,07-20,-3,Jw,23.169081002425564,False
W005,107,117,113,111,07-21,-2,Jw,21.627147807683592,False
W005,107,117,113,112,07-22,-1,Jw,19.549915189674103,False
W005,107,117,113,113,07-23,0,Jw,16.974676152538258,False
W005,107,117,113,114,07-24,1,Jw,14.111621373811143,False
W005,107,117,113,115,07-25,2,Jw,11.225043992467075,False
W005,107,117,113,116,07-26,3,Jw,8.434314439627272,False
W005,107,117,113,117,07-27,4,Jw,5.948034365374281,False
W005,107,117,113,107,07-17,-6,P,14.710068210967837,False
W005,107,117,113,108,07-18,-5,P,16.69232731530477,False
W005,107,117,113,109,07-19,-4,P,19.532468537395868,False
W005,107,117,113,110,07-20,-3,P,22.61836252400773,False
W005,107,117,113,111,07-21,-2,P,25.13601319028118,False
W005,107,117,113,112,07-22,-1,P,26.589265892094993,False
W005,107,117,113,113,07-23,0,P,26.616812351441734,True
W005,107,117,113,114,07-24,1,P,25.430997477767583,False
W005,107,117,113,115,07-25,2,P,23.211290500824617,False
W005,107,117,113,116,07-26,3,P,20.29151449874449,False
W005,107,117,113,117,07-27,4,P,16.49916859590669,False
W005,107,117,113,107,07-17,-6,V,7.3658308048829895,False
W005,107,117,113,108,07-18,-5,V,9.380851088340549,False
W005,107,117,113,109,07-19,-4,V,11.699134803640984,False
W005,107,117,113,110,07-20,-3,V,14.277789757541305,False
W005,107,117,113,111,07-21,-2,V,16.650406213534104,False
W005,107,117,113,112,07-22,-1,V,18.494079195534308,False
W005,107,117,113,113,07-23,0,V,19.59434522224982,False
W005,107,117,113,114,07-24,1,V,20.004865865386734,True
W005,107,117,113,115,07-25,2,V,19.743516174760764,False
W005,107,117,113,116,07-26,3,V,18.926013726039233,False
W005,107,117,113,117,07-27,4,V,17.878941440245736,False
W007,155,164,160,155,09-03,-5,H,9.746850391531572,True
W007,155,164,160,156,09-04,-4,H,8.737230289805415,False
W007,155,164,160,157,09-05,-3,H,7.123376540409716,False
W007,155,164,160,158,09-06,-2,H,5.456963500980963,False
W007,155,164,160,159,09-07,-1,H,3.9080497002252974,False
W007,155,164,160,160,09-08,0,H,2.5122076881083153,False
W007,155,164,160,161,09-09,1,H,1.3611521303235836,False
W007,155,164,160,162,09-10,2,H,0.6442144446765443,False
W007,155,164,160,163,09-11,3,H,0.393805128283212,False
W007,155,164,160,164,09-12,4,H,0.4567564427116304,False
W007,155,164,160,155,09-03,-5,Je,8.829590637586817,False
W007,155,164,160,156,09-04,-4,Je,10.537300612525723,False
W007,155,164,160,157,09-05,-3,Je,12.589655863943594,False
W007,155,164,160,158,09-06,-2,Je,14.86466286992279,False
W007,155,164,160,159,09-07,-1,Je,17.098626751221754,False
W007,155,164,160,160,09-08,0,Je,19.033830774063958,False
W007,155,164,160,161,09-09,1,Je,20.223520665922436,False
W007,155,164,160,162,09-10,2,Je,20.266046161694703,True
W007,155,164,160,163,09-11,3,Je,19.40288182219537,False
W007,155,164,160,164,09-12,4,Je,18.039385174623433,False
W007,155,164,160,155,09-03,-5,Jw,10.813803603691476,True
