window_id,order_rank,field,observed_peak_day,bootstrap_modal_peak_day,timing_confidence_label,usable_for_timing_order,caution
W002,1,H,35,35,boundary_truncated,False,observed_order_only_not_causal
W002,2,Jw,41,40,timing_uncertain,False,observed_order_only_not_causal
W002,3,P,45,45,timing_uncertain,False,observed_order_only_not_causal
W002,4,V,45,45,timing_moderate,True,observed_order_only_not_causal
W002,5,Je,46,46,timing_uncertain,False,observed_order_only_not_causal
W003,1,H,77,77,timing_uncertain,False,observed_order_only_not_causal
W003,2,V,80,70,boundary_truncated,False,observed_order_only_not_causal
W003,3,P,82,82,timing_uncertain,False,observed_order_only_not_causal
W003,4,Jw,83,83,timing_uncertain,False,observed_order_only_not_causal
W003,5,Je,91,91,boundary_truncated,False,observed_order_only_not_causal
W005,1,Jw,104,102,boundary_truncated,False,observed_order_only_not_causal
W005,2,Je,111,112,timing_uncertain,False,observed_order_only_not_causal
W005,3,P,113,102,boundary_truncated,False,observed_order_only_not_causal
W005,4,V,114,114,timing_uncertain,False,observed_order_only_not_causal
W005,5,H,115,115,timing_moderate,True,observed_order_only_not_causal
W007,1,Jw,152,150,boundary_truncated,False,observed_order_only_not_causal
W007,2,H,155,155,timing_uncertain,False,observed_order_only_not_causal
W007,3,P,158,158,timing_uncertain,False,observed_order_only_not_causal
W007,4,V,161,161,timing_uncertain,False,observed_order_only_not_causal
W007,5,Je,162,161,timing_moderate,True,observed_order_only_not_causal
