window_id,field,day,score,anchor_day,relative_to_anchor,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end
W002,P,35,13.114661530740165,45,-10,40,48,35,53
W002,P,36,13.15575449419936,45,-9,40,48,35,53
W002,P,37,13.809761551829801,45,-8,40,48,35,53
W002,P,38,15.011627201822623,45,-7,40,48,35,53
W002,P,39,17.080891456966242,45,-6,40,48,35,53
W002,P,40,19.606601774515653,45,-5,40,48,35,53
W002,P,41,21.79119492278679,45,-4,40,48,35,53
W002,P,42,23.51065727098314,45,-3,40,48,35,53
W002,P,43,24.99091024803176,45,-2,40,48,35,53
W002,P,44,26.249595777159243,45,-1,40,48,35,53
W002,P,45,26.563465838769993,45,0,40,48,35,53
W002,P,46,24.791612115879776,45,1,40,48,35,53
W002,P,47,20.931446314397853,45,2,40,48,35,53
W002,P,48,16.08892037930392,45,3,40,48,35,53
W002,P,49,11.20824222418974,45,4,40,48,35,53
W002,P,50,7.393165815863778,45,5,40,48,35,53
W002,P,51,4.783355078776255,45,6,40,48,35,53
W002,P,52,2.8933462785328246,45,7,40,48,35,53
W002,P,53,1.7931582192807323,45,8,40,48,35,53
W003,P,70,16.519254054800943,81,-11,75,86,70,91
W003,P,71,18.615251456416885,81,-10,75,86,70,91
W003,P,72,22.354239563128925,81,-9,75,86,70,91
W003,P,73,28.01234876973806,81,-8,75,86,70,91
W003,P,74,34.430005012433526,81,-7,75,86,70,91
W003,P,75,40.62255928180666,81,-6,75,86,70,91
W003,P,76,45.725257719434694,81,-5,75,86,70,91
W003,P,77,49.44429681814528,81,-4,75,86,70,91
W003,P,78,52.333653359340815,81,-3,75,86,70,91
W003,P,79,54.95677182721146,81,-2,75,86,70,91
W003,P,80,57.09541841398471,81,-1,75,86,70,91
W003,P,81,58.71217332743492,81,0,75,86,70,91
W003,P,82,59.21762425438138,81,1,75,86,70,91
W003,P,83,58.00973149781387,81,2,75,86,70,91
W003,P,84,55.83504790998616,81,3,75,86,70,91
W003,P,85,52.70639802808164,81,4,75,86,70,91
W003,P,86,48.87683040567832,81,5,75,86,70,91
W003,P,87,44.62173444681972,81,6,75,86,70,91
W003,P,88,39.976874062524615,81,7,75,86,70,91
W003,P,89,36.251938447045816,81,8,75,86,70,91
W003,P,90,33.413095917496236,81,9,75,86,70,91
W003,P,91,31.270637153828254,81,10,75,86,70,91
W005,P,102,18.50314315134385,113,-11,107,117,102,122
W005,P,103,15.772442171278987,113,-10,107,117,102,122
W005,P,104,13.740892948490607,113,-9,107,117,102,122
W005,P,105,12.945740777614425,113,-8,107,117,102,122
W005,P,106,13.455465940622437,113,-7,107,117,102,122
W005,P,107,14.710068210967837,113,-6,107,117,102,122
W005,P,108,16.69232731530477,113,-5,107,117,102,122
W005,P,109,19.532468537395868,113,-4,107,117,102,122
W005,P,110,22.61836252400773,113,-3,107,117,102,122
W005,P,111,25.13601319028118,113,-2,107,117,102,122
W005,P,112,26.589265892094993,113,-1,107,117,102,122
W005,P,113,26.616812351441734,113,0,107,117,102,122
W005,P,114,25.430997477767583,113,1,107,117,102,122
W005,P,115,23.211290500824617,113,2,107,117,102,122
W005,P,116,20.29151449874449,113,3,107,117,102,122
W005,P,117,16.49916859590669,113,4,107,117,102,122
W005,P,118,12.54963409782051,113,5,107,117,102,122
W005,P,119,9.193929744315138,113,6,107,117,102,122
W005,P,120,6.415011750851125,113,7,107,117,102,122
W005,P,121,4.440561909888679,113,8,107,117,102,122
W005,P,122,3.673402390120544,113,9,107,117,102,122
W007,P,150,7.084108572219209,160,-10,155,164,150,169
W007,P,151,9.520710598123664,160,-9,155,164,150,169
W007,P,152,12.349912490840335,160,-8,155,164,150,169
W007,P,153,14.93534115250964,160,-7,155,164,150,169
W007,P,154,17.103740042524826,160,-6,155,164,150,169
W007,P,155,18.739719715808558,160,-5,155,164,150,169
W007,P,156,20.038379639918126,160,-4,155,164,150,169
W007,P,157,21.02810941477442,160,-3,155,164,150,169
W007,P,158,21.186921722771807,160,-2,155,164,150,169
W007,P,159,19.749519002548524,160,-1,155,164,150,169
W007,P,160,17.76029095214629,160,0,155,164,150,169
W007,P,161,15.618548639594898,160,1,155,164,150,169
W007,P,162,13.572455514006393,160,2,155,164,150,169
W007,P,163,11.92922475353723,160,3,155,164,150,169
W007,P,164,10.320547307747235,160,4,155,164,150,169
W007,P,165,8.885666155393693,160,5,155,164,150,169
W007,P,166,7.470763330079012,160,6,155,164,150,169
W007,P,167,6.3463306988578285,160,7,155,164,150,169
W007,P,168,5.983400825831138,160,8,155,164,150,169
W002,V,35,5.5231952285900725,45,-10,40,48,35,53
W002,V,36,5.97766501711585,45,-9,40,48,35,53
W002,V,37,6.867710033578259,45,-8,40,48,35,53
W002,V,38,8.126451448039939,45,-7,40,48,35,53
W002,V,39,9.79089190044655,45,-6,40,48,35,53
W002,V,40,11.723371554917993,45,-5,40,48,35,53
W002,V,41,13.619042058255335,45,-4,40,48,35,53
W002,V,42,15.454294380933383,45,-3,40,48,35,53
W002,V,43,17.17299025462375,45,-2,40,48,35,53
W002,V,44,18.575540197036105,45,-1,40,48,35,53
W002,V,45,19.235007755373612,45,0,40,48,35,53
W002,V,46,18.753834070287763,45,1,40,48,35,53
W002,V,47,17.231841496314843,45,2,40,48,35,53
W002,V,48,15.223386141224116,45,3,40,48,35,53
W002,V,49,13.123626056626083,45,4,40,48,35,53
W002,V,50,10.972375391612863,45,5,40,48,35,53
W002,V,51,8.69287070272132,45,6,40,48,35,53
W002,V,52,6.349150896157054,45,7,40,48,35,53
W002,V,53,4.260674462028415,45,8,40,48,35,53
W003,V,70,15.483832580479003,81,-11,75,86,70,91
W003,V,71,15.376277492229582,81,-10,75,86,70,91
W003,V,72,15.666766019545522,81,-9,75,86,70,91
W003,V,73,16.40613533870948,81,-8,75,86,70,91
W003,V,74,17.391488270211497,81,-7,75,86,70,91
W003,V,75,18.574462746294607,81,-6,75,86,70,91
W003,V,76,19.52154228642429,81,-5,75,86,70,91
W003,V,77,20.14945937845848,81,-4,75,86,70,91
W003,V,78,20.606371017910877,81,-3,75,86,70,91
W003,V,79,20.893911808495147,81,-2,75,86,70,91
W003,V,80,20.958436491781047,81,-1,75,86,70,91
W003,V,81,20.60992109511487,81,0,75,86,70,91
W003,V,82,19.813936480235007,81,1,75,86,70,91
W003,V,83,18.50567658893936,81,2,75,86,70,91
W003,V,84,16.876986976424295,81,3,75,86,70,91
W003,V,85,14.92834023071871,81,4,75,86,70,91
W003,V,86,12.784746065475893,81,5,75,86,70,91
W003,V,87,10.686603613825113,81,6,75,86,70,91
W003,V,88,8.862263422625851,81,7,75,86,70,91
W003,V,89,7.463613671055438,81,8,75,86,70,91
W003,V,90,6.7579498191746525,81,9,75,86,70,91
W003,V,91,6.913889703464083,81,10,75,86,70,91
W005,V,102,3.9083507680690843,113,-11,107,117,102,122
W005,V,103,3.2931147581878255,113,-10,107,117,102,122
W005,V,104,3.310156757879513,113,-9,107,117,102,122
W005,V,105,4.083709405694646,113,-8,107,117,102,122
W005,V,106,5.524400956982682,113,-7,107,117,102,122
W005,V,107,7.3658308048829895,113,-6,107,117,102,122
W005,V,108,9.380851088340549,113,-5,107,117,102,122
W005,V,109,11.699134803640984,113,-4,107,117,102,122
W005,V,110,14.277789757541305,113,-3,107,117,102,122
W005,V,111,16.650406213534104,113,-2,107,117,102,122
W005,V,112,18.494079195534308,113,-1,107,117,102,122
W005,V,113,19.59434522224982,113,0,107,117,102,122
W005,V,114,20.004865865386734,113,1,107,117,102,122
W005,V,115,19.743516174760764,113,2,107,117,102,122
W005,V,116,18.926013726039233,113,3,107,117,102,122
W005,V,117,17.878941440245736,113,4,107,117,102,122
W005,V,118,16.6755871013496,113,5,107,117,102,122
W005,V,119,15.352789043376896,113,6,107,117,102,122
W005,V,120,14.26555932340824,113,7,107,117,102,122
W005,V,121,13.507099109014508,113,8,107,117,102,122
W005,V,122,12.779736687982352,113,9,107,117,102,122
W007,V,150,8.59316664770476,160,-10,155,164,150,169
W007,V,151,9.905125175237888,160,-9,155,164,150,169
W007,V,152,11.801109714904982,160,-8,155,164,150,169
W007,V,153,14.729375434145773,160,-7,155,164,150,169
W007,V,154,18.565749147048223,160,-6,155,164,150,169
W007,V,155,22.37029727573204,160,-5,155,164,150,169
W007,V,156,25.227418961709308,160,-4,155,164,150,169
W007,V,157,27.139169207696106,160,-3,155,164,150,169
W007,V,158,28.818893059905392,160,-2,155,164,150,169
W007,V,159,30.857005968908307,160,-1,155,164,150,169
