window_id,object_A,object_B,state_dist_main,state_dist_baseline_status,growth_dist_main,growth_dist_baseline_status,state_dist_C2_flag,growth_dist_C2_flag,state_pattern_main,state_pattern_baseline_status,growth_pattern_main,growth_pattern_baseline_status,state_pattern_C2_flag,growth_pattern_C2_flag,state_branch_status,growth_branch_status,interpretation_readiness
W045,H,Je,C0=A_front_B_catchup;C1=A_front_B_catchup,baseline_conflict,C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,baseline_conflict,C2_sensitive,C2_sensitive,multi_crossing_unstable,baseline_main_tendency,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_consistent,C2_sensitive,branch_split,branch_split,audit_only_or_unresolved
W045,H,Jw,C0=A_front_B_catchup;C1=A_front_B_catchup,baseline_conflict,C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,baseline_conflict,C2_sensitive,C2_sensitive,multi_crossing_unstable,baseline_main_tendency,C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,baseline_conflict,C2_consistent,C2_sensitive,branch_split,branch_consistent,audit_only_or_unresolved
W045,Je,Jw,C0=multi_crossing_unstable;C1=A_front_B_catchup,baseline_conflict,C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,A_growth_front_B_catchup,baseline_main_supported,C2_sensitive,C2_consistent,branch_split,branch_split,audit_only_or_unresolved
W045,P,H,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_consistent,branch_consistent,audit_only_or_unresolved
W045,P,Je,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_consistent,branch_consistent,audit_only_or_unresolved
W045,P,Jw,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_consistent,branch_consistent,audit_only_or_unresolved
W045,P,V,C0=state_reversal_B_to_A;C1=state_reversal_B_to_A,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=A_growth_front_B_catchup;C1=A_growth_front_B_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_split,branch_split,audit_only_or_unresolved
W045,V,H,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,multi_crossing_unstable,baseline_main_tendency,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_consistent,C2_sensitive,branch_split,branch_consistent,audit_only_or_unresolved
W045,V,Je,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_consistent,branch_consistent,audit_only_or_unresolved
W045,V,Jw,C0=state_reversal_A_to_B;C1=state_reversal_A_to_B,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,C0=multi_crossing_unstable;C1=multi_crossing_unstable,baseline_conflict,C0=B_growth_front_A_catchup;C1=B_growth_front_A_catchup,baseline_conflict,C2_sensitive,C2_sensitive,branch_split,branch_consistent,audit_only_or_unresolved
