baseline_config,branch,event_family,event_name,H_event_status,Jw_event_status,H_day_observed,Jw_day_observed,observed_delta_Jw_minus_H,delta_median,delta_q05,delta_q95,delta_q025,delta_q975,P_H_leads,P_Jw_leads,sync_equivalence_pass,bootstrap_valid_fraction,final_decision,decision_level
C0_full_stage,distance,growth,growth_onset_day,left_censored,valid,,43.0,,,,,,,,,False,0.304,invalid_event,observed_event_invalid
C0_full_stage,distance,growth,growth_peak_day,valid,valid,36.0,50.0,14.0,,,,,,,,False,0.665,invalid_event,invalid_or_low_valid_fraction
C0_full_stage,distance,growth,growth_window_center,left_censored,valid,35.996217847929984,48.321815806186756,12.325597958256772,,,,,,,,False,0.331,invalid_event,observed_event_invalid
C0_full_stage,distance,growth,growth_window_end,left_censored,valid,37.0,53.0,16.0,,,,,,,,False,0.331,invalid_event,observed_event_invalid
C0_full_stage,distance,growth,growth_window_start,left_censored,valid,35.0,43.0,8.0,,,,,,,,False,0.331,invalid_event,observed_event_invalid
C0_full_stage,pattern,growth,growth_onset_day,valid,valid,36.0,37.0,1.0,1.0,-2.0,9.0,-3.5749999999999993,10.574999999999932,0.39853300733496333,0.0550122249388753,False,0.818,unresolved,method_unclosed
C0_full_stage,pattern,growth,growth_peak_day,valid,valid,38.0,38.0,0.0,1.0,-4.0,11.0,-6.0,12.0,0.4966960352422907,0.2610132158590308,False,0.908,unresolved,method_unclosed
C0_full_stage,pattern,growth,growth_window_center,valid,valid,38.50059322696508,37.99464428531994,-0.505948941645137,3.1914592086178573,-3.4343942156002454,10.577054521939374,-4.527907906690924,11.50680407644975,0.6349942062572422,0.21668597914252608,False,0.863,unresolved,method_unclosed
C0_full_stage,pattern,growth,growth_window_end,valid,valid,41.0,39.0,-2.0,5.0,-5.0,13.0,-6.449999999999999,13.0,0.6280417149478563,0.23290845886442643,False,0.863,unresolved,method_unclosed
C0_full_stage,pattern,growth,growth_window_start,valid,valid,36.0,37.0,1.0,1.0,-3.0,10.0,-4.0,11.449999999999932,0.49942062572421786,0.08342989571263036,False,0.863,unresolved,method_unclosed
C1_buffered_stage,distance,growth,growth_onset_day,left_censored,valid,,44.0,,,,,,,,,False,0.155,invalid_event,observed_event_invalid
C1_buffered_stage,distance,growth,growth_peak_day,valid,valid,36.0,50.0,14.0,,,,,,,,False,0.661,invalid_event,invalid_or_low_valid_fraction
C1_buffered_stage,distance,growth,growth_window_center,valid,right_censored,35.99468158000736,48.71655778003682,12.721876200029463,,,,,,,,False,0.215,invalid_event,observed_event_invalid
C1_buffered_stage,distance,growth,growth_window_end,valid,right_censored,37.0,53.0,16.0,,,,,,,,False,0.215,invalid_event,observed_event_invalid
C1_buffered_stage,distance,growth,growth_window_start,valid,right_censored,35.0,44.0,9.0,,,,,,,,False,0.215,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,growth,growth_onset_day,left_censored,valid,,36.0,,,,,,,,,False,0.153,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,growth,growth_peak_day,valid,valid,38.0,38.0,0.0,1.0,-6.0,11.0,-11.0,12.0,0.44789356984478934,0.24279379157427938,False,0.902,unresolved,method_unclosed
C1_buffered_stage,pattern,growth,growth_window_center,left_censored,valid,39.13514538403352,46.53434164868127,7.399196264647749,,,,,,,,False,0.25,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,growth,growth_window_end,left_censored,valid,44.0,50.0,6.0,,,,,,,,False,0.25,invalid_event,observed_event_invalid
C1_buffered_stage,pattern,growth,growth_window_start,left_censored,valid,35.0,43.0,8.0,,,,,,,,False,0.25,invalid_event,observed_event_invalid
C2_immediate_pre,distance,growth,growth_onset_day,left_censored,valid,,37.0,,,,,,,,,False,0.095,invalid_event,observed_event_invalid
C2_immediate_pre,distance,growth,growth_peak_day,valid,valid,36.0,50.0,14.0,,,,,,,,False,0.657,invalid_event,invalid_or_low_valid_fraction
C2_immediate_pre,distance,growth,growth_window_center,left_censored,valid,35.993731130273034,48.257263995800066,12.263532865527033,,,,,,,,False,0.158,invalid_event,observed_event_invalid
C2_immediate_pre,distance,growth,growth_window_end,left_censored,valid,37.0,53.0,16.0,,,,,,,,False,0.158,invalid_event,observed_event_invalid
C2_immediate_pre,distance,growth,growth_window_start,left_censored,valid,35.0,43.0,8.0,,,,,,,,False,0.158,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,growth,growth_onset_day,left_censored,valid,,37.0,,,,,,,,,False,0.128,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,growth,growth_peak_day,valid,valid,38.0,38.0,0.0,1.0,-11.0,10.0,-12.0,12.0,0.4237837837837838,0.28,False,0.925,unresolved,method_unclosed
C2_immediate_pre,pattern,growth,growth_window_center,left_censored,valid,39.244070556489035,46.45334266604996,7.209272109560928,,,,,,,,False,0.158,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,growth,growth_window_end,left_censored,valid,44.0,49.0,5.0,,,,,,,,False,0.158,invalid_event,observed_event_invalid
C2_immediate_pre,pattern,growth,growth_window_start,left_censored,valid,35.0,44.0,9.0,,,,,,,,False,0.158,invalid_event,observed_event_invalid
