field,day,field_change_norm,delta_P_dist,delta_R_diff,field_change_norm_smooth3,delta_P_dist_smooth3,delta_R_diff_smooth3
H,30,,,,1.5227629522582744,-0.039262952928650674,-0.0005452370528665762
H,31,1.5227629522582744,-0.039262952928650674,-0.0005452370528665762,1.4165035307015343,-0.04055524665729831,-0.00021678570204064496
H,32,1.3102441091447943,-0.041847540385945944,0.00011166564878528629,1.3485321194387243,-0.041847540385945944,8.476087852027359e-05
H,33,1.3485321194387243,-0.053806523758868165,8.476087852027359e-05,1.3485321194387243,-0.041847540385945944,8.476087852027359e-05
H,34,1.4877666437728214,-0.022729246014053427,3.332714010451099e-05,1.4877666437728214,-0.022729246014053427,8.476087852027359e-05
H,35,1.6500114883540826,0.09338406411512674,0.0002838819702062345,1.6500114883540826,0.09338406411512674,3.332714010451099e-05
H,36,1.785517436209024,0.10075155004000247,-5.672318004990018e-05,1.6500114883540826,0.09338406411512674,0.000245081238764322
H,37,1.6049047967267929,0.0880482449921374,0.000245081238764322,1.6049047967267929,0.0880482449921374,0.000245081238764322
H,38,1.5412555871158848,0.08358453631052759,0.0008806409170665219,1.5412555871158848,0.08358453631052759,0.0008806409170665219
H,39,1.2643166667902948,0.06281072078957722,0.0011058746415247844,1.2643166667902948,0.06281072078957722,0.0008806409170665219
H,40,0.9167407873719733,0.03758741390741083,0.0005225248978520947,0.9167407873719733,0.03758741390741083,0.0005225248978520947
H,41,0.7732856046261583,0.007990882720467885,0.00016345002472062387,0.7732856046261583,0.012028675939653843,0.0005225248978520947
H,42,0.5500254501906497,0.012028675939653843,0.0006659875429824158,0.5500254501906497,0.010380337926241379,0.0004007250258345474
H,43,0.3664703642258115,0.010380337926241379,0.0004007250258345474,0.42867846642373564,0.010380337926241379,0.0004007250258345474
H,44,0.42867846642373564,-0.0038778367929463986,0.0003739712347669011,0.42867846642373564,-0.0038778367929463986,0.0004007250258345474
H,45,0.8517374456537148,-0.015549208586841612,0.001010989464783285,0.8171101962213315,-0.007469955822188901,0.0007967226223981605
H,46,0.8171101962213315,-0.007469955822188901,0.0007967226223981605,0.8171101962213315,-0.007469955822188901,0.0007967226223981605
H,47,0.7072026753842696,-0.004507014243208762,0.00038738532483839627,0.716125312318854,-0.004507014243208762,0.0005293485871324943
H,48,0.716125312318854,0.01110928880039086,0.0005293485871324943,0.716125312318854,0.01110928880039086,0.0005293485871324943
H,49,1.0951430296281757,0.049552574606381294,0.001024168406971171,1.0951430296281757,0.049552574606381294,0.0009715253112316802
H,50,1.666387804180169,0.09221142548162753,0.0009715253112316802,1.3505105992371016,0.07696609911239882,0.0009715253112316802
H,51,1.3505105992371016,0.07696609911239882,0.0007717663740987035,1.3505105992371016,0.07696609911239882,0.0009715253112316802
H,52,0.9588634490857483,0.05009707400539565,0.0010715848093183489,1.06206129458401,0.0534087909844696,0.0008581151573445744
H,53,1.06206129458401,0.0534087909844696,0.0008581151573445744,0.998080898180284,0.0534087909844696,0.0008581151573445744
H,54,0.998080898180284,0.05459245643263677,0.0004627142843947052,0.998080898180284,0.0534087909844696,0.0006617706652685129
H,55,0.9103034123830367,0.04729957552775643,0.0006617706652685129,0.9770558066383026,0.04729957552775643,0.000538179329296451
H,56,0.9770558066383026,0.030547709080367302,0.000538179329296451,0.9246461480267406,0.030547709080367302,0.000538179329296451
H,57,0.9246461480267406,-0.010974989802086776,-0.00034457089885464587,0.9246461480267406,-0.010974989802086776,-0.00034457089885464587
H,58,0.7205450158670319,-0.024104519592877516,-0.0003454573305846642,0.7205450158670319,-0.016743813849532385,-0.00034457089885464587
H,59,0.5302405621520858,-0.016743813849532385,-6.858208047655356e-05,0.7205450158670319,-0.021182729672824863,-6.858208047655356e-05
H,60,0.7224389533279029,-0.021182729672824863,0.0002973255765801319,0.6263397577399943,-0.018963271761178624,0.00011437174805178918
Jw,30,,,,0.3743362023852438,-0.030647696155201354,0.03935043353087442
Jw,31,0.3743362023852438,-0.030647696155201354,0.03935043353087442,0.4022061850897566,-0.03583731530222774,0.05928689842328788
Jw,32,0.43007616779426944,-0.041026934449254114,0.07922336331570135,0.3743362023852438,-0.030647696155201354,0.07922336331570135
Jw,33,0.35206318354178834,-0.017252935459160464,0.09088004550723172,0.35206318354178834,-0.017252935459160464,0.07922336331570135
Jw,34,0.23804684442302168,0.015684198385145683,0.05897337492124499,0.23804684442302168,0.010855410439118973,0.05897337492124499
Jw,35,0.165424962430846,0.010855410439118973,0.022963468768142814,0.17086909880344828,0.015684198385145683,0.039108540907472844
Jw,36,0.17086909880344828,0.019907834734908474,0.039108540907472844,0.17086909880344828,0.019907834734908474,0.039108540907472844
Jw,37,0.33862311583823973,0.04472758707486374,0.10770703007753135,0.33862311583823973,0.04472758707486374,0.10770703007753135
