metric_or_definition,event_marker,H_day_observed,Jw_day_observed,observed_delta_Jw_minus_H,valid_bootstrap_pairs,delta_median,delta_q05,delta_q95,delta_q025,delta_q975,P_H_leads,P_Jw_leads,sync_equivalence_pass_1d,final_decision
Dpost_closest,Dpost_closest_to_post_day,56.0,57.0,1.0,1000,0.0,-1.0,2.0,-1.0,2.0,0.08,0.012,False,unresolved
Orthogonal,Orthogonal_max_ratio_day,43.0,46.0,3.0,1000,2.0,-1.0,6.0,-3.0,8.0,0.738,0.047,False,unresolved
P_dist_durable,P_dist_durable_t50,48.0,46.0,-2.0,1000,-1.0,-6.0,9.0,-6.0,10.0,0.418,0.444,False,unresolved
P_dist_durable,P_dist_durable_t75,52.0,51.0,-1.0,999,-1.0,-3.0,2.0,-4.0,2.0,0.08408408408408409,0.3213213213213213,False,unresolved
P_dist,P_dist_t25,37.0,40.0,3.0,1000,3.0,1.0,10.0,0.0,11.0,0.854,0.008,False,unresolved
P_dist,P_dist_t50,41.0,46.0,5.0,1000,5.0,-5.0,10.0,-6.0,10.0,0.685,0.235,False,unresolved
P_dist,P_dist_t75,52.0,51.0,-1.0,1000,-1.0,-3.0,2.0,-4.0,2.0,0.084,0.322,False,unresolved
P_proj_durable,P_proj_durable_t50,48.0,46.0,-2.0,1000,-1.0,-6.0,9.0,-6.0,10.0,0.418,0.444,False,unresolved
P_proj_durable,P_proj_durable_t75,52.0,51.0,-1.0,1000,-1.0,-4.0,2.0,-5.0,3.0,0.076,0.391,False,unresolved
P_proj,P_proj_t25,37.0,41.0,4.0,1000,4.0,1.0,8.0,0.0,9.0,0.885,0.005,False,unresolved
P_proj,P_proj_t50,41.0,46.0,5.0,1000,5.0,-5.0,10.0,-6.0,10.0,0.685,0.235,False,unresolved
P_proj,P_proj_t75,52.0,51.0,-1.0,1000,-1.0,-4.0,9.0,-5.0,11.0,0.131,0.373,False,unresolved
Rdiff,Rdiff_post_dominance_day,47.0,43.0,-4.0,1000,-4.0,-9.0,3.0,-10.0,5.0,0.122,0.693,False,unresolved
