window_id,anchor_day,field,marker_family,marker_name,marker_column,observed_value,median,q05,q95,q90_width,q025,q975,q95_width,valid_fraction,edge_hit_fraction,marker_reliability_label,marker_interpretation
W002,45,P,departure,departure90,departure90_day,37.0,37.0,37.0,40.0,3.0,37.0,40.0,3.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,departure,departure95,departure95_day,37.0,37.0,37.0,40.0,3.0,37.0,40.0,3.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t10,t10_day,37.0,37.0,35.0,40.0,5.0,35.0,41.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t15,t15_day,39.0,39.0,36.0,41.0,5.0,36.0,41.0,5.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t20,t20_day,39.0,40.0,37.0,42.0,5.0,37.0,43.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t25,t25_day,40.0,40.0,38.0,43.0,5.0,38.0,44.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t30,t30_day,41.0,41.0,39.0,44.0,5.0,39.0,44.0,5.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t35,t35_day,41.0,41.0,39.0,45.0,6.0,39.0,45.0,6.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,P,threshold,t40,t40_day,42.0,42.0,40.0,45.0,5.0,40.0,45.0,5.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t45,t45_day,42.0,42.0,40.0,45.0,5.0,40.0,46.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t50,t50_day,44.0,44.0,41.0,46.0,5.0,40.975,46.0,5.024999999999999,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,threshold,t75,t75_day,46.0,46.0,44.0,49.0,5.0,44.0,51.0,7.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,P,peak_change,peak_change_raw,peak_change_day_raw,45.0,45.0,40.0,47.0,7.0,40.0,48.02499999999998,8.024999999999977,1.0,,usable_with_caution,process summary marker; not the transition process itself
W002,45,P,peak_change,peak_change_smooth3,peak_change_day_smooth3,46.0,45.0,40.0,47.0,7.0,40.0,47.0,7.0,1.0,,usable_with_caution,process summary marker; not the transition process itself
W002,45,P,duration,duration_25_75,duration_25_75,7.0,7.0,5.0,10.0,5.0,5.0,11.0,6.0,1.0,,usable,process summary marker; not the transition process itself
W002,45,P,tail,tail_50_75,tail_50_75,2.0,3.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,,usable,process summary marker; not the transition process itself
W002,45,P,early_span,early_span_25_50,early_span_25_50,4.0,3.0,2.0,5.0,3.0,1.0,6.0,5.0,1.0,,usable,process summary marker; not the transition process itself
W002,45,V,departure,departure90,departure90_day,37.0,37.0,37.0,41.0,4.0,37.0,41.0,4.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,departure,departure95,departure95_day,37.0,37.0,37.0,41.0,4.0,37.0,41.0,4.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t10,t10_day,38.0,38.0,36.0,42.0,6.0,36.0,43.0,7.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,V,threshold,t15,t15_day,40.0,40.0,37.0,43.0,6.0,37.0,44.0,7.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,V,threshold,t20,t20_day,41.0,40.0,38.0,44.0,6.0,38.0,44.0,6.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,V,threshold,t25,t25_day,41.0,41.0,39.0,44.0,5.0,39.0,45.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t30,t30_day,42.0,42.0,40.0,45.0,5.0,39.0,45.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t35,t35_day,43.0,43.0,40.0,45.0,5.0,40.0,46.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t40,t40_day,44.0,44.0,41.0,46.0,5.0,41.0,47.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t45,t45_day,45.0,44.0,41.0,47.0,6.0,41.0,47.0,6.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,V,threshold,t50,t50_day,45.0,45.0,42.0,47.0,5.0,42.0,48.0,6.0,1.0,0.0,usable,process summary marker; not the transition process itself
W002,45,V,threshold,t75,t75_day,48.0,48.0,45.0,51.0,6.0,45.0,52.0,7.0,1.0,0.0,usable_with_caution,process summary marker; not the transition process itself
W002,45,V,peak_change,peak_change_raw,peak_change_day_raw,45.0,45.0,40.0,52.0,12.0,40.0,52.0,12.0,1.0,,broad_uncertain,process summary marker; not the transition process itself
W002,45,V,peak_change,peak_change_smooth3,peak_change_day_smooth3,46.0,46.0,41.0,52.0,11.0,40.0,52.0,12.0,1.0,,broad_uncertain,process summary marker; not the transition process itself
