window_id,field,bootstrap_id,v7e_anchor_day,v7e_onset_day,v7e_midpoint_day,v7e_finish_day,v7e_duration,v7e_pre_post_separation_label,v7e_progress_quality_label,v7e_progress_monotonicity_corr,v7e_n_crossings_025,v7e_n_crossings_050,v7e_n_crossings_075,marker_extract_status,t10_day,t15_day,t20_day,t25_day,t30_day,t35_day,t40_day,t45_day,t50_day,t75_day,pre_progress_upper90,pre_progress_upper95,departure90_day,departure95_day,peak_change_day_raw,peak_change_value_raw,peak_change_day_smooth3,peak_change_value_smooth3,duration_25_75,tail_50_75,early_span_25_50,analysis_start,analysis_end,progress_at_analysis_start,progress_at_anchor,progress_at_analysis_end
W002,P,0,45,41.0,44.0,46.0,6.0,clear_separation,monotonic_clear_progress,0.919691065285756,1,1,1,success,38.0,39.0,40.0,41.0,41.0,42.0,43.0,44.0,44.0,46.0,0.06110955788401294,0.07282857749970396,37.0,37.0,45.0,0.17598733053878024,46.0,0.146870983189191,6.0,2.0,3.0,30,60,0.0,0.6885415401880439,0.8773738433094329
W002,V,0,45,42.0,45.0,48.0,7.0,clear_separation,monotonic_clear_progress,0.9529084547916779,1,1,1,success,40.0,41.0,42.0,42.0,43.0,44.0,44.0,45.0,45.0,48.0,0.019199550545204988,0.027084669938782748,37.0,37.0,45.0,0.12770831041264347,46.0,0.11022311907207338,7.0,3.0,3.0,30,60,0.0,0.5337398542553765,0.9705238650126491
W002,H,0,45,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress,0.8525478485974851,1,3,3,success,35.0,35.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,40.0,0.3846657143605986,0.4335779713043738,37.0,37.0,36.0,0.1506728744894644,36.0,0.146226229882386,5.0,2.0,2.0,30,60,0.0,0.645309156871545,1.0
W002,Je,0,45,44.0,46.0,48.0,5.0,clear_separation,monotonic_clear_progress,0.931976741177075,1,1,1,success,30.0,43.0,43.0,44.0,44.0,44.0,45.0,45.0,46.0,48.0,0.11682902234155927,0.13407602481053763,42.0,42.0,46.0,0.12577884940825684,45.0,0.12078822726429883,5.0,2.0,2.0,30,60,0.15132302727951602,0.4789574470761288,1.0
W002,Jw,0,45,38.0,40.0,45.0,8.0,clear_separation,nonmonotonic_progress,0.950775637225843,1,1,3,success,37.0,37.0,38.0,38.0,39.0,39.0,39.0,40.0,40.0,45.0,0.10476883601705816,0.13767643043110506,37.0,37.0,39.0,0.13097319444392275,38.0,0.11482839684912877,8.0,5.0,2.0,30,60,0.0,0.7805447019734777,1.0
W002,P,1,45,40.0,45.0,47.0,8.0,clear_separation,monotonic_clear_progress,0.9339890570747666,1,1,1,success,34.0,37.0,39.0,40.0,44.0,44.0,45.0,45.0,45.0,47.0,0.15950752644703564,0.17362204812034696,39.0,39.0,47.0,0.1727855549866658,46.0,0.1608027230250777,8.0,2.0,5.0,30,60,0.0,0.5450727498443035,0.9295878338117264
W002,V,1,45,40.0,45.0,47.0,8.0,clear_separation,monotonic_clear_progress,0.9608561948028185,1,1,1,success,36.0,37.0,38.0,40.0,41.0,42.0,44.0,45.0,45.0,47.0,0.15600386471719843,0.1777121681275874,37.0,37.0,45.0,0.11875926771829137,46.0,0.11109202191294243,8.0,2.0,5.0,30,60,0.0,0.5655459736975609,0.9853724899672048
W002,H,1,45,37.0,39.0,42.0,6.0,clear_separation,monotonic_clear_progress,0.930919858121298,1,1,1,success,35.0,36.0,36.0,37.0,37.0,38.0,38.0,39.0,39.0,42.0,0.25797407983251824,0.29221150132277324,37.0,37.0,35.0,0.1087324918570399,36.0,0.1016271083026464,6.0,3.0,2.0,30,60,0.0,0.7930552657799983,1.0
W002,Je,1,45,46.0,48.0,52.0,7.0,clear_separation,monotonic_clear_progress,0.946227704856531,1,1,1,success,43.0,45.0,45.0,46.0,46.0,47.0,47.0,48.0,48.0,52.0,0.024810342837659018,0.030868581112743692,41.0,41.0,46.0,0.09719366344098235,47.0,0.09576233897038877,7.0,4.0,2.0,30,60,0.03692681938782838,0.21430703248472122,1.0
W002,Jw,1,45,40.0,43.0,47.0,8.0,clear_separation,monotonic_clear_progress,0.955257781060013,1,1,1,success,38.0,38.0,39.0,40.0,40.0,41.0,42.0,42.0,43.0,47.0,0.048502971644586855,0.06613278327589903,37.0,37.0,39.0,0.08570953595713876,40.0,0.0815635497612687,8.0,4.0,3.0,30,60,0.0,0.6806724753275193,0.9198758707328625
