field,feature_id,feature_coordinate,feature_type,dF,abs_dF,relative_abs_dF_contribution,feature_signal_to_noise,feature_transition_amplitude_label,departure90,departure95,t10,t15,t20,t25,t30,t35,t40,t45,t50,t75,peak_raw,peak_smooth3,duration_25_75,tail_50_75,early_span_25_50,marker_valid_fraction,edge_hit_fraction,feature_marker_reliability,feature_process_type,feature_interpretation,n_stable_or_moderate_key_markers
P,0,0,feature_index,1.2782543028961197,1.2782543028961197,0.14376728070636385,13.833492006423029,strong_transition_feature,37.0,37.0,37.0,37.0,38.0,39.0,39.0,40.0,40.0,41.0,41.0,44.0,41.0,41.0,5.0,3.0,2.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
P,1,1,feature_index,1.2614452905593914,1.2614452905593914,0.14187674453563792,15.827894141871425,strong_transition_feature,37.0,37.0,37.0,38.0,39.0,39.0,40.0,41.0,41.0,42.0,42.0,46.0,43.0,42.0,7.0,4.0,3.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
P,2,2,feature_index,1.209538493547421,1.209538493547421,0.13603870507848098,22.406996919684673,strong_transition_feature,37.0,37.0,37.0,39.0,40.0,40.0,40.0,41.0,41.0,42.0,42.0,45.0,40.0,41.0,5.0,3.0,2.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,5
P,3,3,feature_index,1.2477681301257415,1.2477681301257415,0.14033845269584092,14.73340295617703,strong_transition_feature,37.0,37.0,39.0,40.0,41.0,41.0,41.0,42.0,42.0,43.0,44.0,46.0,45.0,46.0,5.0,2.0,3.0,1.0,0.0,usable_feature_marker_family,resolved_transition_feature,Feature has nontrivial pre/post amplitude and multiple stable timing markers.,5
P,4,4,feature_index,1.5547521782296716,1.5547521782296716,0.17486543352910652,7.406827514350435,strong_transition_feature,40.0,40.0,35.0,40.0,41.0,41.0,44.0,44.0,45.0,45.0,45.0,46.0,46.0,46.0,5.0,1.0,4.0,1.0,0.0,usable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,3
P,5,5,feature_index,0.8097956798471729,0.8097956798471729,0.09107899934748005,6.156502291737906,strong_transition_feature,39.0,39.0,34.0,34.0,34.0,39.0,39.0,40.0,40.0,41.0,41.0,47.0,34.0,33.0,8.0,6.0,2.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
P,6,6,feature_index,0.6300283887966431,0.6300283887966431,0.07086028814445236,4.841544466000416,strong_transition_feature,38.0,38.0,33.0,33.0,38.0,38.0,40.0,40.0,46.0,46.0,46.0,52.0,57.0,32.0,14.0,6.0,8.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
P,7,7,feature_index,0.2747295596195586,0.2747295596195586,0.030899267560979705,2.722473759729911,moderate_transition_feature,37.0,37.0,33.0,33.0,33.0,37.0,37.0,37.0,38.0,38.0,38.0,39.0,37.0,57.0,2.0,1.0,1.0,1.0,0.0,unreliable_feature_marker_family,transition_feature_with_uncertain_timing,Feature changes but timing is not strongly resolved.,0
P,8,8,feature_index,0.0635744445511972,0.0635744445511972,0.007150318207288608,1.1661472661498882,weak_transition_feature,37.0,37.0,31.0,31.0,31.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,51.0,51.0,0.0,0.0,0.0,1.0,0.0,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
P,9,9,feature_index,-0.1085781842407667,0.1085781842407667,0.012211959902628373,1.7174666967648617,weak_transition_feature,43.0,43.0,32.0,32.0,32.0,32.0,32.0,32.0,42.0,43.0,43.0,43.0,46.0,47.0,11.0,0.0,11.0,1.0,0.0,unreliable_feature_marker_family,weak_or_low_contribution_feature,Feature is retained but should not drive strong timing conclusions.,0
