sensitivity_case,field_a,field_b,mean_diff_A_minus_B,median_diff_A_minus_B,n_sign_crossings,fraction_A_progress_gt_B,fraction_B_progress_gt_A
baseline,P,V,0.06276911647525943,0.058721135992543694,2,0.7096774193548387,0.2903225806451613
baseline,P,H,0.012824340211562958,0.013638679445368451,3,0.5161290322580645,0.4838709677419355
baseline,P,Je,0.14162353003277564,0.2538229937817802,2,0.7419354838709677,0.25806451612903225
baseline,P,Jw,0.040507012363417916,0.008337862866011556,5,0.6129032258064516,0.3870967741935484
baseline,V,H,-0.049944776263696464,-0.03097437749813048,3,0.41935483870967744,0.5806451612903226
baseline,V,Je,0.07885441355751618,0.11014883247212626,2,0.7419354838709677,0.25806451612903225
baseline,V,Jw,-0.022262104111841492,-0.015042631209094073,5,0.41935483870967744,0.5806451612903226
baseline,H,Je,0.1287991898212126,0.024106104170536408,4,0.5806451612903226,0.41935483870967744
baseline,H,Jw,0.027682672151854968,-0.022508800489173586,3,0.4838709677419355,0.5161290322580645
baseline,Je,Jw,-0.10111651766935768,-0.09774047355840831,2,0.25806451612903225,0.7419354838709677
inner_minus2,P,V,0.04836295093867645,0.04320685631644472,2,0.6774193548387096,0.3225806451612903
inner_minus2,P,H,0.0035999528548336353,-0.005329162855009284,3,0.4838709677419355,0.5161290322580645
inner_minus2,P,Je,0.08243182533115428,0.19286354767246017,2,0.6774193548387096,0.3225806451612903
inner_minus2,P,Jw,0.03451561807457197,0.016230834784927456,7,0.5806451612903226,0.41935483870967744
inner_minus2,V,H,-0.04476299808384283,-0.03338354531358877,3,0.45161290322580644,0.5483870967741935
inner_minus2,V,Je,0.03406887439247782,0.06895776475180959,2,0.6774193548387096,0.3225806451612903
inner_minus2,V,Jw,-0.013847332864104474,0.001710146777747168,6,0.5161290322580645,0.4838709677419355
inner_minus2,H,Je,0.07883187247632065,0.006144846810053561,4,0.5161290322580645,0.4838709677419355
inner_minus2,H,Jw,0.03091566521973834,0.023131044102601583,3,0.5161290322580645,0.4838709677419355
inner_minus2,Je,Jw,-0.04791620725658229,-0.04451143763388221,2,0.2903225806451613,0.7096774193548387
outer_plus2,P,V,0.06414461627111245,0.05847726797639452,2,0.7096774193548387,0.2903225806451613
outer_plus2,P,H,0.021472562988835493,-0.0005341441664183239,3,0.4838709677419355,0.5161290322580645
outer_plus2,P,Je,0.17969432663216112,0.29075575368055445,2,0.7741935483870968,0.22580645161290322
outer_plus2,P,Jw,0.052538067767184705,0.023872339274851107,5,0.6774193548387096,0.3225806451612903
outer_plus2,V,H,-0.042672053282276926,-0.029696129648184355,3,0.4838709677419355,0.5161290322580645
outer_plus2,V,Je,0.11554971036104865,0.14725355014243502,2,0.7741935483870968,0.22580645161290322
outer_plus2,V,Jw,-0.011606548503927719,-0.005109814493578627,4,0.45161290322580644,0.5483870967741935
outer_plus2,H,Je,0.15822176364332557,0.04436565558320371,4,0.6129032258064516,0.3870967741935484
outer_plus2,H,Jw,0.03106550477834922,0.008088497462462652,3,0.5161290322580645,0.4838709677419355
outer_plus2,Je,Jw,-0.12715625886497633,-0.132673525747513,2,0.1935483870967742,0.8064516129032258
shift_early2,P,V,0.042746334236578316,0.05426401114980425,2,0.6774193548387096,0.3225806451612903
shift_early2,P,H,-0.08933804715251302,-0.09442661152461629,3,0.3548387096774194,0.6451612903225806
shift_early2,P,Je,0.10800062776672562,0.1708063839671602,2,0.7419354838709677,0.25806451612903225
shift_early2,P,Jw,0.015695379024216485,0.012982931556378086,7,0.6129032258064516,0.3870967741935484
shift_early2,V,H,-0.13208438138909134,-0.10390640772374038,3,0.3548387096774194,0.6451612903225806
shift_early2,V,Je,0.06525429353014726,0.08109635084285462,2,0.8064516129032258,0.1935483870967742
shift_early2,V,Jw,-0.02705095521236183,-0.013806503156323147,7,0.3225806451612903,0.6774193548387096
shift_early2,H,Je,0.19733867491923865,0.05030906021831538,4,0.6129032258064516,0.3870967741935484
shift_early2,H,Jw,0.1050334261767295,0.07546164471957616,3,0.6774193548387096,0.3225806451612903
shift_early2,Je,Jw,-0.09230524874250913,-0.07194911616854827,2,0.22580645161290322,0.7741935483870968
shift_late2,P,V,0.06935844670337361,0.04532177970206315,2,0.7741935483870968,0.22580645161290322
shift_late2,P,H,0.14578842523226787,0.15100852764429096,3,0.6129032258064516,0.3870967741935484
shift_late2,P,Je,0.1427233325471319,0.23248583176018345,2,0.7419354838709677,0.25806451612903225
shift_late2,P,Jw,0.08006077391481235,0.04152376002529677,7,0.7741935483870968,0.22580645161290322
shift_late2,V,H,0.07642997852889424,0.0691702710745633,3,0.6129032258064516,0.3870967741935484
shift_late2,V,Je,0.07336488584375826,0.13134031908849686,2,0.7419354838709677,0.25806451612903225
shift_late2,V,Jw,0.010702327211438723,0.013031898025355135,4,0.6451612903225806,0.3548387096774194
shift_late2,H,Je,-0.00306509268513597,-0.0040788692912072655,4,0.45161290322580644,0.5483870967741935
shift_late2,H,Jw,-0.0657276513174555,-0.10605577738513883,3,0.3870967741935484,0.6129032258064516
shift_late2,Je,Jw,-0.06266255863231952,-0.10843490847526294,2,0.3225806451612903,0.6774193548387096
