window_id,object_A,object_B,metric_family,delta_definition,delta_observed,delta_median,delta_q025,delta_q975,delta_P_positive,delta_P_negative,decision
W045,H,Je,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,11.0,10.0,-9.024999999999999,16.0,0.737,0.219,unresolved
W045,H,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,6.0,6.0,-12.0,16.0,0.722,0.262,unresolved
W045,H,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,10.0,8.0,-12.0,14.0,0.718,0.258,unresolved
W045,H,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,10.0,9.0,-11.0,15.0,0.741,0.22,unresolved
W045,Je,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-5.0,-4.0,-10.0,5.0,0.227,0.715,unresolved
W045,Je,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,-2.0,-8.0,2.0,0.108,0.727,unresolved
W045,Je,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,-1.0,-6.0,5.0,0.235,0.602,unresolved
W045,Jw,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,4.0,1.5,-8.0,7.0,0.582,0.347,unresolved
W045,Jw,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,4.0,2.0,-5.0,9.0,0.658,0.277,unresolved
W045,P,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,0.0,1.0,-3.0,6.0,0.578,0.193,unresolved
W081,H,Je,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,4.0,2.0,-9.0,13.25,0.6619576185671039,0.2512613521695257,unresolved
W081,H,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,6.0,5.0,-6.0,14.0,0.7957957957957958,0.15315315315315314,unresolved
W081,H,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,5.0,4.0,-4.0,12.0,0.895,0.062,A_earlier_tendency
W081,H,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,3.0,2.0,-7.0,11.0,0.754,0.143,unresolved
W081,Je,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,2.0,1.0,-8.0,13.274999999999977,0.5454545454545454,0.3686868686868687,unresolved
W081,Je,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,1.0,1.0,-9.0,13.0,0.5882946518668012,0.3360242179616549,unresolved
W081,Je,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,0.0,-12.0,12.0,0.4318869828456105,0.49142280524722504,unresolved
W081,Jw,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,0.0,-9.0,9.0,0.44644644644644643,0.44544544544544545,unresolved
W081,Jw,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-3.0,-2.0,-13.0,9.0,0.2602602602602603,0.6576576576576577,unresolved
W081,P,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-2.0,-2.0,-11.0,7.0,0.198,0.673,unresolved
W113,H,Je,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-4.0,-4.0,-9.0,1.0,0.037037037037037035,0.914914914914915,B_earlier_tendency
W113,H,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-11.0,-7.0,-14.0,1.0,0.026,0.961,B_earlier_tendency
W113,H,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-2.0,-2.0,-11.0,5.0,0.185,0.71,unresolved
W113,H,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,0.0,-5.0,6.0,0.326,0.474,unresolved
W113,Je,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-7.0,-3.0,-12.0,4.0499999999999545,0.2082082082082082,0.7067067067067067,unresolved
W113,Je,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,2.0,2.0,-5.0,10.0,0.6666666666666666,0.21021021021021022,unresolved
W113,Je,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,3.0,4.0,-4.0,12.0,0.7777777777777778,0.13313313313313313,unresolved
W113,Jw,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,9.0,4.0,-3.0,15.0,0.856,0.082,A_earlier_tendency
W113,Jw,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,10.0,7.0,-2.0,16.0,0.922,0.052,A_earlier_tendency
W113,P,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,1.0,2.0,-7.0,13.0,0.598,0.318,unresolved
W160,H,Je,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,7.0,6.0,-6.0,13.024999999999977,0.811,0.169,A_earlier_tendency
W160,H,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-3.0,-1.0,-18.075,12.0,0.4248496993987976,0.530060120240481,unresolved
W160,H,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,3.0,2.0,-8.0,11.0,0.635,0.296,unresolved
W160,H,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,6.0,5.0,-12.0,13.0,0.7067067067067067,0.2602602602602603,unresolved
W160,Je,Jw,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-10.0,-7.0,-20.075,7.0,0.20841683366733466,0.7595190380761523,unresolved
W160,Je,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-4.0,-4.0,-10.0,5.0,0.132,0.838,B_earlier_tendency
W160,Je,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,-1.0,-1.0,-15.0,6.0,0.30430430430430433,0.5465465465465466,unresolved
W160,Jw,P,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,6.0,3.0,-10.0,19.0,0.6112224448897795,0.3376753507014028,unresolved
W160,Jw,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,9.0,5.0,-11.0,18.0,0.6940822467402207,0.28084252758274825,unresolved
W160,P,V,selected_raw_profile_peak_timing,B_peak_day - A_peak_day; positive means A earlier,3.0,3.0,-11.0,9.0,0.7397397397397397,0.2062062062062062,unresolved
