window_id,object,detector_scale,detector_width,band_half_width,search_mode,selection_rule,peak_day_smooth9,peak_day_smooth5,delta_5minus9,same_peak_within_2d,same_peak_within_5d,smooth_sensitivity_class
W045,H,baseline,20,10,baseline_search,baseline_rule,35,38,3,False,True,smooth_moderately_sensitive
W045,H,baseline,20,10,baseline_search,closest_anchor,37,38,1,True,True,smooth_consistent
W045,H,baseline,20,10,baseline_search,max_overlap,37,38,1,True,True,smooth_consistent
W045,H,baseline,20,10,baseline_search,max_score,19,17,-2,True,True,smooth_consistent
W045,H,baseline,20,10,narrow_search,baseline_rule,43,48,5,False,True,smooth_moderately_sensitive
W045,H,baseline,20,10,narrow_search,closest_anchor,43,48,5,False,True,smooth_moderately_sensitive
W045,H,baseline,20,10,narrow_search,max_overlap,43,38,-5,False,True,smooth_moderately_sensitive
W045,H,baseline,20,10,narrow_search,max_score,31,32,1,True,True,smooth_consistent
W045,H,baseline,20,10,wide_search,baseline_rule,31,38,7,False,False,smooth_sensitive
W045,H,baseline,20,10,wide_search,closest_anchor,31,38,7,False,False,smooth_sensitive
W045,H,baseline,20,10,wide_search,max_overlap,31,38,7,False,False,smooth_sensitive
W045,H,baseline,20,10,wide_search,max_score,19,17,-2,True,True,smooth_consistent
W045,H,narrow,16,8,baseline_search,baseline_rule,38,39,1,True,True,smooth_consistent
W045,H,narrow,16,8,baseline_search,closest_anchor,38,39,1,True,True,smooth_consistent
W045,H,narrow,16,8,baseline_search,max_overlap,38,39,1,True,True,smooth_consistent
W045,H,narrow,16,8,baseline_search,max_score,18,17,-1,True,True,smooth_consistent
W045,H,narrow,16,8,narrow_search,baseline_rule,48,46,-2,True,True,smooth_consistent
W045,H,narrow,16,8,narrow_search,closest_anchor,48,46,-2,True,True,smooth_consistent
W045,H,narrow,16,8,narrow_search,max_overlap,48,46,-2,True,True,smooth_consistent
W045,H,narrow,16,8,narrow_search,max_score,32,33,1,True,True,smooth_consistent
W045,H,narrow,16,8,wide_search,baseline_rule,32,39,7,False,False,smooth_sensitive
W045,H,narrow,16,8,wide_search,closest_anchor,32,39,7,False,False,smooth_sensitive
W045,H,narrow,16,8,wide_search,max_overlap,32,39,7,False,False,smooth_sensitive
W045,H,narrow,16,8,wide_search,max_score,18,17,-1,True,True,smooth_consistent
W045,H,wide,24,12,baseline_search,baseline_rule,37,36,-1,True,True,smooth_consistent
W045,H,wide,24,12,baseline_search,closest_anchor,37,36,-1,True,True,smooth_consistent
W045,H,wide,24,12,baseline_search,max_overlap,37,36,-1,True,True,smooth_consistent
W045,H,wide,24,12,baseline_search,max_score,19,17,-2,True,True,smooth_consistent
W045,H,wide,24,12,narrow_search,baseline_rule,42,42,0,True,True,smooth_consistent
W045,H,wide,24,12,narrow_search,closest_anchor,42,42,0,True,True,smooth_consistent
W045,H,wide,24,12,narrow_search,max_overlap,36,36,0,True,True,smooth_consistent
W045,H,wide,24,12,narrow_search,max_score,30,30,0,True,True,smooth_consistent
W045,H,wide,24,12,wide_search,baseline_rule,31,36,5,False,True,smooth_moderately_sensitive
W045,H,wide,24,12,wide_search,closest_anchor,31,36,5,False,True,smooth_moderately_sensitive
W045,H,wide,24,12,wide_search,max_overlap,31,36,5,False,True,smooth_moderately_sensitive
W045,H,wide,24,12,wide_search,max_score,19,17,-2,True,True,smooth_consistent
W045,Je,baseline,20,10,baseline_search,baseline_rule,46,36,-10,False,False,smooth_sensitive
W045,Je,baseline,20,10,baseline_search,closest_anchor,33,36,3,False,True,smooth_moderately_sensitive
