smoothing,window_id,object,config_id,detector_scale,detector_width,band_half_width,search_mode,search_start_day,search_end_day,selection_rule,selected_peak_day,selected_peak_date,selected_window_start,selected_window_end,selected_candidate_id,candidate_rank_by_score,detector_score,distance_to_anchor,overlap_with_system_window,support_class,relation_to_system_window,detector_source,is_v9_baseline_peak,v9_baseline_peak_day,delta_from_v9_baseline
smooth9,W045,P,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,44,5月15日,36,52,CP001,1,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13
smooth9,W045,Je,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,45,5月16日,37,53,CP003,3,23.67075923644867,0.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,46,-1
smooth9,W045,Jw,smooth9__narrow_w16_b8__narrow_search__baseline_rule,narrow,16,8,narrow_search,30,60,baseline_rule,43,5月14日,35,51,CP002,2,25.967128925131544,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,41,2
smooth9,W045,P,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,44,5月15日,36,52,CP001,1,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,32,5月3日,24,40,CP001,1,117.66006026042568,13.0,1.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,-3
smooth9,W045,Je,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,30,5月1日,22,38,CP001,1,38.490228368753726,15.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,46,-16
smooth9,W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_score,narrow,16,8,narrow_search,30,60,max_score,49,5月20日,41,57,CP001,1,28.93165550628509,4.0,8.0,candidate_window,late_or_post,local_prepost_contrast_score,False,41,8
smooth9,W045,P,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,44,5月15日,36,52,CP001,1,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13
smooth9,W045,Je,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,45,5月16日,37,53,CP003,3,23.67075923644867,0.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,46,-1
smooth9,W045,Jw,smooth9__narrow_w16_b8__narrow_search__closest_anchor,narrow,16,8,narrow_search,30,60,closest_anchor,43,5月14日,35,51,CP002,2,25.967128925131544,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,41,2
smooth9,W045,P,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,44,5月15日,36,52,CP001,1,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,48,5月19日,40,56,CP005,5,41.68456740955957,3.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,35,13
smooth9,W045,Je,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,45,5月16日,37,53,CP003,3,23.67075923644867,0.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,46,-1
smooth9,W045,Jw,smooth9__narrow_w16_b8__narrow_search__max_overlap,narrow,16,8,narrow_search,30,60,max_overlap,43,5月14日,35,51,CP002,2,25.967128925131544,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,41,2
smooth9,W045,P,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,44,5月15日,36,52,CP003,3,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,38,5月9日,30,46,CP005,5,82.9552207738364,7.0,7.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,3
smooth9,W045,Je,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,34,5月5日,26,42,CP003,3,34.440977579248965,11.0,3.0,candidate_window,front_or_early,local_prepost_contrast_score,False,46,-12
smooth9,W045,Jw,smooth9__narrow_w16_b8__baseline_search__baseline_rule,narrow,16,8,baseline_search,0,69,baseline_rule,43,5月14日,35,51,CP004,4,25.967128925131544,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,41,2
smooth9,W045,P,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,69,6月9日,61,74,CP001,1,6.626236648894402,24.0,0.0,weak_window,post_window,local_prepost_contrast_score,False,45,24
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,18,4月19日,10,26,CP001,1,138.65485903747563,27.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,35,-17
smooth9,W045,Je,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,28,4月29日,20,36,CP001,1,38.77992924795981,17.0,0.0,weak_window,pre_window,local_prepost_contrast_score,False,46,-18
smooth9,W045,Jw,smooth9__narrow_w16_b8__baseline_search__max_score,narrow,16,8,baseline_search,0,69,max_score,69,6月9日,61,74,CP001,1,30.27731467141755,24.0,0.0,weak_window,post_window,local_prepost_contrast_score,False,41,28
smooth9,W045,P,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,44,5月15日,36,52,CP001,1,14.087013306789006,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,V,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,44,5月15日,36,52,CP003,3,5.108167446481124,1.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,45,-1
smooth9,W045,H,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,38,5月9日,30,46,CP005,5,82.9552207738364,7.0,7.0,candidate_window,front_or_early,local_prepost_contrast_score,False,35,3
smooth9,W045,Je,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,34,5月5日,26,42,CP003,3,34.440977579248965,11.0,3.0,candidate_window,front_or_early,local_prepost_contrast_score,False,46,-12
smooth9,W045,Jw,smooth9__narrow_w16_b8__baseline_search__closest_anchor,narrow,16,8,baseline_search,0,69,closest_anchor,43,5月14日,35,51,CP004,4,25.967128925131544,2.0,9.0,accepted_window,within_system_window,local_prepost_contrast_score,False,41,2
