window_id,object,factor,factor_level,cluster_id,n_configs,fraction_within_factor_level,fraction_within_cluster
W045,H,smoothing,smooth5,C01_017_019,6,0.16666666666666666,0.5
W045,H,smoothing,smooth5,C02_030_048,30,0.8333333333333334,0.5
W045,H,smoothing,smooth9,C01_017_019,6,0.16666666666666666,0.5
W045,H,smoothing,smooth9,C02_030_048,30,0.8333333333333334,0.5
W045,H,detector_width,16,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,detector_width,16,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,detector_width,20,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,detector_width,20,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,detector_width,24,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,detector_width,24,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,band_half_width,8,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,band_half_width,8,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,band_half_width,10,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,band_half_width,10,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,band_half_width,12,C01_017_019,4,0.16666666666666666,0.3333333333333333
W045,H,band_half_width,12,C02_030_048,20,0.8333333333333334,0.3333333333333333
W045,H,search_mode,baseline_search,C01_017_019,6,0.25,0.5
W045,H,search_mode,baseline_search,C02_030_048,18,0.75,0.3
W045,H,search_mode,narrow_search,C01_017_019,0,0.0,0.0
W045,H,search_mode,narrow_search,C02_030_048,24,1.0,0.4
W045,H,search_mode,wide_search,C01_017_019,6,0.25,0.5
W045,H,search_mode,wide_search,C02_030_048,18,0.75,0.3
W045,H,selection_rule,baseline_rule,C01_017_019,0,0.0,0.0
W045,H,selection_rule,baseline_rule,C02_030_048,18,1.0,0.3
W045,H,selection_rule,closest_anchor,C01_017_019,0,0.0,0.0
W045,H,selection_rule,closest_anchor,C02_030_048,18,1.0,0.3
W045,H,selection_rule,max_overlap,C01_017_019,0,0.0,0.0
W045,H,selection_rule,max_overlap,C02_030_048,18,1.0,0.3
W045,H,selection_rule,max_score,C01_017_019,12,0.6666666666666666,1.0
W045,H,selection_rule,max_score,C02_030_048,6,0.3333333333333333,0.1
W045,Jw,smoothing,smooth5,C01_041_043,9,0.25,0.375
W045,Jw,smoothing,smooth5,C02_048_049,22,0.6111111111111112,0.5945945945945946
W045,Jw,smoothing,smooth5,C03_069_069,2,0.05555555555555555,0.4
W045,Jw,smoothing,smooth5,C04_074_074,3,0.08333333333333333,0.5
W045,Jw,smoothing,smooth9,C01_041_043,15,0.4166666666666667,0.625
W045,Jw,smoothing,smooth9,C02_048_049,15,0.4166666666666667,0.40540540540540543
W045,Jw,smoothing,smooth9,C03_069_069,3,0.08333333333333333,0.6
W045,Jw,smoothing,smooth9,C04_074_074,3,0.08333333333333333,0.5
