window_id,target_name,object_A,object_B,permutation_level,permutation_percentile,mode_stability_status,mode_pattern_corr_median,corr_score_Y,high_dominant_direction,high_dominant_probability,high_order_level,low_dominant_direction,low_dominant_probability,low_order_level,high_low_reversal_flag,best_group_order_level,top1_year,top1_fraction_of_total_abs_leverage,top3_fraction_of_total_abs_leverage,extreme_year_dominated_flag,evidence_level,recommended_interpretation,interpretation_boundary
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,strict_99,1.0,stable,0.9846049325212376,0.6215023015394344,Je_earlier,0.5089820359281437,weak_or_none,Jw_earlier,0.978978978978979,credible_95,True,credible_95,1991,0.07035322413660594,0.1937428135261682,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_P_vs_Jw_delta_peak,P,Jw,strict_99,1.0,stable,0.9870158618426308,0.6615313265229796,P_earlier,0.7335329341317365,weak_or_none,Jw_earlier,0.8978978978978979,weak_or_none,True,weak_or_none,1991,0.08500106270580299,0.22292410432382648,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W045,W045_V_vs_Jw_delta_peak,V,Jw,strict_99,1.0,stable,0.9836897641476967,0.6298003314712044,V_earlier,0.6197604790419161,weak_or_none,Jw_earlier,0.9429429429429429,usable_90,True,usable_90,1982,0.08326203337319711,0.22086426788451818,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W081,W081_P_vs_V_delta_peak,P,V,strict_99,1.0,stable,0.9558419262694169,0.4704035328869039,V_earlier,0.41916167664670656,weak_or_none,V_earlier,0.8918918918918919,weak_or_none,False,weak_or_none,1984,0.07413212067669284,0.188556601207001,False,not_supported,no interpretable bootstrap-space coupling under current gates,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W081,W081_V_vs_Jw_delta_peak,V,Jw,strict_99,1.0,stable,0.9784098309508349,0.6153032357308751,V_earlier,0.9281437125748503,usable_90,Jw_earlier,0.5495495495495496,weak_or_none,True,usable_90,2021,0.07171072275025393,0.1720030172333741,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W081,W081_H_vs_Jw_delta_peak,H,Jw,strict_99,1.0,stable,0.9738950981565992,0.6295171312138244,H_earlier,0.96996996996997,credible_95,H_earlier,0.5495495495495496,weak_or_none,False,credible_95,2021,0.09231392650792919,0.22005195736197436,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W113,W113_V_vs_Je_delta_peak,V,Je,strict_99,1.0,stable,0.9790873707597266,0.6835188060330579,Je_earlier,0.46546546546546547,weak_or_none,Je_earlier,0.987987987987988,credible_95,False,credible_95,2002,0.0553842748271699,0.1585864558287471,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W113,W113_H_vs_Je_delta_peak,H,Je,strict_99,1.0,stable,0.976604081574685,0.6687713353032361,Je_earlier,0.7784431137724551,weak_or_none,Je_earlier,0.990990990990991,strict_99,False,strict_99,1983,0.05683834929254984,0.16285088463629385,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W113,W113_P_vs_V_delta_peak,P,V,strict_99,1.0,stable,0.9787690533729644,0.6510453653922388,P_earlier,0.9161676646706587,usable_90,V_earlier,0.6906906906906907,weak_or_none,True,usable_90,2022,0.06231427953968339,0.17765381406042705,False,moderate_bootstrap_coupling_candidate,bootstrap-space X-Y coupling has usable/credible order differentiation; needs composite/physical audit,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
W113,W113_Jw_vs_H_delta_peak,Jw,H,strict_99,1.0,stable,0.9597262347950974,0.5155881740062875,Jw_earlier,0.9640718562874252,credible_95,Jw_earlier,0.93993993993994,usable_90,False,credible_95,1998,0.06361091576000771,0.17677742691187445,False,weak_bootstrap_coupling_hint,weak bootstrap-space coupling hint; keep as diagnostic only,bootstrap-space coupling diagnostic; bootstrap samples are not independent physical years
