window_id,target_name,object_A,object_B,score_bin,score_bin_index,n_bootstrap,score_min,score_max,score_mean,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,dominant_order_direction,dominant_order_probability,order_level
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Q1,1,200,-1.88413100453559,-0.4925621476432326,-0.8330794052241086,-6.0,-11.0,-1.0,0.015,0.98,0.005,Jw_earlier,0.98,credible_95
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Q2,2,200,-0.48846586387759783,-0.17559108983012917,-0.31489086885416273,-5.0,-11.0,2.0,0.03,0.965,0.005,Jw_earlier,0.965,credible_95
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Q3,3,200,-0.17552288175762873,0.14011037546343424,-0.023134298090551845,-4.0,-10.0,4.0,0.14,0.82,0.04,Jw_earlier,0.82,weak_or_none
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Q4,4,200,0.14054745606237162,0.5053886028596832,0.31351670553702193,-1.0,-8.024999999999999,6.025000000000006,0.34,0.54,0.12,Jw_earlier,0.54,weak_or_none
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Q5,5,200,0.5073021176925369,1.805939009932564,0.8575878666318011,1.0,-8.024999999999999,6.0,0.61,0.27,0.12,Je_earlier,0.61,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q1,1,200,-1.9320569053568193,-0.5013778207544769,-0.8298652385966441,-4.0,-9.0,1.0250000000000057,0.035,0.955,0.01,Jw_earlier,0.955,credible_95
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q2,2,200,-0.49484836076922856,-0.15643468350655002,-0.32057200023496357,-3.0,-7.049999999999999,4.025000000000006,0.1,0.815,0.085,Jw_earlier,0.815,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q3,3,200,-0.15505522179658343,0.12880718608991515,-0.01811833629364199,-1.5,-7.0,5.025000000000006,0.25,0.645,0.105,Jw_earlier,0.645,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q4,4,200,0.13231923700509726,0.5163650223235108,0.3206526877713051,1.0,-5.0,7.0,0.52,0.38,0.1,P_earlier,0.52,weak_or_none
W045,W045_P_vs_Jw_delta_peak,P,Jw,Q5,5,200,0.5184659681519398,1.8839434109149176,0.8479028873539447,3.0,-5.0,9.025000000000006,0.83,0.115,0.055,P_earlier,0.83,weak_or_none
W045,W045_V_vs_Jw_delta_peak,V,Jw,Q1,1,200,-1.9856365345945082,-0.48966346073378886,-0.8039959463601934,-5.0,-11.024999999999999,0.0,0.015,0.97,0.015,Jw_earlier,0.97,credible_95
W045,W045_V_vs_Jw_delta_peak,V,Jw,Q2,2,200,-0.4879404614139723,-0.14237887338540006,-0.3065709158374187,-4.0,-10.024999999999999,4.025000000000006,0.07,0.86,0.07,Jw_earlier,0.86,weak_or_none
W045,W045_V_vs_Jw_delta_peak,V,Jw,Q3,3,200,-0.14163496271616252,0.13450800404569718,-0.000913732459574832,-3.0,-9.0,4.0,0.165,0.77,0.065,Jw_earlier,0.77,weak_or_none
W045,W045_V_vs_Jw_delta_peak,V,Jw,Q4,4,200,0.1349199742189197,0.49358767426999506,0.3055061941070543,-0.5,-7.0,5.025000000000006,0.4,0.5,0.1,Jw_earlier,0.5,weak_or_none
W045,W045_V_vs_Jw_delta_peak,V,Jw,Q5,5,200,0.4958915508818765,1.7978887707295452,0.8059744005501328,2.0,-5.0249999999999995,7.0,0.735,0.19,0.075,V_earlier,0.735,weak_or_none
