window_id,table,object,status,max_day_summary_diff,n_v9,median_v9,q025_v9,q975_v9,n_replay,median_replay,q025_replay,q975_replay,object_A,object_B,max_probability_diff
W113,object_bootstrap_distribution,H,pass,0.0,1000.0,115.0,110.0,117.0,1000.0,115.0,110.0,117.0,,,
W113,object_bootstrap_distribution,Je,pass,0.0,999.0,111.0,106.0,115.0,999.0,111.0,106.0,115.0,,,
W113,object_bootstrap_distribution,Jw,pass,0.0,1000.0,108.0,101.0,114.0,1000.0,108.0,101.0,114.0,,,
W113,object_bootstrap_distribution,P,pass,0.0,1000.0,113.0,103.0,119.0,1000.0,113.0,103.0,119.0,,,
W113,object_bootstrap_distribution,V,pass,0.0,1000.0,114.0,109.0,122.0,1000.0,114.0,109.0,122.0,,,
W113,pairwise_peak_order,,pass,,,,,,,,,,H,Je,4.85722573273506e-17
W113,pairwise_peak_order,,pass,,,,,,,,,,H,Jw,0.0
W113,pairwise_peak_order,,pass,,,,,,,,,,Je,Jw,8.326672684688674e-17
W113,pairwise_peak_order,,pass,,,,,,,,,,P,H,0.0
W113,pairwise_peak_order,,pass,,,,,,,,,,P,Je,2.7755575615628914e-17
W113,pairwise_peak_order,,pass,,,,,,,,,,P,Jw,0.0
W113,pairwise_peak_order,,pass,,,,,,,,,,P,V,0.0
W113,pairwise_peak_order,,pass,,,,,,,,,,V,H,0.0
W113,pairwise_peak_order,,pass,,,,,,,,,,V,Je,2.7755575615628914e-17
W113,pairwise_peak_order,,pass,,,,,,,,,,V,Jw,0.0
