window_id,target_name,permutation_percentile,permutation_empirical_p,permutation_level,observed_abs_corr,target_pair,unordered_pair,object_A,object_B,target_set,was_in_original_v9_1_f,result_scope_note
W045,W045_P_vs_V_delta_peak,1.0,0.0,strict_99,0.4932497149423273,P-V,P-V,P,V,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_H_delta_peak,1.0,0.0,strict_99,0.3339658408679226,P-H,H-P,P,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Je_delta_peak,1.0,0.0,strict_99,0.4938037106498815,P-Je,Je-P,P,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_P_vs_Jw_delta_peak,1.0,0.0,strict_99,0.6615313265229796,P-Jw,Jw-P,P,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_H_delta_peak,1.0,0.0,strict_99,0.3421668830415994,V-H,H-V,V,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Je_delta_peak,1.0,0.0,strict_99,0.5155568704279588,V-Je,Je-V,V,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_V_vs_Jw_delta_peak,1.0,0.0,strict_99,0.6298003314712044,V-Jw,Jw-V,V,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Je_delta_peak,1.0,0.0,strict_99,0.3224950798605539,H-Je,H-Je,H,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_H_vs_Jw_delta_peak,1.0,0.0,strict_99,0.3637043323746504,H-Jw,H-Jw,H,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W045,W045_Je_vs_Jw_delta_peak,1.0,0.0,strict_99,0.6215023015394344,Je-Jw,Je-Jw,Je,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W081,W081_P_vs_V_delta_peak,1.0,0.0,strict_99,0.4704035328869039,P-V,P-V,P,V,original_priority,True,all-pair extension result; original priority targets are marked separately
W081,W081_P_vs_H_delta_peak,1.0,0.0,strict_99,0.4495433741964367,P-H,H-P,P,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_P_vs_Je_delta_peak,1.0,0.0,strict_99,0.4161141633486915,P-Je,Je-P,P,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_P_vs_Jw_delta_peak,1.0,0.0,strict_99,0.5099771455558172,P-Jw,Jw-P,P,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_V_vs_H_delta_peak,1.0,0.0,strict_99,0.4510246029684629,V-H,H-V,V,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_V_vs_Je_delta_peak,1.0,0.0,strict_99,0.5205514739202906,V-Je,Je-V,V,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_V_vs_Jw_delta_peak,1.0,0.0,strict_99,0.6153032357308751,V-Jw,Jw-V,V,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W081,W081_H_vs_Je_delta_peak,1.0,0.0,strict_99,0.4210209641445479,H-Je,H-Je,H,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W081,W081_H_vs_Jw_delta_peak,1.0,0.0,strict_99,0.6295171312138244,H-Jw,H-Jw,H,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W081,W081_Je_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4928757513357185,Je-Jw,Je-Jw,Je,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_V_delta_peak,1.0,0.0,strict_99,0.6510453653922388,P-V,P-V,P,V,original_priority,True,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_H_delta_peak,1.0,0.0,strict_99,0.5730536052720431,P-H,H-P,P,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_Je_delta_peak,1.0,0.0,strict_99,0.4882179146504523,P-Je,Je-P,P,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W113,W113_P_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4954319954017863,P-Jw,Jw-P,P,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W113,W113_V_vs_H_delta_peak,1.0,0.0,strict_99,0.5784208928598608,V-H,H-V,V,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W113,W113_V_vs_Je_delta_peak,1.0,0.0,strict_99,0.6835188060330579,V-Je,Je-V,V,Je,original_priority,True,all-pair extension result; original priority targets are marked separately
W113,W113_Jw_vs_V_delta_peak,1.0,0.0,strict_99,0.5674206187582929,Jw-V,Jw-V,Jw,V,original_priority,True,all-pair extension result; original priority targets are marked separately
W113,W113_H_vs_Je_delta_peak,1.0,0.0,strict_99,0.6687713353032361,H-Je,H-Je,H,Je,original_priority,True,all-pair extension result; original priority targets are marked separately
W113,W113_Jw_vs_H_delta_peak,1.0,0.0,strict_99,0.5155881740062875,Jw-H,H-Jw,Jw,H,original_priority,True,all-pair extension result; original priority targets are marked separately
W113,W113_Je_vs_Jw_delta_peak,1.0,0.0,strict_99,0.5148888273536562,Je-Jw,Je-Jw,Je,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_P_vs_V_delta_peak,1.0,0.0,strict_99,0.293431829331586,P-V,P-V,P,V,original_priority,True,all-pair extension result; original priority targets are marked separately
W160,W160_P_vs_H_delta_peak,1.0,0.0,strict_99,0.3533449089618572,P-H,H-P,P,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_P_vs_Je_delta_peak,1.0,0.0,strict_99,0.4941283939407963,P-Je,Je-P,P,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_P_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4607776683021805,P-Jw,Jw-P,P,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_V_vs_H_delta_peak,1.0,0.0,strict_99,0.3473493347596021,V-H,H-V,V,H,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_V_vs_Je_delta_peak,1.0,0.0,strict_99,0.4920794633878059,V-Je,Je-V,V,Je,original_priority,True,all-pair extension result; original priority targets are marked separately
W160,W160_Jw_vs_V_delta_peak,1.0,0.0,strict_99,0.4277416389225166,Jw-V,Jw-V,Jw,V,original_priority,True,all-pair extension result; original priority targets are marked separately
W160,W160_H_vs_Je_delta_peak,1.0,0.0,strict_99,0.3653104438786924,H-Je,H-Je,H,Je,added_all_pair,False,all-pair extension result; original priority targets are marked separately
W160,W160_H_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4402530532276265,H-Jw,H-Jw,H,Jw,original_priority,True,all-pair extension result; original priority targets are marked separately
W160,W160_Je_vs_Jw_delta_peak,1.0,0.0,strict_99,0.4103800334867875,Je-Jw,Je-Jw,Je,Jw,added_all_pair,False,all-pair extension result; original priority targets are marked separately
