window_id,target_name,object_A,object_B,n_score_bins,delta_gradient_slope,A_earlier_gradient_slope,B_earlier_gradient_slope,delta_monotonicity_score,A_earlier_monotonicity_score,B_earlier_monotonicity_score,gradient_status
W045,W045_P_vs_V_delta_peak,P,V,5,0.7,0.162,-0.1045,0.9746794344808964,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_P_vs_H_delta_peak,P,H,5,1.65,0.077,-0.08099999999999999,0.9746794344808964,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_P_vs_Je_delta_peak,P,Je,5,1.0,0.13999999999999999,-0.0645,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_P_vs_Jw_delta_peak,P,Jw,5,1.8,0.20099999999999998,-0.21149999999999997,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_V_vs_H_delta_peak,V,H,5,1.8,0.077,-0.0845,0.8207826816681233,0.8999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_V_vs_Je_delta_peak,V,Je,5,1.0,0.18200000000000002,-0.1325,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_V_vs_Jw_delta_peak,V,Jw,5,1.75,0.177,-0.192,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_H_vs_Je_delta_peak,H,Je,5,2.3,0.1005,-0.0875,0.9486832980505138,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_H_vs_Jw_delta_peak,H,Jw,5,1.6,0.07199999999999998,-0.073,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,5,1.8,0.15,-0.18449999999999997,0.9999999999999998,0.9999999999999998,-0.9999999999999998,clear_continuous_gradient
