window_id,target_name,score_group,n_bootstrap,n_valid_delta,object_A,object_B,P_A_earlier,P_B_earlier,P_same_day,dominant_order_direction,dominant_order_probability,delta_median,delta_q025,delta_q975,order_level
W160,W160_P_vs_V_delta_peak,high,334,334,P,V,0.8982035928143712,0.07784431137724551,0.023952095808383235,P_earlier,0.8982035928143712,3.0,-3.0,8.0,weak_or_none
W160,W160_P_vs_V_delta_peak,mid,333,333,P,V,0.7657657657657657,0.17717717717717718,0.057057057057057055,P_earlier,0.7657657657657657,3.0,-9.0,9.0,weak_or_none
W160,W160_P_vs_V_delta_peak,low,333,332,P,V,0.5542168674698795,0.3644578313253012,0.08132530120481928,P_earlier,0.5542168674698795,1.0,-15.725,9.0,weak_or_none
W160,W160_P_vs_H_delta_peak,high,334,334,P,H,0.4431137724550898,0.46407185628742514,0.09281437125748503,H_earlier,0.46407185628742514,0.0,-9.0,9.0,weak_or_none
W160,W160_P_vs_H_delta_peak,mid,333,333,P,H,0.26426426426426425,0.6786786786786787,0.057057057057057055,H_earlier,0.6786786786786787,-2.0,-11.0,8.0,weak_or_none
W160,W160_P_vs_H_delta_peak,low,333,333,P,H,0.18018018018018017,0.7627627627627628,0.057057057057057055,H_earlier,0.7627627627627628,-3.0,-12.7,7.0,weak_or_none
W160,W160_P_vs_Je_delta_peak,high,334,334,P,Je,0.9401197604790419,0.04491017964071856,0.014970059880239521,P_earlier,0.9401197604790419,6.0,-1.674999999999999,11.0,usable_90
W160,W160_P_vs_Je_delta_peak,mid,333,333,P,Je,0.8768768768768769,0.10810810810810811,0.015015015015015015,P_earlier,0.8768768768768769,4.0,-4.0,9.0,weak_or_none
W160,W160_P_vs_Je_delta_peak,low,333,333,P,Je,0.6966966966966966,0.24324324324324326,0.06006006006006006,P_earlier,0.6966966966966966,2.0,-5.699999999999999,6.0,weak_or_none
W160,W160_P_vs_Jw_delta_peak,high,334,334,P,Jw,0.5089820359281437,0.4221556886227545,0.0688622754491018,P_earlier,0.5089820359281437,1.0,-8.0,11.0,weak_or_none
W160,W160_P_vs_Jw_delta_peak,mid,333,332,P,Jw,0.3373493975903614,0.6024096385542169,0.060240963855421686,Jw_earlier,0.6024096385542169,-3.0,-14.725,10.0,weak_or_none
W160,W160_P_vs_Jw_delta_peak,low,333,332,P,Jw,0.16566265060240964,0.8102409638554217,0.024096385542168676,Jw_earlier,0.8102409638554217,-7.0,-23.9,7.724999999999966,weak_or_none
W160,W160_V_vs_H_delta_peak,high,334,334,V,H,0.39820359281437123,0.5359281437125748,0.0658682634730539,H_earlier,0.5359281437125748,-1.0,-11.0,14.0,weak_or_none
W160,W160_V_vs_H_delta_peak,mid,333,332,V,H,0.21686746987951808,0.7590361445783133,0.024096385542168676,H_earlier,0.7590361445783133,-5.0,-12.0,10.449999999999932,weak_or_none
W160,W160_V_vs_H_delta_peak,low,333,333,V,H,0.16516516516516516,0.8258258258258259,0.009009009009009009,H_earlier,0.8258258258258259,-6.0,-14.0,4.0,weak_or_none
W160,W160_V_vs_Je_delta_peak,high,334,334,V,Je,0.8293413173652695,0.09880239520958084,0.0718562874251497,V_earlier,0.8293413173652695,3.0,-4.674999999999999,18.0,weak_or_none
W160,W160_V_vs_Je_delta_peak,mid,333,332,V,Je,0.5602409638554217,0.2620481927710843,0.17771084337349397,V_earlier,0.5602409638554217,1.0,-6.725,11.62499999999983,weak_or_none
W160,W160_V_vs_Je_delta_peak,low,333,333,V,Je,0.24924924924924924,0.5525525525525525,0.1981981981981982,Je_earlier,0.5525525525525525,-1.0,-6.0,3.0,weak_or_none
W160,W160_Jw_vs_V_delta_peak,high,334,333,Jw,V,0.8258258258258259,0.15615615615615616,0.018018018018018018,Jw_earlier,0.8258258258258259,9.0,-6.0,21.399999999999977,weak_or_none
W160,W160_Jw_vs_V_delta_peak,mid,333,333,Jw,V,0.7147147147147147,0.2672672672672673,0.018018018018018018,Jw_earlier,0.7147147147147147,5.0,-8.0,19.0,weak_or_none
W160,W160_Jw_vs_V_delta_peak,low,333,331,Jw,V,0.540785498489426,0.4199395770392749,0.03927492447129909,Jw_earlier,0.540785498489426,2.0,-15.5,15.0,weak_or_none
W160,W160_H_vs_Je_delta_peak,high,334,334,H,Je,0.9550898203592815,0.03592814371257485,0.008982035928143712,H_earlier,0.9550898203592815,6.5,-4.0,14.0,credible_95
W160,W160_H_vs_Je_delta_peak,mid,333,333,H,Je,0.9099099099099099,0.07507507507507508,0.015015015015015015,H_earlier,0.9099099099099099,7.0,-3.0,13.0,usable_90
W160,W160_H_vs_Je_delta_peak,low,333,333,H,Je,0.5675675675675675,0.3963963963963964,0.036036036036036036,H_earlier,0.5675675675675675,4.0,-7.0,12.0,weak_or_none
W160,W160_H_vs_Jw_delta_peak,high,334,333,H,Jw,0.6726726726726727,0.2732732732732733,0.05405405405405406,H_earlier,0.6726726726726727,3.0,-10.0,13.699999999999989,weak_or_none
W160,W160_H_vs_Jw_delta_peak,mid,333,333,H,Jw,0.4084084084084084,0.5255255255255256,0.06606606606606606,Jw_earlier,0.5255255255255256,-1.0,-17.0,11.0,weak_or_none
W160,W160_H_vs_Jw_delta_peak,low,333,332,H,Jw,0.1927710843373494,0.7921686746987951,0.015060240963855422,Jw_earlier,0.7921686746987951,-5.0,-22.0,10.0,weak_or_none
W160,W160_Je_vs_Jw_delta_peak,high,334,334,Je,Jw,0.38622754491017963,0.5688622754491018,0.04491017964071856,Jw_earlier,0.5688622754491018,-3.0,-14.0,8.675000000000011,weak_or_none
W160,W160_Je_vs_Jw_delta_peak,mid,333,333,Je,Jw,0.14114114114114115,0.8258258258258259,0.03303303303303303,Jw_earlier,0.8258258258258259,-7.0,-19.0,6.0,weak_or_none
W160,W160_Je_vs_Jw_delta_peak,low,333,331,Je,Jw,0.09667673716012085,0.8851963746223565,0.01812688821752266,Jw_earlier,0.8851963746223565,-10.0,-25.75,4.0,weak_or_none
