window_id,object_or_pair,target_type,n_usable_or_stronger_years,n_credible_years,n_strict_years,top_influential_years,top_influence_directions,does_year_influence_explain_instability,recommended_next_check
W045,H,object_peak,25,8,12,1995;1992;2000;1981;2022;2009;2011;2019,push_early_peak;push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_late_peak;push_late_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W045,Je,object_peak,29,7,20,1981;1998;1997;1992;2001;2009;2022;2017,push_early_peak;push_early_peak;push_early_peak;push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W045,Jw,object_peak,35,13,20,1979;1999;1982;2018;2023;1992;1991;1995,push_early_peak;push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W045,P,object_peak,38,5,28,1979;1981;1985;1984;1995;1986;2012;2017,push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_early_peak;push_early_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W045,V,object_peak,32,8,20,1979;1981;1982;1985;2000;1989;2018;2011,push_early_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak;push_late_peak;push_late_peak;push_early_peak,strong_candidate,map high-influence years to field/background anomalies; do not call them physical types yet
W045,H-Je,pairwise_order,20,6,6,1992;1990;2011;2009;2017;1995;1981;2023,reduce_Je_earlier;push_H_earlier;reduce_H_earlier;push_H_earlier;reduce_H_earlier;push_H_earlier;push_Je_earlier;push_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,H-Jw,pairwise_order,19,10,4,1991;2011;1981;1995;2017;1999;2009;1992,reduce_Jw_earlier;push_Jw_earlier;push_Jw_earlier;push_H_earlier;push_Jw_earlier;push_H_earlier;push_H_earlier;push_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,Je-Jw,pairwise_order,25,7,14,1982;1992;1991;2022;2018;2017;2023;1995,reduce_Je_earlier;reduce_Je_earlier;push_Je_earlier;reduce_Je_earlier;reduce_Jw_earlier;push_Je_earlier;push_Je_earlier;reduce_Je_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,P-H,pairwise_order,14,5,5,2011;2017;2009;2005;1995;2014;1999;1981,reduce_H_earlier;reduce_H_earlier;push_H_earlier;push_H_earlier;push_H_earlier;push_H_earlier;reduce_P_earlier;push_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,P-Je,pairwise_order,29,8,14,1979;1985;2006;2004;1997;2022;2016;1986,push_P_earlier;reduce_P_earlier;push_P_earlier;reduce_Je_earlier;reduce_P_earlier;push_P_earlier;reduce_P_earlier;push_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,P-Jw,pairwise_order,28,7,18,1982;1991;1993;1992;2018;2022;2023;1997,reduce_P_earlier;push_P_earlier;reduce_P_earlier;reduce_P_earlier;push_P_earlier;reduce_P_earlier;push_P_earlier;push_Jw_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,P-V,pairwise_order,21,4,16,1986;2014;2011;1991;1989;2019;2016;1997,push_P_earlier;reduce_P_earlier;push_V_earlier;push_P_earlier;reduce_V_earlier;reduce_P_earlier;reduce_V_earlier;reduce_P_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,V-H,pairwise_order,17,7,5,2011;2009;2017;1995;1983;1991;1981;2015,reduce_H_earlier;push_H_earlier;reduce_H_earlier;push_H_earlier;push_V_earlier;push_H_earlier;push_V_earlier;push_H_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,V-Je,pairwise_order,27,7,16,1979;1985;2006;2013;2016;2022;2004;1992,reduce_Je_earlier;reduce_V_earlier;push_V_earlier;push_V_earlier;reduce_V_earlier;push_V_earlier;reduce_Je_earlier;push_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
W045,V-Jw,pairwise_order,27,7,19,1982;1992;1991;2016;2023;2022;1993;2017,reduce_V_earlier;reduce_V_earlier;push_V_earlier;push_Jw_earlier;push_V_earlier;push_Jw_earlier;push_Jw_earlier;push_V_earlier,strong_candidate,inspect high-influence years before any physical interpretation
