window_id,bootstrap_id,object_A,object_B,peak_A,peak_B,delta_B_minus_A,A_earlier_flag,B_earlier_flag,same_day_flag
W113,0,P,V,117.0,112.0,-5.0,False,True,False
W113,0,P,H,117.0,115.0,-2.0,False,True,False
W113,0,P,Je,117.0,113.0,-4.0,False,True,False
W113,0,P,Jw,117.0,109.0,-8.0,False,True,False
W113,0,V,H,112.0,115.0,3.0,True,False,False
W113,0,V,Je,112.0,113.0,1.0,True,False,False
W113,0,V,Jw,112.0,109.0,-3.0,False,True,False
W113,0,H,Je,115.0,113.0,-2.0,False,True,False
W113,0,H,Jw,115.0,109.0,-6.0,False,True,False
W113,0,Je,Jw,113.0,109.0,-4.0,False,True,False
W113,1,P,V,112.0,112.0,0.0,False,False,True
W113,1,P,H,112.0,115.0,3.0,True,False,False
W113,1,P,Je,112.0,112.0,0.0,False,False,True
W113,1,P,Jw,112.0,111.0,-1.0,False,True,False
W113,1,V,H,112.0,115.0,3.0,True,False,False
W113,1,V,Je,112.0,112.0,0.0,False,False,True
W113,1,V,Jw,112.0,111.0,-1.0,False,True,False
W113,1,H,Je,115.0,112.0,-3.0,False,True,False
W113,1,H,Jw,115.0,111.0,-4.0,False,True,False
W113,1,Je,Jw,112.0,111.0,-1.0,False,True,False
W113,2,P,V,114.0,115.0,1.0,True,False,False
W113,2,P,H,114.0,113.0,-1.0,False,True,False
W113,2,P,Je,114.0,108.0,-6.0,False,True,False
W113,2,P,Jw,114.0,109.0,-5.0,False,True,False
W113,2,V,H,115.0,113.0,-2.0,False,True,False
W113,2,V,Je,115.0,108.0,-7.0,False,True,False
W113,2,V,Jw,115.0,109.0,-6.0,False,True,False
W113,2,H,Je,113.0,108.0,-5.0,False,True,False
W113,2,H,Jw,113.0,109.0,-4.0,False,True,False
W113,2,Je,Jw,108.0,109.0,1.0,True,False,False
W113,3,P,V,112.0,110.0,-2.0,False,True,False
W113,3,P,H,112.0,113.0,1.0,True,False,False
W113,3,P,Je,112.0,112.0,0.0,False,False,True
W113,3,P,Jw,112.0,106.0,-6.0,False,True,False
W113,3,V,H,110.0,113.0,3.0,True,False,False
W113,3,V,Je,110.0,112.0,2.0,True,False,False
W113,3,V,Jw,110.0,106.0,-4.0,False,True,False
W113,3,H,Je,113.0,112.0,-1.0,False,True,False
W113,3,H,Jw,113.0,106.0,-7.0,False,True,False
W113,3,Je,Jw,112.0,106.0,-6.0,False,True,False
W113,4,P,V,114.0,116.0,2.0,True,False,False
W113,4,P,H,114.0,116.0,2.0,True,False,False
W113,4,P,Je,114.0,111.0,-3.0,False,True,False
W113,4,P,Jw,114.0,105.0,-9.0,False,True,False
W113,4,V,H,116.0,116.0,0.0,False,False,True
W113,4,V,Je,116.0,111.0,-5.0,False,True,False
W113,4,V,Jw,116.0,105.0,-11.0,False,True,False
W113,4,H,Je,116.0,111.0,-5.0,False,True,False
W113,4,H,Jw,116.0,105.0,-11.0,False,True,False
W113,4,Je,Jw,111.0,105.0,-6.0,False,True,False
W113,5,P,V,111.0,114.0,3.0,True,False,False
W113,5,P,H,111.0,112.0,1.0,True,False,False
W113,5,P,Je,111.0,107.0,-4.0,False,True,False
W113,5,P,Jw,111.0,111.0,0.0,False,False,True
W113,5,V,H,114.0,112.0,-2.0,False,True,False
W113,5,V,Je,114.0,107.0,-7.0,False,True,False
W113,5,V,Jw,114.0,111.0,-3.0,False,True,False
W113,5,H,Je,112.0,107.0,-5.0,False,True,False
W113,5,H,Jw,112.0,111.0,-1.0,False,True,False
W113,5,Je,Jw,107.0,111.0,4.0,True,False,False
W113,6,P,V,114.0,113.0,-1.0,False,True,False
W113,6,P,H,114.0,115.0,1.0,True,False,False
W113,6,P,Je,114.0,114.0,0.0,False,False,True
W113,6,P,Jw,114.0,105.0,-9.0,False,True,False
W113,6,V,H,113.0,115.0,2.0,True,False,False
W113,6,V,Je,113.0,114.0,1.0,True,False,False
W113,6,V,Jw,113.0,105.0,-8.0,False,True,False
W113,6,H,Je,115.0,114.0,-1.0,False,True,False
W113,6,H,Jw,115.0,105.0,-10.0,False,True,False
W113,6,Je,Jw,114.0,105.0,-9.0,False,True,False
W113,7,P,V,113.0,115.0,2.0,True,False,False
W113,7,P,H,113.0,116.0,3.0,True,False,False
W113,7,P,Je,113.0,107.0,-6.0,False,True,False
W113,7,P,Jw,113.0,110.0,-3.0,False,True,False
W113,7,V,H,115.0,116.0,1.0,True,False,False
W113,7,V,Je,115.0,107.0,-8.0,False,True,False
W113,7,V,Jw,115.0,110.0,-5.0,False,True,False
W113,7,H,Je,116.0,107.0,-9.0,False,True,False
W113,7,H,Jw,116.0,110.0,-6.0,False,True,False
W113,7,Je,Jw,107.0,110.0,3.0,True,False,False
W113,8,P,V,112.0,114.0,2.0,True,False,False
W113,8,P,H,112.0,110.0,-2.0,False,True,False
W113,8,P,Je,112.0,107.0,-5.0,False,True,False
W113,8,P,Jw,112.0,104.0,-8.0,False,True,False
W113,8,V,H,114.0,110.0,-4.0,False,True,False
W113,8,V,Je,114.0,107.0,-7.0,False,True,False
W113,8,V,Jw,114.0,104.0,-10.0,False,True,False
W113,8,H,Je,110.0,107.0,-3.0,False,True,False
W113,8,H,Jw,110.0,104.0,-6.0,False,True,False
W113,8,Je,Jw,107.0,104.0,-3.0,False,True,False
W113,9,P,V,112.0,114.0,2.0,True,False,False
W113,9,P,H,112.0,114.0,2.0,True,False,False
W113,9,P,Je,112.0,112.0,0.0,False,False,True
W113,9,P,Jw,112.0,110.0,-2.0,False,True,False
W113,9,V,H,114.0,114.0,0.0,False,False,True
W113,9,V,Je,114.0,112.0,-2.0,False,True,False
W113,9,V,Jw,114.0,110.0,-4.0,False,True,False
W113,9,H,Je,114.0,112.0,-2.0,False,True,False
W113,9,H,Jw,114.0,110.0,-4.0,False,True,False
W113,9,Je,Jw,112.0,110.0,-2.0,False,True,False
W113,10,P,V,111.0,119.0,8.0,True,False,False
W113,10,P,H,111.0,115.0,4.0,True,False,False
