window_id,object,year,n_bootstrap,n_present,n_absent,mean_peak_present,mean_peak_absent,presence_effect_on_peak_day,peak_q25_for_early_definition,peak_q75_for_late_definition,P_early_present,P_early_absent,presence_effect_on_early_probability,P_late_present,P_late_absent,presence_effect_on_late_probability,n_high_count,high_count_effect_on_peak_day,ridge_coef_peak_day,permutation_percentile_peak_day,permutation_percentile_early_probability,permutation_percentile_late_probability,max_permutation_percentile,influence_direction,influence_evidence_level,method_role
W113,H,1979,1000,632,368,114.53481012658227,114.65489130434783,-0.12008117776555594,114.0,115.0,0.44145569620253167,0.41304347826086957,0.0284122179416621,0.5585443037974683,0.5869565217391305,-0.028412217941662155,241,-0.15281661555114567,-0.1101476717232326,0.7179111111111112,0.6163111111111111,0.6156,0.7179111111111112,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1980,1000,632,368,114.49367088607595,114.72554347826087,-0.23187259218492784,114.0,115.0,0.435126582278481,0.42391304347826086,0.011213538800220135,0.564873417721519,0.5760869565217391,-0.011213538800220135,248,-0.2497370266479777,-0.051701701461066986,0.9635555555555556,0.2668,0.26826666666666665,0.9635555555555556,push_early_peak,credible_95,bootstrap_year_influence_candidate_not_physical_type
W113,H,1981,1000,645,355,114.64496124031008,114.45915492957747,0.185806310732616,114.0,115.0,0.4124031007751938,0.4647887323943662,-0.05238563161917237,0.5875968992248062,0.5352112676056338,0.052385631619172424,271,0.10911075307936358,0.05834847783265581,0.9036444444444445,0.8902666666666667,0.8961777777777777,0.9036444444444445,push_late_peak,usable_90,bootstrap_year_influence_candidate_not_physical_type
W113,H,1982,1000,626,374,114.51597444089457,114.68449197860963,-0.1685175377150614,114.0,115.0,0.43769968051118213,0.4197860962566845,0.017913584254497628,0.5623003194888179,0.5802139037433155,-0.017913584254497628,253,-0.21808881655428536,-0.06282911971933718,0.8673333333333333,0.4252444444444444,0.4220888888888889,0.8673333333333333,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1983,1000,631,369,114.68938193343898,114.39024390243902,0.2991380309999556,114.0,115.0,0.3993660855784469,0.48509485094850946,-0.08572876537006258,0.6006339144215531,0.5149051490514905,0.08572876537006258,263,0.6249652230362557,0.26856032247722617,0.9926666666666667,0.9915555555555555,0.9920444444444444,0.9926666666666667,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1984,1000,622,378,114.62379421221866,114.505291005291,0.11850320692765592,114.0,115.0,0.4228295819935691,0.4444444444444444,-0.021614862450875294,0.5771704180064309,0.5555555555555556,0.021614862450875294,250,0.4787089947089953,0.17120664935914856,0.7124444444444444,0.49933333333333335,0.49404444444444445,0.7124444444444444,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1985,1000,621,379,114.45410628019323,114.78364116094987,-0.32953488075663984,114.0,115.0,0.47665056360708535,0.3562005277044855,0.12045003590259984,0.5233494363929146,0.6437994722955145,-0.12045003590259984,252,-0.3788792561879717,-0.14776917681974985,0.9973333333333333,0.9996888888888888,0.9998222222222222,0.9998222222222222,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1986,1000,630,370,114.78253968253968,114.23243243243243,0.5501072501072457,114.0,115.0,0.36984126984126986,0.5351351351351351,-0.16529386529386525,0.6301587301587301,0.4648648648648649,0.16529386529386525,233,0.9049066233615548,0.37816350338557564,1.0,1.0,1.0,1.0,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1987,1000,645,355,114.72248062015504,114.31830985915492,0.40417076100011684,114.0,115.0,0.3875968992248062,0.5098591549295775,-0.12226225570477123,0.6124031007751938,0.49014084507042255,0.12226225570477123,258,0.5421552571241506,0.2223579534622068,0.9998222222222222,0.9996888888888888,0.9998666666666667,0.9998666666666667,push_late_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1988,1000,663,337,114.57466063348416,114.58753709198812,-0.01287645850396757,114.0,115.0,0.4298642533936652,0.4332344213649852,-0.003370167971320004,0.5701357466063348,0.5667655786350149,0.0033701679713199484,286,-0.021103525554565294,0.04664669940719884,0.09137777777777778,0.08222222222222222,0.07915555555555556,0.09137777777777778,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1989,1000,660,340,114.64090909090909,114.45882352941176,0.18208556149733113,114.0,115.0,0.4287878787878788,0.43529411764705883,-0.006506238859180058,0.5712121212121212,0.5647058823529412,0.0065062388591800024,272,0.13676470588235645,0.16296800486972754,0.8975111111111111,0.15773333333333334,0.1605777777777778,0.8975111111111111,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1990,1000,626,374,114.38658146964856,114.90106951871658,-0.5144880490680208,114.0,115.0,0.4712460063897764,0.36363636363636365,0.10760964275341273,0.5287539936102237,0.6363636363636364,-0.10760964275341267,251,-0.6899141402305276,-0.2918985367806206,1.0,0.9991111111111111,0.9993333333333333,1.0,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1991,1000,645,355,114.44031007751938,114.83098591549296,-0.39067583797357486,114.0,115.0,0.46511627906976744,0.36901408450704226,0.09610219456272517,0.5348837209302325,0.6309859154929578,-0.09610219456272528,265,-0.5441934626627756,-0.20446939517744542,0.9996888888888888,0.9969333333333333,0.9970222222222223,0.9996888888888888,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1992,1000,627,373,114.60446570972887,114.53619302949062,0.06827268023825184,114.0,115.0,0.41626794258373206,0.45576407506702415,-0.03949613248329209,0.583732057416268,0.5442359249329759,0.03949613248329209,244,0.0006922164110250151,-0.05380367321142349,0.4583111111111111,0.7747555555555555,0.7809777777777778,0.7809777777777778,push_late_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1993,1000,628,372,114.53821656050955,114.64784946236558,-0.10963290185603114,114.0,115.0,0.43789808917197454,0.41935483870967744,0.0185432504622971,0.5621019108280255,0.5806451612903226,-0.0185432504622971,264,-0.34860703812316274,-0.18755459769257965,0.6736888888888889,0.43546666666666667,0.43346666666666667,0.6736888888888889,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1994,1000,654,346,114.4434250764526,114.83526011560694,-0.39183503915434414,114.0,115.0,0.4617737003058104,0.37283236994219654,0.08894133036361385,0.5382262996941896,0.6271676300578035,-0.08894133036361396,265,-0.556014832588076,-0.30181980420995813,0.9996888888888888,0.9939111111111111,0.9942222222222222,0.9996888888888888,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
W113,H,1995,1000,627,373,114.53748006379585,114.64879356568365,-0.11131350188779265,114.0,115.0,0.4433811802232855,0.4101876675603217,0.033193512662963776,0.5566188197767146,0.5898123324396782,-0.033193512662963665,272,-0.18923474215424108,-0.08943391231803464,0.6804444444444444,0.6879555555555555,0.6939555555555555,0.6939555555555555,push_early_peak,weak_or_none,bootstrap_year_influence_candidate_not_physical_type
W113,H,1996,1000,620,380,114.34354838709677,114.96315789473684,-0.6196095076400638,114.0,115.0,0.5145161290322581,0.29473684210526313,0.21977928692699494,0.4854838709677419,0.7052631578947368,-0.2197792869269949,294,-0.9087361260293534,-0.28679113232037917,1.0,1.0,1.0,1.0,push_early_peak,strict_99,bootstrap_year_influence_candidate_not_physical_type
