window_id,bootstrap_id,year_index,year,count_in_bootstrap,present_flag
W160,0,0,1979,0,False
W160,0,1,1980,1,True
W160,0,2,1981,0,False
W160,0,3,1982,0,False
W160,0,4,1983,0,False
W160,0,5,1984,2,True
W160,0,6,1985,2,True
W160,0,7,1986,0,False
W160,0,8,1987,1,True
W160,0,9,1988,2,True
W160,0,10,1989,1,True
W160,0,11,1990,2,True
W160,0,12,1991,0,False
W160,0,13,1992,2,True
W160,0,14,1993,2,True
W160,0,15,1994,2,True
W160,0,16,1995,0,False
W160,0,17,1996,0,False
W160,0,18,1997,0,False
W160,0,19,1998,4,True
W160,0,20,1999,4,True
W160,0,21,2000,1,True
W160,0,22,2001,1,True
W160,0,23,2002,1,True
W160,0,24,2003,0,False
W160,0,25,2004,2,True
W160,0,26,2005,0,False
W160,0,27,2006,0,False
W160,0,28,2007,0,False
W160,0,29,2008,2,True
W160,0,30,2009,2,True
W160,0,31,2010,1,True
W160,0,32,2011,0,False
W160,0,33,2012,0,False
W160,0,34,2013,0,False
W160,0,35,2014,1,True
W160,0,36,2015,1,True
W160,0,37,2016,1,True
W160,0,38,2017,1,True
W160,0,39,2018,0,False
W160,0,40,2019,1,True
W160,0,41,2020,3,True
W160,0,42,2021,1,True
W160,0,43,2022,1,True
W160,0,44,2023,0,False
W160,1,0,1979,3,True
W160,1,1,1980,2,True
W160,1,2,1981,0,False
W160,1,3,1982,0,False
W160,1,4,1983,3,True
W160,1,5,1984,1,True
W160,1,6,1985,0,False
W160,1,7,1986,2,True
W160,1,8,1987,4,True
W160,1,9,1988,0,False
W160,1,10,1989,0,False
W160,1,11,1990,1,True
W160,1,12,1991,1,True
W160,1,13,1992,0,False
W160,1,14,1993,1,True
W160,1,15,1994,0,False
W160,1,16,1995,0,False
W160,1,17,1996,1,True
W160,1,18,1997,1,True
W160,1,19,1998,0,False
W160,1,20,1999,1,True
W160,1,21,2000,3,True
W160,1,22,2001,2,True
W160,1,23,2002,1,True
W160,1,24,2003,4,True
W160,1,25,2004,1,True
W160,1,26,2005,1,True
W160,1,27,2006,0,False
W160,1,28,2007,0,False
W160,1,29,2008,0,False
W160,1,30,2009,1,True
W160,1,31,2010,2,True
W160,1,32,2011,1,True
W160,1,33,2012,0,False
W160,1,34,2013,0,False
W160,1,35,2014,0,False
W160,1,36,2015,1,True
W160,1,37,2016,0,False
W160,1,38,2017,2,True
W160,1,39,2018,0,False
W160,1,40,2019,0,False
W160,1,41,2020,2,True
W160,1,42,2021,2,True
W160,1,43,2022,0,False
W160,1,44,2023,1,True
W160,2,0,1979,1,True
W160,2,1,1980,1,True
W160,2,2,1981,1,True
W160,2,3,1982,1,True
W160,2,4,1983,2,True
W160,2,5,1984,0,False
W160,2,6,1985,1,True
W160,2,7,1986,3,True
W160,2,8,1987,3,True
W160,2,9,1988,5,True
W160,2,10,1989,1,True
W160,2,11,1990,1,True
W160,2,12,1991,0,False
W160,2,13,1992,1,True
W160,2,14,1993,0,False
W160,2,15,1994,0,False
W160,2,16,1995,0,False
W160,2,17,1996,1,True
W160,2,18,1997,1,True
W160,2,19,1998,2,True
W160,2,20,1999,0,False
W160,2,21,2000,2,True
W160,2,22,2001,0,False
W160,2,23,2002,2,True
W160,2,24,2003,0,False
W160,2,25,2004,1,True
W160,2,26,2005,1,True
W160,2,27,2006,0,False
W160,2,28,2007,3,True
W160,2,29,2008,0,False
W160,2,30,2009,1,True
W160,2,31,2010,0,False
W160,2,32,2011,2,True
W160,2,33,2012,0,False
W160,2,34,2013,1,True
W160,2,35,2014,2,True
W160,2,36,2015,0,False
W160,2,37,2016,1,True
W160,2,38,2017,0,False
W160,2,39,2018,0,False
W160,2,40,2019,0,False
W160,2,41,2020,1,True
W160,2,42,2021,1,True
W160,2,43,2022,1,True
W160,2,44,2023,1,True
W160,3,0,1979,1,True
W160,3,1,1980,0,False
W160,3,2,1981,0,False
W160,3,3,1982,0,False
W160,3,4,1983,0,False
W160,3,5,1984,1,True
W160,3,6,1985,1,True
W160,3,7,1986,0,False
W160,3,8,1987,3,True
W160,3,9,1988,1,True
W160,3,10,1989,2,True
W160,3,11,1990,2,True
W160,3,12,1991,3,True
W160,3,13,1992,3,True
W160,3,14,1993,2,True
W160,3,15,1994,2,True
W160,3,16,1995,0,False
W160,3,17,1996,1,True
W160,3,18,1997,1,True
W160,3,19,1998,1,True
W160,3,20,1999,0,False
W160,3,21,2000,1,True
W160,3,22,2001,2,True
W160,3,23,2002,4,True
W160,3,24,2003,2,True
W160,3,25,2004,0,False
W160,3,26,2005,0,False
W160,3,27,2006,0,False
W160,3,28,2007,1,True
W160,3,29,2008,1,True
W160,3,30,2009,3,True
W160,3,31,2010,1,True
W160,3,32,2011,1,True
W160,3,33,2012,2,True
