window_id,target_type,target_name,influence_group,evidence_level,years,n_years,mean_effect,max_percentile,notes
W160,object_peak,H,push_early_peak,credible_95,2015;1993;1985;2018,4,-0.4687522999708875,0.9816888888888889,statistical high-influence year candidates only; not physical year types
W160,object_peak,H,push_early_peak,strict_99,2012;2005;1997;1983;1991;1992;2009;1989;1982;2020;1987;2017,12,-0.3533079465172217,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,H,push_early_peak,usable_90,1979;2004;1990;2000,4,-0.45695471691076506,0.9492888888888888,statistical high-influence year candidates only; not physical year types
W160,object_peak,H,push_late_peak,credible_95,1998;1999;2022;2023;2002;1994,6,0.30500043327488885,0.9864,statistical high-influence year candidates only; not physical year types
W160,object_peak,H,push_late_peak,strict_99,2013;1980;2019;2007;1981,5,0.5886342454708767,0.9999555555555556,statistical high-influence year candidates only; not physical year types
W160,object_peak,H,push_late_peak,usable_90,2008;2011;2001,3,0.24150940207757307,0.9352444444444444,statistical high-influence year candidates only; not physical year types
W160,object_peak,Je,push_early_peak,credible_95,1988;1990,2,-0.20410429022511778,0.9872444444444445,statistical high-influence year candidates only; not physical year types
W160,object_peak,Je,push_early_peak,strict_99,1994;1995;1991;1998;1997;2000;1996;1986;2017;2010;2012;2004;2016;2009;2003,15,-0.38026034821062354,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,Je,push_late_peak,credible_95,1985;2002;2014,3,0.34606417361046243,0.9827555555555556,statistical high-influence year candidates only; not physical year types
W160,object_peak,Je,push_late_peak,strict_99,1980;1999;2018;2007;2022;2019;2020;2023;2001;1993;2008;1989,12,0.5272906436785357,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,Je,push_late_peak,usable_90,1981;1979;2005,3,0.018944380313816584,0.9410222222222222,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_early_peak,credible_95,2004;1996;2015,3,-0.5501184333584774,0.9798666666666667,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_early_peak,strict_99,2013;1998;2022;2003;2010;1979;2001;1987;1986;1983,10,-1.21068791343597,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_early_peak,usable_90,2016;1985;1991,3,-0.3750742726780629,0.9483111111111111,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_late_peak,credible_95,2002;2006;2012;2021;2023,5,0.3576753379643776,0.9857777777777778,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_late_peak,strict_99,1995;2019;2000;2014;1993;2008;1999;1981;2018,9,1.115125740348339,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,Jw,push_late_peak,usable_90,2005;2011,2,0.41669423020547924,0.9424,statistical high-influence year candidates only; not physical year types
W160,object_peak,P,push_early_peak,credible_95,2020;2007;2008;1980;2009;1986,6,-0.3339585346904528,0.9894222222222222,statistical high-influence year candidates only; not physical year types
W160,object_peak,P,push_early_peak,strict_99,1989;2005;2018;2000;1999;1993;2014;2003,8,-0.5787390584573657,1.0,statistical high-influence year candidates only; not physical year types
W160,object_peak,P,push_late_peak,credible_95,2017;1988;2013;2016,4,0.37113267299351094,0.9884444444444445,statistical high-influence year candidates only; not physical year types
