window_id,mode,object_A,object_B,full_sample_order_direction,full_sample_order_probability,full_sample_order_level,pc_high_order_direction,pc_high_order_probability,pc_high_order_level,pc_mid_order_direction,pc_mid_order_probability,pc_mid_order_level,pc_low_order_direction,pc_low_order_probability,pc_low_order_level,opposite_order_between_pc_high_low,group_internal_stabilization,mode_stability_status,eof_explains_peak_order_instability,recommended_interpretation
W160,1,H,Je,A_earlier,0.811,unresolved,A_earlier,0.602,unresolved,A_earlier,0.576,unresolved,A_earlier,0.816,unresolved,False,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,H,Jw,B_earlier,0.530060120240481,unresolved,A_earlier,0.5090180360721442,unresolved,B_earlier,0.742,unresolved,A_earlier,0.836,unresolved,False,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,Je,Jw,B_earlier,0.7595190380761523,unresolved,B_earlier,0.5891783567134269,unresolved,B_earlier,0.778,unresolved,A_earlier,0.754,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,P,H,B_earlier,0.635,unresolved,A_earlier,0.548,unresolved,A_earlier,0.516,unresolved,B_earlier,0.824,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,P,Je,A_earlier,0.838,unresolved,A_earlier,0.682,unresolved,A_earlier,0.668,unresolved,B_earlier,0.478,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,P,Jw,B_earlier,0.6112224448897795,unresolved,A_earlier,0.5290581162324649,unresolved,B_earlier,0.786,unresolved,A_earlier,0.736,unresolved,False,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,P,V,A_earlier,0.7397397397397397,unresolved,B_earlier,0.784,unresolved,B_earlier,0.7016129032258065,unresolved,A_earlier,0.806,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,V,H,B_earlier,0.7067067067067067,unresolved,A_earlier,0.674,unresolved,A_earlier,0.6713709677419355,unresolved,B_earlier,0.826,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,V,Je,A_earlier,0.5465465465465466,unresolved,A_earlier,0.76,unresolved,A_earlier,0.6592741935483871,unresolved,B_earlier,0.71,unresolved,True,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,1,V,Jw,B_earlier,0.6940822467402207,unresolved,A_earlier,0.6492985971943888,unresolved,B_earlier,0.6733870967741935,unresolved,A_earlier,0.716,unresolved,False,False,stable_mode,not_supported,PC phase grouping does not explain V9 peak/order instability in this audit
W160,2,H,Je,A_earlier,0.811,unresolved,A_earlier,0.716,unresolved,A_earlier,0.6,unresolved,A_earlier,0.55,unresolved,False,False,unstable_mode,not_supported_unstable_eof,EOF mode itself is unstable; do not use this PC phase to explain V9 instability
