window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,mode,phase_group,phase_group_size,years_in_phase_group,group_role
W160,P,V,11.0,3.0,11.0,16.0,-6.0,-6.0,-18.0,10.524999999999977,0.174,0.798,0.936,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,H,11.0,3.0,11.0,16.0,6.0,1.5,-13.0,13.0,0.338,0.906,0.99,synchrony_tendency,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,Je,11.0,3.0,11.0,16.0,11.0,3.0,-16.0,13.0,0.296,0.852,0.976,synchrony_tendency,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,Jw,11.0,3.0,11.0,16.0,-6.0,1.0,-18.0,12.550000000000011,0.3046092184368738,0.8296593186372746,0.9599198396793587,synchrony_tendency,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,H,11.0,3.0,11.0,16.0,12.0,8.0,-8.0,19.0,0.226,0.67,0.906,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,Je,11.0,3.0,11.0,16.0,17.0,10.0,-14.524999999999999,19.524999999999977,0.262,0.48,0.8,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,Jw,11.0,3.0,11.0,16.0,0.0,4.0,-15.549999999999999,19.0,0.3587174348697395,0.5771543086172345,0.8496993987975952,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,H,Je,11.0,3.0,11.0,16.0,5.0,3.0,-17.525,19.524999999999977,0.322,0.844,0.916,synchrony_tendency,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,H,Jw,11.0,3.0,11.0,16.0,-12.0,1.0,-20.0,17.0,0.2685370741482966,0.7615230460921844,0.905811623246493,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,Je,Jw,11.0,3.0,11.0,16.0,-17.0,-2.0,-22.0,19.0,0.3466933867735471,0.6593186372745491,0.8216432865731463,synchrony_indeterminate,broad_resolution_warning,1,PC_high,15,1980;1987;1993;1995;1998;2003;2005;2009;2010;2014;2017;2020;2021;2022;2023,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,V,2.0,1.0,2.0,5.0,2.0,2.0,-4.0,5.524999999999977,0.262,0.528,0.968,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,H,2.0,1.0,2.0,5.0,-7.0,-6.0,-17.0,7.0,0.014,0.052,0.324,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,Je,2.0,1.0,2.0,5.0,1.0,0.0,-6.0,6.0,0.318,0.552,0.928,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,Jw,2.0,1.0,2.0,5.0,4.0,4.0,-10.0,8.0,0.11,0.194,0.646,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,H,2.0,1.0,2.0,5.0,-9.0,-9.0,-14.0,4.0,0.0,0.018,0.172,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,Je,2.0,1.0,2.0,5.0,-1.0,-2.0,-7.0,2.0,0.458,0.638,0.922,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,V,Jw,2.0,1.0,2.0,5.0,2.0,2.0,-10.0,5.0,0.246,0.48,0.848,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,H,Je,2.0,1.0,2.0,5.0,8.0,7.0,-9.524999999999999,14.0,0.026,0.056,0.262,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,H,Jw,2.0,1.0,2.0,5.0,11.0,10.0,-10.0,16.0,0.096,0.132,0.23,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,Je,Jw,2.0,1.0,2.0,5.0,3.0,3.0,-9.0,10.0,0.138,0.268,0.634,synchrony_indeterminate,normal,1,PC_low,15,1979;1981;1982;1984;1985;1986;1989;1990;1991;1997;2000;2001;2012;2016;2018,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,V,5.0,2.0,5.0,8.0,-5.0,-3.0,-13.0,10.0,0.24798387096774194,0.6108870967741935,0.8770161290322581,synchrony_indeterminate,normal,1,PC_mid,15,1983;1988;1992;1994;1996;1999;2002;2004;2006;2007;2008;2011;2013;2015;2019,PC_phase_group_multi_year_peak_not_single_year_peak
W160,P,H,5.0,2.0,5.0,8.0,-2.0,1.0,-14.0,9.0,0.308,0.738,0.922,synchrony_indeterminate,normal,1,PC_mid,15,1983;1988;1992;1994;1996;1999;2002;2004;2006;2007;2008;2011;2013;2015;2019,PC_phase_group_multi_year_peak_not_single_year_peak
