window_id,k,cluster_id,cluster_size,object_A,object_B,delta_definition,P_A_earlier_within_type,P_B_earlier_within_type,P_same_day_within_type,median_delta_within_type,q025_delta_within_type,q975_delta_within_type,within_type_order_status,small_cluster_warning,method_role
W045,2,1,18,H,Je,B_peak_day - A_peak_day; positive means A earlier,0.6111111111111112,0.3333333333333333,0.05555555555555555,1.0,-10.875,11.299999999999997,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,H,Jw,B_peak_day - A_peak_day; positive means A earlier,0.6111111111111112,0.3888888888888889,0.0,1.0,-6.15,9.0,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,H,P,B_peak_day - A_peak_day; positive means A earlier,0.3333333333333333,0.6666666666666666,0.0,-1.5,-13.15,7.299999999999997,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,H,V,B_peak_day - A_peak_day; positive means A earlier,0.3888888888888889,0.5555555555555556,0.05555555555555555,-2.0,-12.3,6.574999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,Je,Jw,B_peak_day - A_peak_day; positive means A earlier,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.0,-7.575,12.149999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,Je,P,B_peak_day - A_peak_day; positive means A earlier,0.2777777777777778,0.7222222222222222,0.0,-3.0,-12.3,6.8749999999999964,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,Je,V,B_peak_day - A_peak_day; positive means A earlier,0.2777777777777778,0.6666666666666666,0.05555555555555555,-3.5,-13.15,10.149999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,Jw,P,B_peak_day - A_peak_day; positive means A earlier,0.2222222222222222,0.7777777777777778,0.0,-4.0,-11.0,4.574999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,Jw,V,B_peak_day - A_peak_day; positive means A earlier,0.16666666666666666,0.7777777777777778,0.05555555555555555,-5.0,-12.0,6.8749999999999964,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,1,18,P,V,B_peak_day - A_peak_day; positive means A earlier,0.3888888888888889,0.5,0.1111111111111111,-0.5,-6.15,5.574999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,2,27,H,Je,B_peak_day - A_peak_day; positive means A earlier,0.3333333333333333,0.5925925925925926,0.07407407407407407,-2.0,-14.4,8.74999999999999,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,2,27,H,Jw,B_peak_day - A_peak_day; positive means A earlier,0.4074074074074074,0.5925925925925926,0.0,-3.0,-12.35,11.049999999999994,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,2,27,H,P,B_peak_day - A_peak_day; positive means A earlier,0.5185185185185185,0.4074074074074074,0.07407407407407407,1.0,-12.7,10.699999999999996,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,2,27,H,V,B_peak_day - A_peak_day; positive means A earlier,0.48148148148148145,0.3333333333333333,0.18518518518518517,0.0,-7.35,10.699999999999996,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
W045,2,2,27,Je,Jw,B_peak_day - A_peak_day; positive means A earlier,0.4444444444444444,0.5185185185185185,0.037037037037037035,-1.0,-12.0,10.699999999999996,order_unresolved_lt90,False,within_provisional_year_type_peak_order_audit
