window_id,k,year_index,year,cluster_id,cluster_size,cluster_label_provisional,cluster_stability,peak_P,relative_peak_P,peak_V,relative_peak_V,peak_H,relative_peak_H,peak_Je,relative_peak_Je,peak_Jw,relative_peak_Jw,method_role
W045,2,0,1979,1,18,k2_cluster1,not_tested_first_pass,43.0,-2.0,42.0,-3.0,41.0,-4.0,47.0,2.0,49.0,4.0,provisional_year_type_cluster_not_physical_type
W045,2,1,1980,1,18,k2_cluster1,not_tested_first_pass,40.0,-5.0,45.0,0.0,41.0,-4.0,39.0,-6.0,50.0,5.0,provisional_year_type_cluster_not_physical_type
W045,2,2,1981,2,27,k2_cluster2,not_tested_first_pass,51.0,6.0,41.0,-4.0,49.0,4.0,44.0,-1.0,42.0,-3.0,provisional_year_type_cluster_not_physical_type
W045,2,3,1982,1,18,k2_cluster1,not_tested_first_pass,44.0,-1.0,42.0,-3.0,46.0,1.0,46.0,1.0,47.0,2.0,provisional_year_type_cluster_not_physical_type
W045,2,4,1983,2,27,k2_cluster2,not_tested_first_pass,45.0,0.0,50.0,5.0,50.0,5.0,50.0,5.0,38.0,-7.0,provisional_year_type_cluster_not_physical_type
W045,2,5,1984,1,18,k2_cluster1,not_tested_first_pass,43.0,-2.0,40.0,-5.0,34.0,-11.0,47.0,2.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,6,1985,2,27,k2_cluster2,not_tested_first_pass,47.0,2.0,44.0,-1.0,47.0,2.0,48.0,3.0,44.0,-1.0,provisional_year_type_cluster_not_physical_type
W045,2,7,1986,1,18,k2_cluster1,not_tested_first_pass,42.0,-3.0,42.0,-3.0,44.0,-1.0,45.0,0.0,45.0,0.0,provisional_year_type_cluster_not_physical_type
W045,2,8,1987,2,27,k2_cluster2,not_tested_first_pass,44.0,-1.0,45.0,0.0,45.0,0.0,42.0,-3.0,47.0,2.0,provisional_year_type_cluster_not_physical_type
W045,2,9,1988,1,18,k2_cluster1,not_tested_first_pass,40.0,-5.0,40.0,-5.0,54.0,9.0,41.0,-4.0,47.0,2.0,provisional_year_type_cluster_not_physical_type
W045,2,10,1989,2,27,k2_cluster2,not_tested_first_pass,44.0,-1.0,50.0,5.0,38.0,-7.0,36.0,-9.0,48.0,3.0,provisional_year_type_cluster_not_physical_type
W045,2,11,1990,2,27,k2_cluster2,not_tested_first_pass,50.0,5.0,49.0,4.0,43.0,-2.0,42.0,-3.0,44.0,-1.0,provisional_year_type_cluster_not_physical_type
W045,2,12,1991,2,27,k2_cluster2,not_tested_first_pass,49.0,4.0,47.0,2.0,37.0,-8.0,49.0,4.0,50.0,5.0,provisional_year_type_cluster_not_physical_type
W045,2,13,1992,2,27,k2_cluster2,not_tested_first_pass,48.0,3.0,40.0,-5.0,47.0,2.0,49.0,4.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,14,1993,2,27,k2_cluster2,not_tested_first_pass,50.0,5.0,50.0,5.0,40.0,-5.0,47.0,2.0,44.0,-1.0,provisional_year_type_cluster_not_physical_type
W045,2,15,1994,1,18,k2_cluster1,not_tested_first_pass,37.0,-8.0,38.0,-7.0,38.0,-7.0,47.0,2.0,39.0,-6.0,provisional_year_type_cluster_not_physical_type
W045,2,16,1995,2,27,k2_cluster2,not_tested_first_pass,46.0,1.0,49.0,4.0,48.0,3.0,46.0,1.0,41.0,-4.0,provisional_year_type_cluster_not_physical_type
W045,2,17,1996,1,18,k2_cluster1,not_tested_first_pass,38.0,-7.0,39.0,-6.0,41.0,-4.0,45.0,0.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,18,1997,2,27,k2_cluster2,not_tested_first_pass,47.0,2.0,45.0,0.0,46.0,1.0,43.0,-2.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,19,1998,2,27,k2_cluster2,not_tested_first_pass,45.0,0.0,47.0,2.0,45.0,0.0,42.0,-3.0,47.0,2.0,provisional_year_type_cluster_not_physical_type
W045,2,20,1999,1,18,k2_cluster1,not_tested_first_pass,41.0,-4.0,40.0,-5.0,45.0,0.0,43.0,-2.0,52.0,7.0,provisional_year_type_cluster_not_physical_type
W045,2,21,2000,1,18,k2_cluster1,not_tested_first_pass,39.0,-6.0,41.0,-4.0,51.0,6.0,53.0,8.0,46.0,1.0,provisional_year_type_cluster_not_physical_type
W045,2,22,2001,1,18,k2_cluster1,not_tested_first_pass,36.0,-9.0,42.0,-3.0,48.0,3.0,40.0,-5.0,47.0,2.0,provisional_year_type_cluster_not_physical_type
W045,2,23,2002,2,27,k2_cluster2,not_tested_first_pass,48.0,3.0,48.0,3.0,44.0,-1.0,42.0,-3.0,41.0,-4.0,provisional_year_type_cluster_not_physical_type
W045,2,24,2003,2,27,k2_cluster2,not_tested_first_pass,40.0,-5.0,52.0,7.0,52.0,7.0,52.0,7.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,25,2004,2,27,k2_cluster2,not_tested_first_pass,46.0,1.0,45.0,0.0,45.0,0.0,49.0,4.0,51.0,6.0,provisional_year_type_cluster_not_physical_type
W045,2,26,2005,1,18,k2_cluster1,not_tested_first_pass,41.0,-4.0,46.0,1.0,42.0,-3.0,37.0,-8.0,37.0,-8.0,provisional_year_type_cluster_not_physical_type
W045,2,27,2006,2,27,k2_cluster2,not_tested_first_pass,40.0,-5.0,47.0,2.0,50.0,5.0,53.0,8.0,42.0,-3.0,provisional_year_type_cluster_not_physical_type
W045,2,28,2007,1,18,k2_cluster1,not_tested_first_pass,44.0,-1.0,46.0,1.0,39.0,-6.0,35.0,-10.0,48.0,3.0,provisional_year_type_cluster_not_physical_type
W045,2,29,2008,2,27,k2_cluster2,not_tested_first_pass,50.0,5.0,48.0,3.0,47.0,2.0,51.0,6.0,48.0,3.0,provisional_year_type_cluster_not_physical_type
W045,2,30,2009,1,18,k2_cluster1,not_tested_first_pass,43.0,-2.0,36.0,-9.0,41.0,-4.0,50.0,5.0,48.0,3.0,provisional_year_type_cluster_not_physical_type
W045,2,31,2010,2,27,k2_cluster2,not_tested_first_pass,52.0,7.0,51.0,6.0,42.0,-3.0,38.0,-7.0,40.0,-5.0,provisional_year_type_cluster_not_physical_type
W045,2,32,2011,2,27,k2_cluster2,not_tested_first_pass,43.0,-2.0,49.0,4.0,48.0,3.0,43.0,-2.0,53.0,8.0,provisional_year_type_cluster_not_physical_type
W045,2,33,2012,1,18,k2_cluster1,not_tested_first_pass,43.0,-2.0,42.0,-3.0,39.0,-6.0,41.0,-4.0,38.0,-7.0,provisional_year_type_cluster_not_physical_type
W045,2,34,2013,2,27,k2_cluster2,not_tested_first_pass,50.0,5.0,41.0,-4.0,47.0,2.0,42.0,-3.0,42.0,-3.0,provisional_year_type_cluster_not_physical_type
W045,2,35,2014,2,27,k2_cluster2,not_tested_first_pass,45.0,0.0,51.0,6.0,49.0,4.0,32.0,-13.0,36.0,-9.0,provisional_year_type_cluster_not_physical_type
W045,2,36,2015,2,27,k2_cluster2,not_tested_first_pass,46.0,1.0,46.0,1.0,49.0,4.0,50.0,5.0,38.0,-7.0,provisional_year_type_cluster_not_physical_type
W045,2,37,2016,2,27,k2_cluster2,not_tested_first_pass,47.0,2.0,50.0,5.0,52.0,7.0,42.0,-3.0,44.0,-1.0,provisional_year_type_cluster_not_physical_type
W045,2,38,2017,1,18,k2_cluster1,not_tested_first_pass,42.0,-3.0,40.0,-5.0,44.0,-1.0,45.0,0.0,39.0,-6.0,provisional_year_type_cluster_not_physical_type
W045,2,39,2018,1,18,k2_cluster1,not_tested_first_pass,41.0,-4.0,40.0,-5.0,39.0,-6.0,40.0,-5.0,45.0,0.0,provisional_year_type_cluster_not_physical_type
W045,2,40,2019,2,27,k2_cluster2,not_tested_first_pass,41.0,-4.0,48.0,3.0,48.0,3.0,46.0,1.0,43.0,-2.0,provisional_year_type_cluster_not_physical_type
W045,2,41,2020,2,27,k2_cluster2,not_tested_first_pass,44.0,-1.0,46.0,1.0,40.0,-5.0,46.0,1.0,45.0,0.0,provisional_year_type_cluster_not_physical_type
