window_id,left_out_year_index,left_out_year,object,v9_observed_peak_day,loo_peak_day,loo_peak_shift,loo_peak_score,influence_flag,method_role
W113,0,1979,P,113.0,112.0,-1.0,23.47502447335298,low_shift,leave_one_year_out_influence_diagnostic
W113,0,1979,V,114.0,114.0,0.0,19.058255330306952,low_shift,leave_one_year_out_influence_diagnostic
W113,0,1979,H,115.0,115.0,0.0,30.56913991717265,low_shift,leave_one_year_out_influence_diagnostic
W113,0,1979,Je,111.0,110.0,-1.0,16.427009908759004,low_shift,leave_one_year_out_influence_diagnostic
W113,0,1979,Jw,104.0,104.0,0.0,25.576894661978265,low_shift,leave_one_year_out_influence_diagnostic
W113,1,1980,P,113.0,113.0,0.0,28.9544009967575,low_shift,leave_one_year_out_influence_diagnostic
W113,1,1980,V,114.0,114.0,0.0,21.274820939979218,low_shift,leave_one_year_out_influence_diagnostic
W113,1,1980,H,115.0,115.0,0.0,35.24854770216211,low_shift,leave_one_year_out_influence_diagnostic
W113,1,1980,Je,111.0,112.0,1.0,16.827662160443992,low_shift,leave_one_year_out_influence_diagnostic
W113,1,1980,Jw,104.0,108.0,4.0,23.666329270728617,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,2,1981,P,113.0,113.0,0.0,27.959784556075252,low_shift,leave_one_year_out_influence_diagnostic
W113,2,1981,V,114.0,114.0,0.0,21.095737383158635,low_shift,leave_one_year_out_influence_diagnostic
W113,2,1981,H,115.0,115.0,0.0,35.90041126629201,low_shift,leave_one_year_out_influence_diagnostic
W113,2,1981,Je,111.0,112.0,1.0,16.893552272712085,low_shift,leave_one_year_out_influence_diagnostic
W113,2,1981,Jw,104.0,108.0,4.0,24.78748511155819,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,3,1982,P,113.0,112.0,-1.0,24.531493420409177,low_shift,leave_one_year_out_influence_diagnostic
W113,3,1982,V,114.0,114.0,0.0,19.079735583323355,low_shift,leave_one_year_out_influence_diagnostic
W113,3,1982,H,115.0,115.0,0.0,31.46476208227754,low_shift,leave_one_year_out_influence_diagnostic
W113,3,1982,Je,111.0,109.0,-2.0,16.73241464655071,low_shift,leave_one_year_out_influence_diagnostic
W113,3,1982,Jw,104.0,103.0,-1.0,27.085495964459742,low_shift,leave_one_year_out_influence_diagnostic
W113,4,1983,P,113.0,112.0,-1.0,26.909432779455404,low_shift,leave_one_year_out_influence_diagnostic
W113,4,1983,V,114.0,114.0,0.0,21.087324466979066,low_shift,leave_one_year_out_influence_diagnostic
W113,4,1983,H,115.0,115.0,0.0,37.326762775307365,low_shift,leave_one_year_out_influence_diagnostic
W113,4,1983,Je,111.0,109.0,-2.0,17.632642782258046,low_shift,leave_one_year_out_influence_diagnostic
W113,4,1983,Jw,104.0,103.0,-1.0,24.971044152628718,low_shift,leave_one_year_out_influence_diagnostic
W113,5,1984,P,113.0,112.0,-1.0,27.70860800989313,low_shift,leave_one_year_out_influence_diagnostic
W113,5,1984,V,114.0,114.0,0.0,20.667150920036303,low_shift,leave_one_year_out_influence_diagnostic
W113,5,1984,H,115.0,115.0,0.0,35.61357282061928,low_shift,leave_one_year_out_influence_diagnostic
W113,5,1984,Je,111.0,111.0,0.0,16.154298919472478,low_shift,leave_one_year_out_influence_diagnostic
W113,5,1984,Jw,104.0,105.0,1.0,26.041862589418244,low_shift,leave_one_year_out_influence_diagnostic
W113,6,1985,P,113.0,112.0,-1.0,26.267062472768025,low_shift,leave_one_year_out_influence_diagnostic
W113,6,1985,V,114.0,114.0,0.0,18.894154004214883,low_shift,leave_one_year_out_influence_diagnostic
W113,6,1985,H,115.0,115.0,0.0,33.95252177617349,low_shift,leave_one_year_out_influence_diagnostic
W113,6,1985,Je,111.0,112.0,1.0,16.348620114810608,low_shift,leave_one_year_out_influence_diagnostic
W113,6,1985,Jw,104.0,104.0,0.0,26.00253775934948,low_shift,leave_one_year_out_influence_diagnostic
W113,7,1986,P,113.0,112.0,-1.0,27.740054587656395,low_shift,leave_one_year_out_influence_diagnostic
W113,7,1986,V,114.0,114.0,0.0,18.143391118409284,low_shift,leave_one_year_out_influence_diagnostic
W113,7,1986,H,115.0,114.0,-1.0,32.145115294600835,low_shift,leave_one_year_out_influence_diagnostic
W113,7,1986,Je,111.0,109.0,-2.0,16.143146544311,low_shift,leave_one_year_out_influence_diagnostic
W113,7,1986,Jw,104.0,102.0,-2.0,24.193069418333415,low_shift,leave_one_year_out_influence_diagnostic
W113,8,1987,P,113.0,112.0,-1.0,25.398322586674734,low_shift,leave_one_year_out_influence_diagnostic
W113,8,1987,V,114.0,114.0,0.0,22.565099101036196,low_shift,leave_one_year_out_influence_diagnostic
W113,8,1987,H,115.0,115.0,0.0,37.25536400544422,low_shift,leave_one_year_out_influence_diagnostic
W113,8,1987,Je,111.0,111.0,0.0,16.908613798010087,low_shift,leave_one_year_out_influence_diagnostic
W113,8,1987,Jw,104.0,103.0,-1.0,25.3655726732656,low_shift,leave_one_year_out_influence_diagnostic
W113,9,1988,P,113.0,112.0,-1.0,28.301511687010105,low_shift,leave_one_year_out_influence_diagnostic
W113,9,1988,V,114.0,114.0,0.0,18.672644328933046,low_shift,leave_one_year_out_influence_diagnostic
W113,9,1988,H,115.0,115.0,0.0,31.980648693476674,low_shift,leave_one_year_out_influence_diagnostic
W113,9,1988,Je,111.0,110.0,-1.0,16.701700346603673,low_shift,leave_one_year_out_influence_diagnostic
W113,9,1988,Jw,104.0,104.0,0.0,24.598844234150324,low_shift,leave_one_year_out_influence_diagnostic
W113,10,1989,P,113.0,113.0,0.0,28.482642417298795,low_shift,leave_one_year_out_influence_diagnostic
W113,10,1989,V,114.0,113.0,-1.0,17.36218814607021,low_shift,leave_one_year_out_influence_diagnostic
W113,10,1989,H,115.0,115.0,0.0,31.00903018138888,low_shift,leave_one_year_out_influence_diagnostic
W113,10,1989,Je,111.0,112.0,1.0,15.898609928288007,low_shift,leave_one_year_out_influence_diagnostic
W113,10,1989,Jw,104.0,103.0,-1.0,25.058749197972524,low_shift,leave_one_year_out_influence_diagnostic
W113,11,1990,P,113.0,113.0,0.0,24.911188467160976,low_shift,leave_one_year_out_influence_diagnostic
W113,11,1990,V,114.0,114.0,0.0,19.081580063191797,low_shift,leave_one_year_out_influence_diagnostic
W113,11,1990,H,115.0,115.0,0.0,34.65027844704863,low_shift,leave_one_year_out_influence_diagnostic
W113,11,1990,Je,111.0,109.0,-2.0,16.711690937778712,low_shift,leave_one_year_out_influence_diagnostic
W113,11,1990,Jw,104.0,108.0,4.0,25.17516446860392,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,12,1991,P,113.0,114.0,1.0,28.322603560112608,low_shift,leave_one_year_out_influence_diagnostic
W113,12,1991,V,114.0,114.0,0.0,21.278680034884857,low_shift,leave_one_year_out_influence_diagnostic
W113,12,1991,H,115.0,115.0,0.0,37.30198705392657,low_shift,leave_one_year_out_influence_diagnostic
W113,12,1991,Je,111.0,111.0,0.0,16.929980862628575,low_shift,leave_one_year_out_influence_diagnostic
W113,12,1991,Jw,104.0,107.0,3.0,24.88314189466086,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,13,1992,P,113.0,113.0,0.0,25.322191346223814,low_shift,leave_one_year_out_influence_diagnostic
W113,13,1992,V,114.0,113.0,-1.0,19.72296513632424,low_shift,leave_one_year_out_influence_diagnostic
W113,13,1992,H,115.0,115.0,0.0,35.88213598749556,low_shift,leave_one_year_out_influence_diagnostic
W113,13,1992,Je,111.0,111.0,0.0,16.307841593934658,low_shift,leave_one_year_out_influence_diagnostic
W113,13,1992,Jw,104.0,105.0,1.0,25.753150312188108,low_shift,leave_one_year_out_influence_diagnostic
W113,14,1993,P,113.0,112.0,-1.0,26.1097714262545,low_shift,leave_one_year_out_influence_diagnostic
W113,14,1993,V,114.0,114.0,0.0,20.578958143890603,low_shift,leave_one_year_out_influence_diagnostic
W113,14,1993,H,115.0,115.0,0.0,35.91790473005037,low_shift,leave_one_year_out_influence_diagnostic
W113,14,1993,Je,111.0,110.0,-1.0,16.53393789203468,low_shift,leave_one_year_out_influence_diagnostic
W113,14,1993,Jw,104.0,104.0,0.0,25.477033310966423,low_shift,leave_one_year_out_influence_diagnostic
W113,15,1994,P,113.0,113.0,0.0,26.140860180276658,low_shift,leave_one_year_out_influence_diagnostic
W113,15,1994,V,114.0,115.0,1.0,20.27688420154674,low_shift,leave_one_year_out_influence_diagnostic
W113,15,1994,H,115.0,115.0,0.0,35.34628256769097,low_shift,leave_one_year_out_influence_diagnostic
W113,15,1994,Je,111.0,111.0,0.0,17.243961517615155,low_shift,leave_one_year_out_influence_diagnostic
W113,15,1994,Jw,104.0,108.0,4.0,26.166420073975832,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,16,1995,P,113.0,112.0,-1.0,25.634338034037032,low_shift,leave_one_year_out_influence_diagnostic
W113,16,1995,V,114.0,115.0,1.0,21.65857893789068,low_shift,leave_one_year_out_influence_diagnostic
W113,16,1995,H,115.0,115.0,0.0,33.86783853542868,low_shift,leave_one_year_out_influence_diagnostic
W113,16,1995,Je,111.0,109.0,-2.0,16.29244491917305,low_shift,leave_one_year_out_influence_diagnostic
W113,16,1995,Jw,104.0,103.0,-1.0,25.516868358100517,low_shift,leave_one_year_out_influence_diagnostic
W113,17,1996,P,113.0,113.0,0.0,24.11831151015975,low_shift,leave_one_year_out_influence_diagnostic
W113,17,1996,V,114.0,114.0,0.0,19.288687690036365,low_shift,leave_one_year_out_influence_diagnostic
W113,17,1996,H,115.0,115.0,0.0,31.92210188063817,low_shift,leave_one_year_out_influence_diagnostic
W113,17,1996,Je,111.0,111.0,0.0,16.365389383519595,low_shift,leave_one_year_out_influence_diagnostic
W113,17,1996,Jw,104.0,105.0,1.0,24.866959683056464,low_shift,leave_one_year_out_influence_diagnostic
W113,18,1997,P,113.0,113.0,0.0,24.72234387937887,low_shift,leave_one_year_out_influence_diagnostic
W113,18,1997,V,114.0,115.0,1.0,20.01869185152456,low_shift,leave_one_year_out_influence_diagnostic
W113,18,1997,H,115.0,115.0,0.0,35.47621000103579,low_shift,leave_one_year_out_influence_diagnostic
W113,18,1997,Je,111.0,112.0,1.0,15.82822422902182,low_shift,leave_one_year_out_influence_diagnostic
W113,18,1997,Jw,104.0,104.0,0.0,25.871612516448216,low_shift,leave_one_year_out_influence_diagnostic
W113,19,1998,P,113.0,112.0,-1.0,28.381322158428492,low_shift,leave_one_year_out_influence_diagnostic
W113,19,1998,V,114.0,114.0,0.0,21.267560988535596,low_shift,leave_one_year_out_influence_diagnostic
W113,19,1998,H,115.0,115.0,0.0,36.2274979894196,low_shift,leave_one_year_out_influence_diagnostic
W113,19,1998,Je,111.0,111.0,0.0,16.78250777677433,low_shift,leave_one_year_out_influence_diagnostic
W113,19,1998,Jw,104.0,104.0,0.0,26.70908894987377,low_shift,leave_one_year_out_influence_diagnostic
W113,20,1999,P,113.0,113.0,0.0,26.920415711116505,low_shift,leave_one_year_out_influence_diagnostic
W113,20,1999,V,114.0,114.0,0.0,20.081686411553306,low_shift,leave_one_year_out_influence_diagnostic
W113,20,1999,H,115.0,115.0,0.0,33.699920894041334,low_shift,leave_one_year_out_influence_diagnostic
W113,20,1999,Je,111.0,110.0,-1.0,17.321150124964742,low_shift,leave_one_year_out_influence_diagnostic
W113,20,1999,Jw,104.0,108.0,4.0,22.87469084355859,shift_ge_3_days,leave_one_year_out_influence_diagnostic
W113,21,2000,P,113.0,113.0,0.0,28.353900761529374,low_shift,leave_one_year_out_influence_diagnostic
W113,21,2000,V,114.0,114.0,0.0,18.973505123828232,low_shift,leave_one_year_out_influence_diagnostic
W113,21,2000,H,115.0,115.0,0.0,35.71050544447098,low_shift,leave_one_year_out_influence_diagnostic
W113,21,2000,Je,111.0,110.0,-1.0,17.09294811685344,low_shift,leave_one_year_out_influence_diagnostic
W113,21,2000,Jw,104.0,109.0,5.0,22.766529116943094,shift_ge_5_days,leave_one_year_out_influence_diagnostic
