window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision,target_name,phase_group,phase_group_size,years_in_phase_group,group_role,targeted_best_direction,targeted_best_prob,targeted_order_level
W081,P,V,84.0,82.0,-2.0,-3.0,-11.0,2.0,0.072,0.85,0.078,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,H,84.0,79.0,-5.0,-5.0,-10.0,3.0,0.074,0.89,0.036,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Je,84.0,84.0,0.0,0.0,-12.0,5.0,0.394,0.424,0.182,peak_order_unresolved,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,P,Jw,84.0,84.0,0.0,0.0,-4.0,3.0,0.28,0.49,0.23,peak_order_unresolved,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,H,82.0,79.0,-3.0,-2.0,-8.524999999999999,9.0,0.246,0.704,0.05,B_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Je,82.0,84.0,2.0,3.0,-8.524999999999999,11.0,0.702,0.206,0.092,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,V,Jw,82.0,84.0,2.0,2.0,-2.0,10.0,0.69,0.148,0.162,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Je,79.0,84.0,5.0,5.0,-7.524999999999999,11.0,0.83,0.128,0.042,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,H,Jw,79.0,84.0,5.0,5.0,-2.0,10.0,0.86,0.1,0.04,A_peak_earlier_tendency,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
W081,Je,Jw,84.0,84.0,0.0,0.0,-5.0,11.524999999999977,0.358,0.43,0.212,peak_order_unresolved,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak,A_earlier,,insufficient
