window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W081,P,V,2.0,1.0,2.0,4.0,-2.0,-3.0,-11.0,2.0,0.256,0.458,0.734,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,H,2.0,1.0,2.0,4.0,-5.0,-5.0,-10.0,3.0,0.092,0.168,0.396,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Je,2.0,1.0,2.0,4.0,0.0,0.0,-12.0,5.0,0.438,0.668,0.864,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,P,Jw,2.0,1.0,2.0,4.0,0.0,0.0,-4.0,3.0,0.656,0.852,0.988,synchrony_tendency,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,H,2.0,1.0,2.0,4.0,-3.0,-2.0,-8.524999999999999,9.0,0.222,0.366,0.602,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Je,2.0,1.0,2.0,4.0,2.0,3.0,-8.524999999999999,11.0,0.274,0.41,0.622,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,V,Jw,2.0,1.0,2.0,4.0,2.0,2.0,-2.0,10.0,0.396,0.538,0.702,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Je,2.0,1.0,2.0,4.0,5.0,5.0,-7.524999999999999,11.0,0.114,0.19,0.43,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,H,Jw,2.0,1.0,2.0,4.0,5.0,5.0,-2.0,10.0,0.118,0.19,0.438,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W081,Je,Jw,2.0,1.0,2.0,4.0,0.0,0.0,-5.0,11.524999999999977,0.598,0.788,0.904,synchrony_indeterminate,normal,W081_H_earlier_minus_Jw_earlier,target_mode_high,15,1980;1982;1986;1988;1991;1997;2000;2004;2006;2010;2011;2012;2015;2018;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
