window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,P,CP001,116,106,126,within_system_window,accepted_window,system_relevant_first,CP002@131:candidate_window;CP003@137:unstable_window;CP004@106:weak_window,,CP002@131:candidate_window;CP003@137:unstable_window,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP002,111,101,121,within_system_window,accepted_window,system_relevant_first,CP001@136:candidate_window;CP003@120:candidate_window,,CP001@136:candidate_window,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,113,103,123,within_system_window,accepted_window,system_relevant_first,CP002@137:weak_window,,CP002@137:weak_window,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,115,105,125,within_system_window,accepted_window,system_relevant_first,CP002@127:weak_window,,CP002@127:weak_window,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP002,115,105,125,within_system_window,candidate_window,system_relevant_first,CP001@136:weak_window,,CP001@136:weak_window,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP001,107,98,117,front_or_early,candidate_window,system_relevant_first,CP002@101:weak_window,,,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP001,117,107,127,within_system_window,accepted_window,system_relevant_first,CP002@101:weak_window,,,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,117,107,127,within_system_window,accepted_window,system_relevant_first,CP002@129:candidate_window;CP003@138:unstable_window,,CP002@129:candidate_window;CP003@138:unstable_window,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,CP001,109,99,119,within_system_window,accepted_window,system_relevant_first,CP002@129:accepted_window,,CP002@129:accepted_window,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,CP001,108,98,118,within_system_window,accepted_window,system_relevant_first,CP002@130:accepted_window,,CP002@130:accepted_window,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,CP002,113,103,123,within_system_window,candidate_window,system_relevant_first,CP001@132:candidate_window,,CP001@132:candidate_window,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,CP003,110,110,110,within_system_window,candidate_window,system_relevant_first,CP001@137:unstable_window;CP002@130:weak_window,,CP001@137:unstable_window;CP002@130:weak_window,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,CP001,116,106,126,within_system_window,weak_window,system_relevant_first,CP002@133:candidate_window,,CP002@133:candidate_window,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
