window_id,object,observed_peak_day,bootstrap_peak_median,bootstrap_peak_q025,bootstrap_peak_q975,abs_error_median,abs_error_q75,abs_error_q90,abs_error_q975,support_class,included_in_tau_estimation,target_name,phase_group,phase_group_size,years_in_phase_group,group_role
W113,P,116.0,116.0,111.0,118.0,1.0,1.0,1.0,5.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,111.0,111.0,106.0,118.0,2.0,4.0,5.0,7.524999999999977,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,113.0,113.0,109.0,115.0,1.0,1.0,2.0,4.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,115.0,115.0,114.0,117.0,1.0,1.0,2.0,2.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,115.0,114.0,106.475,118.0,2.0,3.0,6.0,9.524999999999977,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_high,15,1979;1982;1983;1988;1994;1995;1996;1998;1999;2002;2006;2008;2016;2019;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,107.0,109.0,101.0,118.0,3.0,6.0,10.0,11.0,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,117.0,117.0,112.0,118.0,1.0,2.0,4.0,5.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,117.0,117.0,108.0,120.0,1.0,2.0,3.1000000000000227,9.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,109.0,109.0,107.0,111.0,1.0,1.0,2.0,2.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,108.0,108.0,104.475,116.0,1.0,1.0,3.0,8.0,accepted_window,True,W113_H_earlier_minus_Je_earlier,target_mode_low,15,1981;1985;1986;1989;1990;1992;1997;2003;2004;2009;2010;2011;2012;2014;2018,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,113.0,114.0,101.0,122.0,2.0,5.0,9.0,12.0,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,110.0,112.0,106.0,125.0,3.0,5.0,9.0,15.0,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,116.0,115.0,106.0,121.0,3.0,6.0,9.0,11.0,weak_window,True,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,105.0,107.0,103.475,123.0,3.0,12.0,16.100000000000023,18.0,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,119.0,118.0,100.0,123.0,2.0,4.0,15.0,19.0,candidate_window,True,W113_H_earlier_minus_Je_earlier,target_mode_mid,15,1980;1984;1987;1991;1993;2000;2001;2005;2007;2013;2015;2017;2020;2022;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,113.0,112.0,106.0,117.0,2.0,3.0,5.0,8.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,115.0,114.0,107.475,123.0,2.0,4.0,7.0,9.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,107.0,108.0,106.0,120.0,1.0,11.0,12.0,13.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,116.0,116.0,110.0,119.0,1.0,2.0,3.0,6.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,104.0,110.0,102.0,121.0,6.0,8.0,13.0,17.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_high,15,1983;1986;1987;1992;2001;2004;2006;2007;2009;2011;2013;2015;2016;2019;2022,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,110.0,110.0,105.0,115.0,1.0,2.0,4.0,6.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,109.0,109.0,105.0,113.0,1.0,2.0,3.0,5.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,109.0,109.0,108.0,111.0,1.0,1.0,2.0,2.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,115.0,115.0,101.0,119.0,2.0,3.0,9.0,14.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,106.0,107.0,99.0,126.0,2.0,6.0,14.0,20.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_low,15,1985;1990;1991;1993;1994;1995;1996;1997;1998;1999;2000;2005;2012;2017;2021,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,P,112.0,113.0,107.0,120.0,3.0,5.0,7.0,8.0,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,V,118.0,117.0,107.0,120.52499999999998,1.0,3.25,5.0,11.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,H,115.0,115.0,114.0,119.0,1.0,1.0,3.0,5.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Je,109.0,109.0,107.0,114.0,1.0,2.0,4.0,5.0,accepted_window,True,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
W113,Jw,113.0,112.0,103.475,117.0,1.0,3.0,6.0,9.524999999999977,candidate_window,True,W113_H_late_minus_early_peak_influence,target_mode_mid,15,1979;1980;1981;1982;1984;1988;1989;2002;2003;2008;2010;2014;2018;2020;2023,targeted_SVD_phase_group_multi_year_peak_not_single_year_peak
