window_id,target_name,target_pair,target_set,was_in_original_v9_1_f,score_group,pair_name,object_A,object_B,n_valid_bootstrap,median_delta_B_minus_A,mean_delta_B_minus_A,q25_delta_B_minus_A,q75_delta_B_minus_A,prob_A_earlier,prob_B_earlier,prob_same_or_near,dominant_order_label,near_day_threshold,permutation_level,signflip_level,mode_stability_status,extreme_year_dominated_flag
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-V,P,V,334,1.0,1.1077844311377245,0.0,2.0,0.5808383233532934,0.18562874251497005,0.23353293413173654,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-H,P,H,334,-8.0,-6.610778443113772,-10.0,-6.0,0.1437125748502994,0.8502994011976048,0.005988023952095809,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-Je,P,Je,334,3.0,2.895209580838323,1.0,4.0,0.8832335329341318,0.04790419161676647,0.0688622754491018,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,P-Jw,P,Jw,334,-2.0,-1.2604790419161678,-4.0,1.75,0.3203592814371258,0.6077844311377245,0.0718562874251497,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-H,V,H,334,-9.0,-7.718562874251497,-11.0,-7.0,0.12574850299401197,0.8712574850299402,0.0029940119760479044,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-Je,V,Je,334,2.0,1.7874251497005988,1.0,3.75,0.7724550898203593,0.1317365269461078,0.09580838323353294,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,V-Jw,V,Jw,334,-3.0,-2.3682634730538923,-5.0,1.0,0.2634730538922156,0.6616766467065869,0.0748502994011976,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,H-Je,H,Je,334,11.0,9.505988023952096,9.0,13.0,0.8802395209580839,0.10179640718562874,0.017964071856287425,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,H-Jw,H,Jw,334,6.0,5.350299401197605,3.0,9.0,0.8413173652694611,0.1497005988023952,0.008982035928143712,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,high,Je-Jw,Je,Jw,334,-5.0,-4.155688622754491,-8.0,-1.0,0.16766467065868262,0.7844311377245509,0.04790419161676647,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-V,P,V,333,1.0,1.2042042042042043,0.0,2.0,0.5915915915915916,0.18018018018018017,0.22822822822822822,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-H,P,H,333,-5.0,-3.051051051051051,-11.0,2.0,0.4084084084084084,0.5555555555555556,0.036036036036036036,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-Je,P,Je,333,1.0,1.2882882882882882,0.0,2.0,0.5795795795795796,0.18018018018018017,0.24024024024024024,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,P-Jw,P,Jw,333,-1.0,-0.6096096096096096,-4.0,2.0,0.3783783783783784,0.5465465465465466,0.07507507507507508,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-H,V,H,333,-8.0,-4.255255255255255,-11.0,2.0,0.34534534534534533,0.5825825825825826,0.07207207207207207,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-Je,V,Je,333,0.0,0.08408408408408409,-1.0,1.0,0.44144144144144143,0.3663663663663664,0.1921921921921922,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,V-Jw,V,Jw,333,-2.0,-1.8138138138138138,-5.0,1.0,0.2852852852852853,0.6396396396396397,0.07507507507507508,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,H-Je,H,Je,333,8.0,4.33933933933934,-2.0,12.0,0.5585585585585585,0.38738738738738737,0.05405405405405406,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,H-Jw,H,Jw,333,4.0,2.4414414414414414,-6.0,10.0,0.5705705705705706,0.4084084084084084,0.021021021021021023,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,low,Je-Jw,Je,Jw,333,-3.0,-1.897897897897898,-5.0,1.0,0.30930930930930933,0.6426426426426426,0.04804804804804805,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-V,P,V,333,1.0,1.0360360360360361,0.0,2.0,0.5615615615615616,0.2132132132132132,0.22522522522522523,A_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-H,P,H,333,-8.0,-5.711711711711712,-10.0,0.0,0.2222222222222222,0.7477477477477478,0.03003003003003003,B_earlier,0.0,strict_99,direction_specific_99,stable,False
W045,W045_H_vs_Je_delta_peak,H-Je,added_all_pair,False,mid,P-Je,P,Je,333,2.0,1.951951951951952,0.0,3.0,0.7177177177177178,0.0960960960960961,0.18618618618618618,A_earlier,0.0,strict_99,direction_specific_99,stable,False
