window_id,target_name,object_A,object_B,evidence_v3_level,result_tier,physical_audit_priority,why_ready,required_next_material,dominant_object,dominant_time_half,result_basis,statistical_interpretation_boundary
W045,W045_P_vs_Jw_delta_peak,P,Jw,robust_pair_specific_reversal,Tier_1_main_statistical_result,priority_1_pair_specific_reversal,robust_pair_specific_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,H,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W081,W081_H_vs_Jw_delta_peak,H,Jw,robust_pair_specific_reversal,Tier_1_main_statistical_result,priority_1_pair_specific_reversal,robust_pair_specific_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,Jw,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W113,W113_V_vs_Je_delta_peak,V,Je,robust_pair_specific_reversal,Tier_1_main_statistical_result,priority_1_pair_specific_reversal,robust_pair_specific_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,V,early,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W160,W160_V_vs_Je_delta_peak,V,Je,robust_pair_specific_reversal,Tier_1_main_statistical_result,priority_1_pair_specific_reversal,robust_pair_specific_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,V,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,H,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W045,W045_V_vs_Jw_delta_peak,V,Jw,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,V,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W081,W081_P_vs_V_delta_peak,P,V,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,V,early,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W081,W081_V_vs_Jw_delta_peak,V,Jw,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,Jw,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W113,W113_P_vs_V_delta_peak,P,V,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,V,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
W160,W160_Jw_vs_V_delta_peak,Jw,V,robust_common_mode_reversal,Tier_1_main_statistical_result,priority_2_common_mode_reversal,robust_common_mode_reversal with direction_specific_99 and mode=stable; extreme_year_dominated=False,phase_composite_profiles; high_minus_low profiles; object/time/profile pattern physical-audit; no physical naming before audit,Jw,late,extreme_quantile_reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification"
