window_id,target_name,object_A,object_B,directional_pair,canonical_pair,V9_peak_A_from_object_registry,V9_peak_B_from_object_registry,V9_peak_A,V9_peak_B,V9_delta_B_minus_A,V9_delta_median,V9_delta_q025,V9_delta_q975,V9_P_A_earlier,V9_P_B_earlier,V9_P_same_day,V9_peak_order_decision,V9_order_probability_level,evidence_v3_level,result_tier,interpretation_permission,physical_audit_priority,result_basis,pattern_type,specificity_status,cross_target_specificity_level,signflip_level,mode_stability_status,extreme_year_dominated_flag,gradient_status,best_quantile_scheme,best_high_order_level,best_low_order_level,best_high_dominant_probability,best_low_dominant_probability,best_high_low_reversal_flag,tercile_high_order_level,tercile_low_order_level,tercile_high_low_reversal_flag,dominant_object,dominant_object_fraction,dominant_time_half,pattern_interpretability_status,recommended_interpretation_v3,statistical_interpretation_boundary,V9_pair_match_direction,evidence_v2_level,evidence_v1_level,recommended_interpretation,interpretation_boundary,permutation_level,delta_gradient_slope,A_earlier_gradient_slope,B_earlier_gradient_slope,specificity_own_abs_rank,specificity_own_minus_max_other,signflip_percentile,dominant_object_from_pattern_summary,dominant_object_fraction_from_pattern_summary,early_half_abs_loading_fraction,late_half_abs_loading_fraction,dominant_day_start,dominant_day_end,dominant_profile_coord_min,dominant_profile_coord_max
W045,W045_Je_vs_Jw_delta_peak,Je,Jw,Je-Jw,Je-Jw,46,41,46.0,41.0,-5.0,-4.0,-10.0,5.0,0.227,0.715,0.058,B_peak_earlier_tendency,unresolved,robust_common_mode_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_2_common_mode_reversal,extreme_quantile_reversal,high_low_reversal,common_mode,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,decile,weak_or_none,strict_99,0.76,1.0,True,weak_or_none,credible_95,True,H,0.2436890846066622,late,interpretable_summary_available,common bootstrap-composite mode modulates multiple targets and shows order reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,moderate_bootstrap_coupling_candidate,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.8,0.15,-0.1844999999999999,1,0.0402927294881669,1.0,H,0.2436890846066622,0.4657793604640173,0.5342206395359828,8.0,68.0,0.0,10.0
W045,W045_P_vs_Jw_delta_peak,P,Jw,P-Jw,Jw-P,45,41,45.0,41.0,-4.0,-1.5,-7.0,8.0,0.347,0.582,0.071,B_peak_earlier_tendency,unresolved,robust_pair_specific_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_1_pair_specific_reversal,extreme_quantile_reversal,high_low_reversal,pair_specific,specific_99,direction_specific_99,stable,False,clear_continuous_gradient,decile,weak_or_none,credible_95,0.84,0.98,True,weak_or_none,weak_or_none,True,H,0.2140525836486676,late,interpretable_summary_available,specific bootstrap-composite mode with robust high/low order reversal; still not a physical year type,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,weak_bootstrap_coupling_hint,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.8,0.2009999999999999,-0.2114999999999999,1,0.0896033470470338,1.0,H,0.2140525836486676,0.4576559353784355,0.5423440646215644,8.0,66.0,1.0,10.0
W045,W045_V_vs_Jw_delta_peak,V,Jw,V-Jw,Jw-V,45,41,45.0,41.0,-4.0,-2.0,-9.0,5.0,0.277,0.658,0.065,B_peak_earlier_tendency,unresolved,robust_common_mode_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_2_common_mode_reversal,extreme_quantile_reversal,high_low_reversal,common_mode,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,decile,weak_or_none,strict_99,0.79,0.99,True,weak_or_none,usable_90,True,V,0.2106505886859005,late,interpretable_summary_available,common bootstrap-composite mode modulates multiple targets and shows order reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,moderate_bootstrap_coupling_candidate,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.75,0.177,-0.192,2,-0.0228045094267956,1.0,V,0.2106505886859005,0.4995814029616169,0.500418597038383,4.0,61.0,0.0,10.0
W081,W081_P_vs_V_delta_peak,P,V,P-V,P-V,82,80,82.0,80.0,-2.0,-2.0,-11.0,7.0,0.198,0.673,0.129,B_peak_earlier_tendency,unresolved,robust_common_mode_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_2_common_mode_reversal,extreme_quantile_reversal,high_low_reversal,common_mode,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,decile,weak_or_none,credible_95,0.5,0.95,True,weak_or_none,weak_or_none,False,V,0.2434248292985953,early,interpretable_summary_available,common bootstrap-composite mode modulates multiple targets and shows order reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,not_supported,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,0.9,0.1014999999999999,-0.137,1,0.0344637477321323,1.0,V,0.2434248292985953,0.5075237780379928,0.4924762219620073,62.0,97.0,2.0,10.0
W081,W081_V_vs_Jw_delta_peak,V,Jw,V-Jw,Jw-V,80,83,80.0,83.0,3.0,2.0,-9.0,13.0,0.6576576576576577,0.2602602602602603,0.082082082082082,A_peak_earlier_tendency,unresolved,robust_common_mode_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_2_common_mode_reversal,extreme_quantile_reversal,high_low_reversal,pair_specific,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,quintile,credible_95,weak_or_none,0.964824120603015,0.6633165829145728,True,usable_90,weak_or_none,True,Jw,0.2305696048383398,late,interpretable_summary_available,common bootstrap-composite mode modulates multiple targets and shows order reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,moderate_bootstrap_coupling_candidate,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.6,0.184964824120603,-0.1494748743718593,1,0.1576653230164958,1.0,Jw,0.2305696048383398,0.4097806143974828,0.5902193856025171,73.0,93.0,0.0,10.0
W081,W081_H_vs_Jw_delta_peak,H,Jw,H-Jw,H-Jw,77,83,77.0,83.0,6.0,5.0,-6.0,14.0,0.7957957957957958,0.1531531531531531,0.051051051051051,A_peak_earlier_tendency,unresolved,robust_pair_specific_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_1_pair_specific_reversal,extreme_quantile_reversal,high_low_reversal,pair_specific,specific_99,direction_specific_99,stable,False,clear_continuous_gradient,quintile,credible_95,weak_or_none,0.9798994974874372,0.4824120603015075,True,credible_95,weak_or_none,False,Jw,0.2873104245903757,late,interpretable_summary_available,specific bootstrap-composite mode with robust high/low order reversal; still not a physical year type,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,weak_bootstrap_coupling_hint,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.9,0.1294798994974874,-0.1074899497487437,1,0.058028289865219,1.0,Jw,0.2873104245903757,0.4233478643397412,0.5766521356602589,73.0,94.0,0.0,10.0
W113,W113_V_vs_Je_delta_peak,V,Je,V-Je,Je-V,114,111,114.0,111.0,-3.0,-4.0,-12.0,4.0,0.1331331331331331,0.7777777777777778,0.0890890890890891,B_peak_earlier_tendency,unresolved,robust_pair_specific_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_1_pair_specific_reversal,extreme_quantile_reversal,high_low_reversal,pair_specific,specific_99,direction_specific_99,stable,False,clear_continuous_gradient,quintile,weak_or_none,credible_95,0.4170854271356783,0.9899497487437184,True,weak_or_none,credible_95,False,V,0.2230817000366546,early,interpretable_summary_available,specific bootstrap-composite mode with robust high/low order reversal; still not a physical year type,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,weak_bootstrap_coupling_hint,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.8,0.0934170854271356,-0.1551633165829145,1,0.1439413091233464,1.0,V,0.2230817000366546,0.589290916714801,0.4107090832851989,88.0,153.0,0.0,10.0
W113,W113_H_vs_Je_delta_peak,H,Je,H-Je,H-Je,115,111,115.0,111.0,-4.0,-4.0,-9.0,1.0,0.037037037037037,0.914914914914915,0.048048048048048,B_peak_earlier_tendency,usable_90,robust_one_sided_locking,Tier_2_important_auxiliary_result,ready_for_physical_audit,priority_3_locking_or_gradient,one_sided_locking,one_sided_order_locking,pair_specific,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,tercile,weak_or_none,strict_99,0.7777777777777778,0.990990990990991,False,weak_or_none,strict_99,False,Je,0.2665588202386642,early,interpretable_summary_available,mode robustly locks one order direction in one phase but does not establish symmetric reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,one_sided_locking_candidate,weak_bootstrap_coupling_hint,one score phase strongly locks an order while the opposite phase is weak/unresolved; indicates order sharpening/suppression rather than full reversal,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.6,0.0241206030150753,-0.0607663316582914,1,0.0748843564212694,1.0,Je,0.2665588202386642,0.6305710703545729,0.3694289296454271,93.0,138.0,0.0,10.0
W113,W113_P_vs_V_delta_peak,P,V,P-V,P-V,113,114,113.0,114.0,1.0,2.0,-7.0,13.0,0.598,0.318,0.084,A_peak_earlier_tendency,unresolved,robust_common_mode_reversal,Tier_1_main_statistical_result,ready_for_physical_audit,priority_2_common_mode_reversal,extreme_quantile_reversal,high_low_reversal,pair_specific,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,decile,usable_90,usable_90,0.92,0.94,True,usable_90,weak_or_none,True,V,0.2526956882787934,late,interpretable_summary_available,common bootstrap-composite mode modulates multiple targets and shows order reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",exact,moderate_reversal_candidate,moderate_bootstrap_coupling_candidate,score quantiles show order reversal but support is moderate or quantile-sensitive; keep as candidate,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,2.1,0.209,-0.185,1,0.1358752219043993,1.0,V,0.2526956882787934,0.4933308829384678,0.5066691170615323,88.0,152.0,0.0,10.0
W113,W113_Jw_vs_H_delta_peak,Jw,H,Jw-H,H-Jw,104,115,104.0,115.0,11.0,7.0,-1.0,14.0,0.961,0.026,0.013,B_peak_earlier_tendency__raw_reversed,credible_95,robust_one_sided_locking,Tier_2_important_auxiliary_result,ready_for_physical_audit,priority_3_locking_or_gradient,one_sided_locking,one_sided_order_locking,pair_specific,not_specific,direction_specific_99,stable,False,clear_continuous_gradient,decile,credible_95,usable_90,0.98,0.91,False,credible_95,usable_90,False,P,0.2198608713125,early,interpretable_summary_available,mode robustly locks one order direction in one phase but does not establish symmetric reversal,"statistical evidence registry only; not a physical type, causal pathway, or year-type classification",reversed,one_sided_locking_candidate,weak_bootstrap_coupling_hint,one score phase strongly locks an order while the opposite phase is weak/unresolved; indicates order sharpening/suppression rather than full reversal,refined bootstrap-space coupling diagnostic; not a physical year-type claim,strict_99,1.6,0.0089999999999999,-0.006,1,0.0642864990122203,1.0,P,0.2198608713125,0.5980740084452856,0.4019259915547145,88.0,150.0,0.0,12.0
