pc_phase,mode,window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,n_years_in_group,years_in_group,peak_source,detector_status
high,1,W045,P,CP001,48,38,58,within_system_window,unstable_window,system_relevant_first,CP002@31:unstable_window,,,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998,v7_detector_zero_bootstrap,ok
high,1,W045,V,CP001,47,37,57,within_system_window,unstable_window,system_relevant_first,CP002@30:unstable_window;CP003@15:unstable_window,CP003@15:unstable_window,,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998,v7_detector_zero_bootstrap,ok
high,1,W045,H,CP001,38,28,48,front_or_early,unstable_window,system_relevant_first,CP002@50:unstable_window,,,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998,v7_detector_zero_bootstrap,ok
high,1,W045,Je,CP003,44,34,54,within_system_window,unstable_window,system_relevant_first,CP001@26:unstable_window;CP002@15:unstable_window;CP004@52:unstable_window,CP001@26:unstable_window;CP002@15:unstable_window,,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998,v7_detector_zero_bootstrap,ok
high,1,W045,Jw,CP001,45,35,55,within_system_window,unstable_window,system_relevant_first,CP002@58:unstable_window;CP003@20:unstable_window;CP004@35:unstable_window,CP003@20:unstable_window,CP002@58:unstable_window,15,1994;2003;1980;1995;2010;2019;2015;2021;1987;2023;1983;1991;2018;2016;1998,v7_detector_zero_bootstrap,ok
low,1,W045,P,CP001,45,35,55,within_system_window,unstable_window,system_relevant_first,CP002@52:unstable_window;CP003@23:unstable_window;CP004@35:unstable_window,CP003@23:unstable_window,,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013,v7_detector_zero_bootstrap,ok
low,1,W045,V,CP002,43,33,53,within_system_window,unstable_window,system_relevant_first,CP001@52:unstable_window;CP003@30:unstable_window,,,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013,v7_detector_zero_bootstrap,ok
low,1,W045,H,CP002,33,23,43,front_or_early,unstable_window,system_relevant_first,CP001@20:unstable_window,CP001@20:unstable_window,,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013,v7_detector_zero_bootstrap,ok
low,1,W045,Je,CP001,46,36,56,within_system_window,unstable_window,system_relevant_first,CP002@34:unstable_window;CP003@23:unstable_window,CP003@23:unstable_window,,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013,v7_detector_zero_bootstrap,ok
low,1,W045,Jw,CP001,41,31,51,within_system_window,unstable_window,system_relevant_first,CP002@55:unstable_window;CP003@28:unstable_window,CP003@28:unstable_window,CP002@55:unstable_window,15,1984;2000;1996;2009;1992;1982;1997;2008;1989;1985;1981;1979;2007;1999;2013,v7_detector_zero_bootstrap,ok
high,2,W045,P,CP001,47,37,57,within_system_window,unstable_window,system_relevant_first,CP002@32:unstable_window,,,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997,v7_detector_zero_bootstrap,ok
high,2,W045,V,CP001,46,36,56,within_system_window,unstable_window,system_relevant_first,CP002@28:unstable_window,CP002@28:unstable_window,,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997,v7_detector_zero_bootstrap,ok
high,2,W045,H,CP002,47,37,57,within_system_window,unstable_window,system_relevant_first,CP001@20:unstable_window,CP001@20:unstable_window,,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997,v7_detector_zero_bootstrap,ok
high,2,W045,Je,CP001,45,35,55,within_system_window,unstable_window,system_relevant_first,CP002@27:unstable_window,CP002@27:unstable_window,,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997,v7_detector_zero_bootstrap,ok
high,2,W045,Jw,CP001,39,29,49,front_or_early,unstable_window,system_relevant_first,CP002@56:unstable_window,,CP002@56:unstable_window,15,1990;2005;2004;1981;2011;1988;1982;2020;2003;2002;1993;1985;1992;1998;1997,v7_detector_zero_bootstrap,ok
low,2,W045,P,CP001,47,37,57,within_system_window,unstable_window,system_relevant_first,CP002@28:unstable_window;CP003@36:unstable_window,CP002@28:unstable_window,,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012,v7_detector_zero_bootstrap,ok
low,2,W045,V,CP001,44,34,54,within_system_window,unstable_window,system_relevant_first,CP002@29:unstable_window,CP002@29:unstable_window,,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012,v7_detector_zero_bootstrap,ok
low,2,W045,H,CP001,44,34,54,within_system_window,unstable_window,system_relevant_first,,,,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012,v7_detector_zero_bootstrap,ok
low,2,W045,Je,CP003,50,40,59,late_or_catchup,unstable_window,system_relevant_first,CP001@26:unstable_window;CP002@16:unstable_window,CP001@26:unstable_window;CP002@16:unstable_window,,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012,v7_detector_zero_bootstrap,ok
low,2,W045,Jw,CP001,49,39,59,late_or_catchup,unstable_window,system_relevant_first,CP002@29:unstable_window;CP003@33:unstable_window,CP002@29:unstable_window,,15,1991;1999;1995;2000;2013;2014;2008;1996;2019;2023;1986;1984;1994;1989;2012,v7_detector_zero_bootstrap,ok
high,3,W045,P,CP001,42,32,52,within_system_window,unstable_window,system_relevant_first,CP002@57:unstable_window;CP003@32:unstable_window;CP004@20:unstable_window,CP004@20:unstable_window,CP002@57:unstable_window,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020,v7_detector_zero_bootstrap,ok
high,3,W045,V,CP001,46,36,56,within_system_window,unstable_window,system_relevant_first,CP002@27:unstable_window,CP002@27:unstable_window,,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020,v7_detector_zero_bootstrap,ok
high,3,W045,H,CP001,31,21,41,front_or_early,unstable_window,system_relevant_first,CP002@55:unstable_window,,CP002@55:unstable_window,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020,v7_detector_zero_bootstrap,ok
high,3,W045,Je,CP002,48,38,58,within_system_window,unstable_window,system_relevant_first,CP001@35:unstable_window,,,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020,v7_detector_zero_bootstrap,ok
high,3,W045,Jw,CP003,40,30,50,within_system_window,unstable_window,system_relevant_first,CP001@30:unstable_window;CP002@52:unstable_window;CP004@21:unstable_window,CP004@21:unstable_window,,15,1987;2000;2006;2013;2017;1982;1996;1980;1989;1988;1991;2015;2011;2021;2020,v7_detector_zero_bootstrap,ok
low,3,W045,P,CP001,39,29,49,front_or_early,unstable_window,system_relevant_first,CP002@23:unstable_window,CP002@23:unstable_window,,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019,v7_detector_zero_bootstrap,ok
low,3,W045,V,CP001,37,27,47,front_or_early,unstable_window,system_relevant_first,CP002@22:unstable_window;CP003@54:unstable_window,CP002@22:unstable_window,CP003@54:unstable_window,15,2003;1986;1995;2002;1983;1979;2012;1981;2010;2009;1999;2023;2008;1992;2019,v7_detector_zero_bootstrap,ok
