window_id,mode,object,peak_high,peak_low,shift_high_minus_low,abs_shift,high_selected_candidate_id,low_selected_candidate_id,high_support_class,low_support_class,high_detector_status,low_detector_status
W045,1,H,38.0,33.0,5.0,5.0,CP001,CP002,unstable_window,unstable_window,ok,ok
W045,1,Je,44.0,46.0,-2.0,2.0,CP003,CP001,unstable_window,unstable_window,ok,ok
W045,1,Jw,45.0,41.0,4.0,4.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,1,P,48.0,45.0,3.0,3.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,1,V,47.0,43.0,4.0,4.0,CP001,CP002,unstable_window,unstable_window,ok,ok
W045,2,H,47.0,44.0,3.0,3.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W045,2,Je,45.0,50.0,-5.0,5.0,CP001,CP003,unstable_window,unstable_window,ok,ok
W045,2,Jw,39.0,49.0,-10.0,10.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,2,P,47.0,47.0,0.0,0.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,2,V,46.0,44.0,2.0,2.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,3,H,31.0,43.0,-12.0,12.0,CP001,CP003,unstable_window,unstable_window,ok,ok
W045,3,Je,48.0,49.0,-1.0,1.0,CP002,CP003,unstable_window,unstable_window,ok,ok
W045,3,Jw,40.0,41.0,-1.0,1.0,CP003,CP001,unstable_window,unstable_window,ok,ok
W045,3,P,42.0,39.0,3.0,3.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W045,3,V,46.0,37.0,9.0,9.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,1,H,83.0,75.0,8.0,8.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,1,Je,69.0,73.0,-4.0,4.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,1,Jw,83.0,86.0,-3.0,3.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,1,P,88.0,78.0,10.0,10.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,1,V,85.0,75.0,10.0,10.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W081,2,H,83.0,75.0,8.0,8.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W081,2,Je,82.0,76.0,6.0,6.0,CP003,CP002,unstable_window,unstable_window,ok,ok
W081,2,Jw,79.0,83.0,-4.0,4.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,2,P,83.0,78.0,5.0,5.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W081,2,V,70.0,80.0,-10.0,10.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,3,H,76.0,76.0,0.0,0.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,3,Je,69.0,79.0,-10.0,10.0,CP001,CP002,unstable_window,unstable_window,ok,ok
W081,3,Jw,73.0,81.0,-8.0,8.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,3,P,80.0,82.0,-2.0,2.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W081,3,V,80.0,76.0,4.0,4.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W113,1,H,114.0,116.0,-2.0,2.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W113,1,Je,111.0,109.0,2.0,2.0,CP003,CP001,unstable_window,unstable_window,ok,ok
W113,1,Jw,108.0,103.0,5.0,5.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W113,1,P,113.0,113.0,0.0,0.0,CP001,CP002,unstable_window,unstable_window,ok,ok
W113,1,V,108.0,114.0,-6.0,6.0,CP001,CP001,unstable_window,unstable_window,ok,ok
W113,2,H,109.0,118.0,-9.0,9.0,CP002,CP001,unstable_window,unstable_window,ok,ok
W113,2,Je,118.0,113.0,5.0,5.0,CP003,CP002,unstable_window,unstable_window,ok,ok
