window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W113,P-V,priority,low,2002,-2.2770738800469257,-2.2770738800469257,-13.0,B_earlier,118.0,105.0
W113,P-V,priority,low,1983,-2.228424189039692,-2.228424189039692,-7.0,B_earlier,116.0,109.0
W113,P-V,priority,low,2006,-1.8484979604936416,-1.8484979604936416,-11.0,B_earlier,116.0,105.0
W113,P-V,priority,low,2022,-1.5382472092492785,-1.5382472092492785,-11.0,B_earlier,122.0,111.0
W113,P-V,priority,low,2013,-1.2713137290980803,-1.2713137290980803,-7.0,B_earlier,114.0,107.0
W113,P-V,priority,low,2016,-1.2375831492986458,-1.2375831492986458,-5.0,B_earlier,114.0,109.0
W113,P-V,priority,low,1979,-0.9421699052468293,-0.9421699052468293,-4.0,B_earlier,116.0,112.0
W113,P-V,priority,low,1982,-0.8669571882564783,-0.8669571882564783,-2.0,B_earlier,115.0,113.0
W113,P-V,priority,low,2020,-0.804429064979899,-0.804429064979899,-8.0,B_earlier,117.0,109.0
W113,P-V,priority,low,2015,-0.7209257153522505,-0.7209257153522505,-5.0,B_earlier,116.0,111.0
W113,P-V,priority,low,2008,-0.7135959510774793,-0.7135959510774793,-12.0,B_earlier,118.0,106.0
W113,P-V,priority,low,1984,-0.7096600067613866,-0.7096600067613866,-8.0,B_earlier,121.0,113.0
W113,P-V,priority,low,1987,-0.6871703002879644,-0.6871703002879644,-6.0,B_earlier,113.0,107.0
W113,P-V,priority,low,2007,-0.5325050729269066,-0.5325050729269066,12.0,A_earlier,99.0,111.0
W113,P-V,priority,low,2019,-0.42235415619190675,-0.42235415619190675,-3.0,B_earlier,115.0,112.0
W113,P-V,priority,mid,2018,-0.41102631218565366,-0.41102631218565366,-1.0,B_earlier,114.0,113.0
W113,P-V,priority,mid,2001,-0.33497161254159474,-0.33497161254159474,-1.0,B_earlier,110.0,109.0
W113,P-V,priority,mid,1995,-0.1712939436924237,-0.17129394369242373,1.0,A_earlier,115.0,116.0
W113,P-V,priority,mid,1991,-0.12345962132387076,-0.12345962132387077,-8.0,B_earlier,120.0,112.0
W113,P-V,priority,mid,1996,-0.03877628027342107,-0.03877628027342109,6.0,A_earlier,109.0,115.0
W113,P-V,priority,mid,2010,0.08765721853532395,0.08765721853532393,1.0,A_earlier,111.0,112.0
W113,P-V,priority,mid,2011,0.13937483536414294,0.1393748353641429,-1.0,B_earlier,111.0,110.0
W113,P-V,priority,mid,1986,0.17331917598891378,0.17331917598891375,6.0,A_earlier,110.0,116.0
W113,P-V,priority,mid,1997,0.23685093164792503,0.236850931647925,-2.0,B_earlier,111.0,109.0
W113,P-V,priority,mid,2009,0.2502617667932463,0.2502617667932463,3.0,A_earlier,112.0,115.0
W113,P-V,priority,mid,1994,0.2591254326630943,0.2591254326630943,2.0,A_earlier,107.0,109.0
W113,P-V,priority,mid,1990,0.4256975894247583,0.4256975894247583,1.0,A_earlier,114.0,115.0
W113,P-V,priority,mid,1999,0.4502358598663873,0.4502358598663873,1.0,A_earlier,107.0,108.0
W113,P-V,priority,mid,1988,0.49910500423667653,0.49910500423667653,2.0,A_earlier,113.0,115.0
W113,P-V,priority,mid,1993,0.5077533044931317,0.5077533044931317,0.0,same_day,108.0,108.0
W113,P-V,priority,high,1985,0.5174735887266441,0.5174735887266441,0.0,same_day,110.0,110.0
W113,P-V,priority,high,2023,0.5646443291950825,0.5646443291950825,6.0,A_earlier,114.0,120.0
W113,P-V,priority,high,1998,0.6082073507120623,0.6082073507120623,14.0,A_earlier,105.0,119.0
W113,P-V,priority,high,2014,0.7103428407414722,0.7103428407414722,3.0,A_earlier,109.0,112.0
W113,P-V,priority,high,1992,0.7212069756023859,0.7212069756023859,9.0,A_earlier,109.0,118.0
W113,P-V,priority,high,2000,0.7362276000735792,0.7362276000735792,4.0,A_earlier,110.0,114.0
W113,P-V,priority,high,2003,0.7712791738091395,0.7712791738091395,-1.0,B_earlier,109.0,108.0
W113,P-V,priority,high,2012,0.7796184174985,0.7796184174985,9.0,A_earlier,109.0,118.0
W113,P-V,priority,high,2004,0.8426799189957502,0.8426799189957502,12.0,A_earlier,110.0,122.0
W113,P-V,priority,high,2005,0.8708686942632233,0.8708686942632233,2.0,A_earlier,113.0,115.0
W113,P-V,priority,high,1980,0.9104254023773206,0.9104254023773206,3.0,A_earlier,108.0,111.0
W113,P-V,priority,high,2017,1.1908762636067023,1.1908762636067023,9.0,A_earlier,102.0,111.0
W113,P-V,priority,high,1989,1.4805885481416825,1.4805885481416825,4.0,A_earlier,113.0,117.0
W113,P-V,priority,high,1981,1.587024716579776,1.587024716579776,11.0,A_earlier,107.0,118.0
W113,P-V,priority,high,2021,2.5595903089874077,2.5595903089874077,9.0,A_earlier,108.0,117.0
W113,P-H,exploratory_full_pair,low,1983,-2.7064775240444483,-2.7064775240444483,-5.0,B_earlier,116.0,111.0
W113,P-H,exploratory_full_pair,low,2006,-1.9734635320351224,-1.9734635320351224,-9.0,B_earlier,116.0,107.0
W113,P-H,exploratory_full_pair,low,2002,-1.8303650839930208,-1.8303650839930208,-4.0,B_earlier,118.0,114.0
W113,P-H,exploratory_full_pair,low,1991,-1.550379842925719,-1.550379842925719,-18.0,B_earlier,120.0,102.0
W113,P-H,exploratory_full_pair,low,1982,-1.0965892435485667,-1.0965892435485667,-1.0,B_earlier,115.0,114.0
W113,P-H,exploratory_full_pair,low,2013,-1.074026182153537,-1.074026182153537,-6.0,B_earlier,114.0,108.0
W113,P-H,exploratory_full_pair,low,1992,-0.9439423811710993,-0.9439423811710993,-9.0,B_earlier,109.0,100.0
W113,P-H,exploratory_full_pair,low,2015,-0.8752868627919714,-0.8752868627919714,-8.0,B_earlier,116.0,108.0
W113,P-H,exploratory_full_pair,low,1995,-0.8189159532951723,-0.8189159532951723,-2.0,B_earlier,115.0,113.0
W113,P-H,exploratory_full_pair,low,1979,-0.7907127545516383,-0.7907127545516383,-3.0,B_earlier,116.0,113.0
W113,P-H,exploratory_full_pair,low,2018,-0.6529282658056008,-0.6529282658056008,-2.0,B_earlier,114.0,112.0
W113,P-H,exploratory_full_pair,low,2016,-0.6486908160100248,-0.6486908160100248,3.0,A_earlier,114.0,117.0
W113,P-H,exploratory_full_pair,low,1984,-0.4601535282304756,-0.4601535282304757,0.0,same_day,121.0,121.0
W113,P-H,exploratory_full_pair,low,2020,-0.38843630455434947,-0.3884363045543495,-1.0,B_earlier,117.0,116.0
W113,P-H,exploratory_full_pair,low,1987,-0.38193602305511737,-0.3819360230551174,-4.0,B_earlier,113.0,109.0
W113,P-H,exploratory_full_pair,mid,1990,-0.34270988894329063,-0.3427098889432907,-3.0,B_earlier,114.0,111.0
W113,P-H,exploratory_full_pair,mid,2007,-0.2541413271730882,-0.25414132717308824,8.0,A_earlier,99.0,107.0
W113,P-H,exploratory_full_pair,mid,1996,-0.13884294033000757,-0.1388429403300076,3.0,A_earlier,109.0,112.0
W113,P-H,exploratory_full_pair,mid,2008,-0.10629632665864173,-0.10629632665864176,-4.0,B_earlier,118.0,114.0
W113,P-H,exploratory_full_pair,mid,1997,-0.07889254959948848,-0.0788925495994885,-3.0,B_earlier,111.0,108.0
W113,P-H,exploratory_full_pair,mid,1999,-0.017002613048088967,-0.017002613048088998,2.0,A_earlier,107.0,109.0
W113,P-H,exploratory_full_pair,mid,2022,-0.00864859854787679,-0.008648598547876819,-6.0,B_earlier,122.0,116.0
W113,P-H,exploratory_full_pair,mid,2019,0.022960526022185197,0.022960526022185165,7.0,A_earlier,115.0,122.0
W113,P-H,exploratory_full_pair,mid,1985,0.05923303238780366,0.059233032387803634,1.0,A_earlier,110.0,111.0
W113,P-H,exploratory_full_pair,mid,1994,0.08141278591836196,0.08141278591836193,2.0,A_earlier,107.0,109.0
W113,P-H,exploratory_full_pair,mid,1986,0.11045122577299993,0.1104512257729999,8.0,A_earlier,110.0,118.0
W113,P-H,exploratory_full_pair,mid,2010,0.17478886015249107,0.17478886015249104,2.0,A_earlier,111.0,113.0
W113,P-H,exploratory_full_pair,mid,2000,0.24083899106930873,0.2408389910693087,2.0,A_earlier,110.0,112.0
W113,P-H,exploratory_full_pair,mid,2001,0.41921229479656147,0.4192122947965614,10.0,A_earlier,110.0,120.0
W113,P-H,exploratory_full_pair,mid,2023,0.46284699722106437,0.4628469972210643,6.0,A_earlier,114.0,120.0
W113,P-H,exploratory_full_pair,high,2012,0.5239537422083046,0.5239537422083046,6.0,A_earlier,109.0,115.0
W113,P-H,exploratory_full_pair,high,2011,0.5375859667248917,0.5375859667248917,0.0,same_day,111.0,111.0
W113,P-H,exploratory_full_pair,high,1988,0.6481596183799815,0.6481596183799815,1.0,A_earlier,113.0,114.0
W113,P-H,exploratory_full_pair,high,1989,0.6766066382172422,0.6766066382172422,2.0,A_earlier,113.0,115.0
W113,P-H,exploratory_full_pair,high,2017,0.7678483841307463,0.7678483841307463,11.0,A_earlier,102.0,113.0
W113,P-H,exploratory_full_pair,high,2004,0.7709505754100665,0.7709505754100665,13.0,A_earlier,110.0,123.0
W113,P-H,exploratory_full_pair,high,1993,0.7746379019930216,0.7746379019930216,2.0,A_earlier,108.0,110.0
W113,P-H,exploratory_full_pair,high,2009,0.7999921333665663,0.7999921333665663,6.0,A_earlier,112.0,118.0
W113,P-H,exploratory_full_pair,high,2014,0.86484601132835,0.86484601132835,5.0,A_earlier,109.0,114.0
W113,P-H,exploratory_full_pair,high,2005,0.9964805153499332,0.9964805153499332,5.0,A_earlier,113.0,118.0
W113,P-H,exploratory_full_pair,high,1980,1.1905298983790469,1.1905298983790469,10.0,A_earlier,108.0,118.0
W113,P-H,exploratory_full_pair,high,2003,1.2734054406614634,1.2734054406614634,12.0,A_earlier,109.0,121.0
W113,P-H,exploratory_full_pair,high,1981,1.8612883245011285,1.8612883245011285,14.0,A_earlier,107.0,121.0
W113,P-H,exploratory_full_pair,high,1998,1.9155631380939449,1.9155631380939449,14.0,A_earlier,105.0,119.0
W113,P-H,exploratory_full_pair,high,2021,1.965245540380883,1.965245540380883,-2.0,B_earlier,108.0,106.0
W113,P-Je,exploratory_full_pair,low,2013,-1.8604004524403424,-1.8604004524403424,-7.0,B_earlier,114.0,107.0
W113,P-Je,exploratory_full_pair,low,2020,-1.7884112828523677,-1.7884112828523677,-15.0,B_earlier,117.0,102.0
W113,P-Je,exploratory_full_pair,low,1991,-1.6861130609686603,-1.6861130609686603,-16.0,B_earlier,120.0,104.0
W113,P-Je,exploratory_full_pair,low,2010,-1.6516385722503366,-1.6516385722503366,-6.0,B_earlier,111.0,105.0
W113,P-Je,exploratory_full_pair,low,1987,-1.466760740153783,-1.466760740153783,-13.0,B_earlier,113.0,100.0
W113,P-Je,exploratory_full_pair,low,2022,-1.3369965433849464,-1.3369965433849464,-7.0,B_earlier,122.0,115.0
W113,P-Je,exploratory_full_pair,low,2018,-1.0772463755442176,-1.0772463755442176,-6.0,B_earlier,114.0,108.0
W113,P-Je,exploratory_full_pair,low,1990,-1.0087897525703153,-1.0087897525703153,-1.0,B_earlier,114.0,113.0
W113,P-Je,exploratory_full_pair,low,1983,-1.0027684926307705,-1.0027684926307705,1.0,A_earlier,116.0,117.0
W113,P-Je,exploratory_full_pair,low,2023,-0.8637574122533338,-0.8637574122533338,-4.0,B_earlier,114.0,110.0
W113,P-Je,exploratory_full_pair,low,2016,-0.7946659766343647,-0.7946659766343647,-7.0,B_earlier,114.0,107.0
